Case,K,Budget,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,1,per_orientation,Inf,NaN,0
1,4,per_orientation,Inf,300654.67813958,99.6618765849535
1,9,per_orientation,772297.685858628,772297.685858628,100
1,16,per_orientation,606135.913671968,606135.913671968,100
1,25,per_orientation,436752.284906414,436752.284906414,100
1,36,per_orientation,361306.189621405,361306.189621405,100
1,49,per_orientation,316865.929259345,316865.929259345,100
1,64,per_orientation,287057.822776381,287057.822776381,100
1,81,per_orientation,245136.074771226,245136.074771226,100
1,100,per_orientation,217857.242381837,217857.242381837,100
1,121,per_orientation,201266.007226037,201266.007226037,100
1,144,per_orientation,184258.985027005,184258.985027005,100
1,169,per_orientation,171235.741279754,171235.741279754,100
1,196,per_orientation,158328.760074522,158328.760074522,100
1,225,per_orientation,148265.910344624,148265.910344624,100
2,1,per_orientation,Inf,NaN,0
2,4,per_orientation,Inf,2.88304124496956,99.6618765849535
2,9,per_orientation,2.60935984862714,2.60935984862714,100
2,16,per_orientation,1.96879617476555,1.96879617476555,100
2,25,per_orientation,1.49956800429507,1.49956800429507,100
2,36,per_orientation,1.24790092335139,1.24790092335139,100
2,49,per_orientation,1.07903531234005,1.07903531234005,100
2,64,per_orientation,0.966866755421441,0.966866755421441,100
2,81,per_orientation,0.838052143831013,0.838052143831013,100
2,100,per_orientation,0.747486650706104,0.747486650706104,100
2,121,per_orientation,0.686214721053956,0.686214721053956,100
2,144,per_orientation,0.629357064151715,0.629357064151715,100
2,169,per_orientation,0.582617983045586,0.582617983045586,100
2,196,per_orientation,0.539061244910575,0.539061244910575,100
2,225,per_orientation,0.504831022444907,0.504831022444907,100
3,1,per_orientation,Inf,NaN,0
3,4,per_orientation,Inf,0.704471447490273,99.6618765849535
3,9,per_orientation,0.495605857992737,0.495605857992737,100
3,16,per_orientation,0.370238865527632,0.370238865527632,100
3,25,per_orientation,0.293591606340849,0.293591606340849,100
3,36,per_orientation,0.244784439848,0.244784439848,100
3,49,per_orientation,0.209892672978002,0.209892672978002,100
3,64,per_orientation,0.184785057720322,0.184785057720322,100
3,81,per_orientation,0.163242908374469,0.163242908374469,100
3,100,per_orientation,0.146643491621887,0.146643491621887,100
3,121,per_orientation,0.13354270680764,0.13354270680764,100
3,144,per_orientation,0.122477336672431,0.122477336672431,100
3,169,per_orientation,0.113096746338367,0.113096746338367,100
3,196,per_orientation,0.104916426094278,0.104916426094278,100
3,225,per_orientation,0.0980182110220999,0.0980182110220999,100
4,1,per_orientation,Inf,NaN,0
4,4,per_orientation,Inf,0.664963632731208,99.6618765849535
4,9,per_orientation,0.448023368647214,0.448023368647214,100
4,16,per_orientation,0.335346057574513,0.335346057574513,100
4,25,per_orientation,0.267854316039923,0.267854316039923,100
4,36,per_orientation,0.223267707491885,0.223267707491885,100
4,49,per_orientation,0.191333219908108,0.191333219908108,100
4,64,per_orientation,0.16767578069116,0.16767578069116,100
4,81,per_orientation,0.14881933673427,0.14881933673427,100
4,100,per_orientation,0.133886122278324,0.133886122278324,100
4,121,per_orientation,0.121749838293946,0.121749838293946,100
4,144,per_orientation,0.111625883330534,0.111625883330534,100
4,169,per_orientation,0.103042680194658,0.103042680194658,100
4,196,per_orientation,0.0956586248471842,0.0956586248471842,100
4,225,per_orientation,0.0893047810753995,0.0893047810753995,100
