K,Pattern,FOV_deg,Budget,RMS_full_cm,RMS_conditional_cm,LightCoverage_percent,RegularCoverage_percent,TargetCoverage_percent,AxisPEB_cm
1,uniform_cone,45,per_orientation,Inf,NaN,54.3533389687236,0,0,Inf
2,uniform_cone,45,per_orientation,Inf,NaN,92.8994082840237,0,0,Inf
3,uniform_cone,45,per_orientation,Inf,0.490512671037631,99.0701606086221,9.63651732882502,9.63651732882502,0.224795022079064
4,uniform_cone,45,per_orientation,Inf,0.688935835444157,99.6618765849535,22.9078613693998,22.9078613693998,0.194678199764754
5,uniform_cone,45,per_orientation,Inf,1.19784934029451,100,49.112426035503,44.4632290786137,0.174125475364509
6,uniform_cone,45,per_orientation,Inf,1.72007802171316,100,72.7810650887574,54.0152155536771,0.158954084489086
7,uniform_cone,45,per_orientation,Inf,1.99564305131843,100,86.8131868131868,63.905325443787,0.14716288636094
8,uniform_cone,45,per_orientation,Inf,2.2351140184532,100,93.5756551141167,65.1732882502113,0.137658275202847
9,uniform_cone,45,per_orientation,Inf,2.16331312510706,100,97.2104818258665,71.7666948436179,0.129785466509836
10,uniform_cone,45,per_orientation,Inf,2.24492417804478,100,98.9856297548605,75.3169907016061,0.123125304407575
11,uniform_cone,45,per_orientation,Inf,2.38572351426576,100,99.6618765849535,77.7683854606932,0.117395371542099
12,uniform_cone,45,per_orientation,Inf,2.17521627874812,100,99.6618765849535,78.698224852071,0.112397511039532
13,uniform_cone,45,per_orientation,2.41679164746216,2.41679164746216,100,100,80.8960270498732,0.107988035610283
14,uniform_cone,45,per_orientation,2.28774640730084,2.28774640730084,100,100,82.9247675401522,0.104059874884806
15,uniform_cone,45,per_orientation,2.15335193264125,2.15335193264125,100,100,83.85460693153,0.100531390074471
16,uniform_cone,45,per_orientation,Inf,2.33482988313775,100,98.647506339814,83.7700760777684,0.0973390998823768
17,uniform_cone,45,per_orientation,1.80122764997591,1.80122764997591,100,100,85.7142857142857,0.0944327977217852
18,uniform_cone,45,per_orientation,1.78458120489035,1.78458120489035,100,100,87.9966187658495,0.0917721834685644
19,uniform_cone,45,per_orientation,1.68541588734545,1.68541588734545,100,100,87.1513102282333,0.0893244841352615
20,uniform_cone,45,per_orientation,1.78581093537456,1.78581093537456,100,100,88.1656804733728,0.0870627376822545
21,uniform_cone,45,per_orientation,1.53059938810794,1.53059938810794,100,100,88.7573964497041,0.0849645320552112
22,uniform_cone,45,per_orientation,1.54746346229732,1.54746346229732,100,100,90.7016060862215,0.0830110632973322
23,uniform_cone,45,per_orientation,1.47285272150894,1.47285272150894,100,100,90.363482671175,0.0811864215072675
24,uniform_cone,45,per_orientation,Inf,1.50699133814132,100,98.647506339814,89.5181741335587,0.0794770422445431
25,uniform_cone,45,per_orientation,1.3700820938714,1.3700820938714,100,100,92.0540997464074,0.0778712799059014
26,uniform_cone,45,per_orientation,1.36554309156183,1.36554309156183,100,100,92.2231614539307,0.0763590722670456
27,uniform_cone,45,per_orientation,1.33064838577807,1.33064838577807,100,100,92.5612848689772,0.0749316740263548
28,uniform_cone,45,per_orientation,1.3304822187878,1.3304822187878,100,100,91.8850380388842,0.0735814431804701
29,uniform_cone,45,per_orientation,1.31238757069217,1.31238757069217,100,100,92.8994082840237,0.0723016682820311
30,uniform_cone,45,per_orientation,1.24001518820676,1.24001518820676,100,100,93.5756551141167,0.0710864276437683
1,golden_prefix,45,per_orientation,Inf,NaN,54.3533389687236,0,0,Inf
2,golden_prefix,45,per_orientation,Inf,NaN,86.5595942519019,0,0,Inf
3,golden_prefix,45,per_orientation,Inf,0.541472766187614,98.2248520710059,10.3972950126796,10.3972950126796,0.245361474931662
4,golden_prefix,45,per_orientation,Inf,1.20918743966166,99.0701606086221,30.0084530853762,26.3736263736264,0.204372273060149
5,golden_prefix,45,per_orientation,Inf,1.33010345343926,100,49.7886728655959,42.0118343195266,0.176767793779935
6,golden_prefix,45,per_orientation,Inf,2.49273669078053,100,71.2595097210482,50.4649196956889,0.164649806193653
7,golden_prefix,45,per_orientation,Inf,2.54116045678327,100,85.4606931530008,58.4953508030431,0.15174670957543
8,golden_prefix,45,per_orientation,Inf,2.44025669834857,100,94.0828402366864,65.7650042265427,0.13796474009983
9,golden_prefix,45,per_orientation,Inf,2.74263176485084,100,96.3651732882502,68.8926458157227,0.130857357290039
10,golden_prefix,45,per_orientation,Inf,2.91043065779254,100,98.3093829247675,71.5976331360947,0.124500197746065
11,golden_prefix,45,per_orientation,Inf,2.97630894081771,100,99.323753169907,75.0633981403212,0.118512661417476
12,golden_prefix,45,per_orientation,Inf,2.64753041014745,100,99.5773457311919,77.4302620456467,0.11309917634925
13,golden_prefix,45,per_orientation,2.69694376021961,2.69694376021961,100,100,80.3888419273035,0.108024266964323
14,golden_prefix,45,per_orientation,2.50872055758037,2.50872055758037,100,100,81.1496196111581,0.104653002395014
15,golden_prefix,45,per_orientation,2.35495170322539,2.35495170322539,100,100,82.2485207100592,0.101187908132557
16,golden_prefix,45,per_orientation,2.14906596050979,2.14906596050979,100,100,82.8402366863905,0.0975325081708862
17,golden_prefix,45,per_orientation,2.05381757736697,2.05381757736697,100,100,84.2772612003381,0.0946252105593277
18,golden_prefix,45,per_orientation,1.87234216127073,1.87234216127073,100,100,84.8689771766695,0.0919510638663105
19,golden_prefix,45,per_orientation,1.81323778466215,1.81323778466215,100,100,86.5595942519019,0.0896563682500736
20,golden_prefix,45,per_orientation,1.66067272210788,1.66067272210788,100,100,87.9120879120879,0.0873187509920738
21,golden_prefix,45,per_orientation,1.61130748895931,1.61130748895931,100,100,89.2645815722739,0.0849687058002294
22,golden_prefix,45,per_orientation,1.53111764757458,1.53111764757458,100,100,89.5181741335587,0.0831566134411271
23,golden_prefix,45,per_orientation,1.50366260175037,1.50366260175037,100,100,90.1944209636517,0.0813836301413915
24,golden_prefix,45,per_orientation,1.47645728323746,1.47645728323746,100,100,90.363482671175,0.079607171585977
25,golden_prefix,45,per_orientation,1.45765359895424,1.45765359895424,100,100,90.6170752324598,0.0779578991218353
26,golden_prefix,45,per_orientation,1.43936337423419,1.43936337423419,100,100,90.9551986475063,0.0763836183259732
27,golden_prefix,45,per_orientation,1.41862225171189,1.41862225171189,100,100,91.5469146238377,0.0750637516666708
28,golden_prefix,45,per_orientation,1.4008003670511,1.4008003670511,100,100,92.3076923076923,0.0737116122259351
29,golden_prefix,45,per_orientation,1.38229763785119,1.38229763785119,100,100,92.5612848689772,0.0723244187359446
30,golden_prefix,45,per_orientation,1.36166603166317,1.36166603166317,100,100,92.9839391377853,0.0711365501708282
1,repeat_triplet,45,per_orientation,Inf,NaN,54.3533389687236,0,0,Inf
2,repeat_triplet,45,per_orientation,Inf,NaN,83.0092983939138,0,0,Inf
3,repeat_triplet,45,per_orientation,Inf,0.490512671037631,99.0701606086221,9.63651732882502,9.63651732882502,0.224795022079064
4,repeat_triplet,45,per_orientation,Inf,0.447881295319829,99.0701606086221,9.63651732882502,9.63651732882502,0.205208840679292
5,repeat_triplet,45,per_orientation,Inf,0.400561477754416,99.0701606086221,9.63651732882502,9.63651732882502,0.183544366937129
6,repeat_triplet,45,per_orientation,Inf,0.346844835948635,99.0701606086221,9.63651732882502,9.63651732882502,0.158954084489086
7,repeat_triplet,45,per_orientation,Inf,0.327057077037838,99.0701606086221,9.63651732882502,9.63651732882502,0.14986334805271
8,repeat_triplet,45,per_orientation,Inf,0.305914387634317,99.0701606086221,9.63651732882502,9.63651732882502,0.140184325812024
9,repeat_triplet,45,per_orientation,Inf,0.283197622664499,99.0701606086221,9.63651732882502,9.63651732882502,0.129785466509836
10,repeat_triplet,45,per_orientation,Inf,0.271170406185803,99.0701606086221,9.63651732882502,9.63651732882502,0.124260123829319
11,repeat_triplet,45,per_orientation,Inf,0.258538255682879,99.0701606086221,9.63651732882502,9.63651732882502,0.118477379406281
12,repeat_triplet,45,per_orientation,Inf,0.245256335518816,99.0701606086221,9.63651732882502,9.63651732882502,0.112397511039532
13,repeat_triplet,45,per_orientation,Inf,0.23696026573459,99.0701606086221,9.63651732882502,9.63651732882502,0.108586311853857
14,repeat_triplet,45,per_orientation,Inf,0.228331670631454,99.0701606086221,9.63651732882502,9.63651732882502,0.104636388298546
15,repeat_triplet,45,per_orientation,Inf,0.219363935253027,99.0701606086221,9.63651732882502,9.63651732882502,0.100531390074471
16,repeat_triplet,45,per_orientation,Inf,0.213198345145909,99.0701606086221,9.63651732882502,9.63651732882502,0.0976989499076946
17,repeat_triplet,45,per_orientation,Inf,0.206825991009793,99.0701606086221,9.63651732882502,9.63651732882502,0.0947819035250244
18,repeat_triplet,45,per_orientation,Inf,0.200250959401976,99.0701606086221,9.63651732882502,9.63651732882502,0.0917721834685644
19,repeat_triplet,45,per_orientation,Inf,0.195436551123808,99.0701606086221,9.63651732882502,9.63651732882502,0.0895604805416182
20,repeat_triplet,45,per_orientation,Inf,0.19048261995233,99.0701606086221,9.63651732882502,9.63651732882502,0.0872927585261417
21,repeat_triplet,45,per_orientation,Inf,0.185396363213087,99.0701606086221,9.63651732882502,9.63651732882502,0.0849645320552112
22,repeat_triplet,45,per_orientation,Inf,0.181502232969615,99.0701606086221,9.63651732882502,9.63651732882502,0.0831756047140885
23,repeat_triplet,45,per_orientation,Inf,0.177508303508618,99.0701606086221,9.63651732882502,9.63651732882502,0.0813473461874915
24,repeat_triplet,45,per_orientation,Inf,0.173422417974318,99.0701606086221,9.63651732882502,9.63651732882502,0.0794770422445431
25,repeat_triplet,45,per_orientation,Inf,0.170188378982675,99.0701606086221,9.63651732882502,9.63651732882502,0.0779913590518712
26,repeat_triplet,45,per_orientation,Inf,0.166879770346336,99.0701606086221,9.63651732882502,9.63651732882502,0.076476819557137
27,repeat_triplet,45,per_orientation,Inf,0.16350422367921,99.0701606086221,9.63651732882502,9.63651732882502,0.0749316740263548
28,repeat_triplet,45,per_orientation,Inf,0.160762652966087,99.0701606086221,9.63651732882502,9.63651732882502,0.0736722284625998
29,repeat_triplet,45,per_orientation,Inf,0.157963442975806,99.0701606086221,9.63651732882502,9.63651732882502,0.0723908745692377
30,repeat_triplet,45,per_orientation,Inf,0.155113726165182,99.0701606086221,9.63651732882502,9.63651732882502,0.0710864276437683
1,uniform_cone,60,per_orientation,Inf,NaN,76.5849535080304,0,0,Inf
2,uniform_cone,60,per_orientation,Inf,NaN,99.8309382924768,0,0,Inf
3,uniform_cone,60,per_orientation,Inf,0.670845722288274,100,43.0262045646661,43.0262045646661,0.224795022079064
4,uniform_cone,60,per_orientation,Inf,0.774490273548807,100,67.5401521555368,67.5401521555368,0.194678199764754
5,uniform_cone,60,per_orientation,Inf,1.02007710716472,100,91.1242603550296,85.5452240067625,0.174125475364509
6,uniform_cone,60,per_orientation,Inf,1.12104999078452,100,98.1403212172443,89.687235841082,0.158954084489086
7,uniform_cone,60,per_orientation,1.14070398115536,1.14070398115536,100,100,92.3922231614539,0.14716288636094
8,uniform_cone,60,per_orientation,Inf,1.09305151443041,100,98.9856297548605,94.9281487743026,0.137658275202847
9,uniform_cone,60,per_orientation,0.983636717631759,0.983636717631759,100,100,95.7734573119188,0.129785466509836
10,uniform_cone,60,per_orientation,0.850796428505788,0.850796428505788,100,100,97.2950126796281,0.123125304407575
11,uniform_cone,60,per_orientation,0.805046849861523,0.805046849861523,100,100,97.4640743871513,0.117395371542099
12,uniform_cone,60,per_orientation,0.819136618946663,0.819136618946663,100,100,96.9568892645816,0.112397511039532
13,uniform_cone,60,per_orientation,0.715487506824378,0.715487506824378,100,100,98.647506339814,0.107988035610283
14,uniform_cone,60,per_orientation,0.679800166511416,0.679800166511416,100,100,98.3093829247675,0.104059874884806
15,uniform_cone,60,per_orientation,0.66155267266532,0.66155267266532,100,100,98.8165680473373,0.100531390074471
16,uniform_cone,60,per_orientation,Inf,0.612182495033491,100,98.9856297548605,98.3093829247675,0.0973390998823768
17,uniform_cone,60,per_orientation,0.618791171934768,0.618791171934768,100,100,98.8165680473373,0.0944327977217852
18,uniform_cone,60,per_orientation,0.606625117859818,0.606625117859818,100,100,98.9856297548605,0.0917721834685644
19,uniform_cone,60,per_orientation,0.585291547722759,0.585291547722759,100,100,99.4928148774303,0.0893244841352615
20,uniform_cone,60,per_orientation,0.557197552868216,0.557197552868216,100,100,99.6618765849535,0.0870627376822545
21,uniform_cone,60,per_orientation,0.5481305437994,0.5481305437994,100,100,99.4928148774303,0.0849645320552112
22,uniform_cone,60,per_orientation,0.530419145347665,0.530419145347665,100,100,99.6618765849535,0.0830110632973322
