Tilt_deg,FOV_deg,LightCoverage_percent,RegularCoverage_percent,PotentialCoverage_percent,TargetCoverage_percent,RMS_full_cm,Nonregular_percent
0,30,33.0515638207946,0,0,0,Inf,0
0.5,30,33.7278106508876,32.4598478444632,34.4040574809806,1.85967878275571,Inf,0
1,30,34.9112426035503,30.0929839391378,35.7565511411665,4.14201183431953,Inf,0
2,30,37.1090448013525,28.6559594251902,37.447168216399,9.5519864750634,Inf,0
3,30,40.2366863905325,26.9653423499577,42.8571428571429,14.3702451394759,Inf,0
5,30,44.5477599323753,22.9078613693998,46.2383770076078,20.625528317836,Inf,0
10,30,56.2975486052409,15.1310228233305,63.4826711749789,15.1310228233305,Inf,0
20,30,74.5562130177515,4.22654268808115,84.4463229078614,4.22654268808115,Inf,0
30,30,82.7557058326289,0,97.9712595097211,0,Inf,0.591715976331361
40,30,73.4573119188504,0,100,0,Inf,0
0,45,74.9788672865596,0,0,0,Inf,1.69061707523246
0.5,45,75.9932375316991,73.6263736263736,76.3313609467456,1.85967878275571,Inf,0
1,45,77.6838546069315,72.6120033812341,78.3601014370245,8.03043110735418,Inf,0
2,45,79.2054099746407,71.4285714285714,80.3888419273035,19.0194420963652,Inf,0
3,45,80.72696534235,70.0760777683855,81.0650887573965,30.4311073541843,Inf,0
5,45,83.0938292476754,65.5959425190194,84.4463229078614,46.9991546914624,Inf,0
10,45,89.5181741335587,52.4936601859679,92.5612848689772,52.4936601859679,Inf,0
20,45,97.3795435333897,26.9653423499577,100,26.9653423499577,Inf,0
30,45,99.0701606086221,9.63651732882502,100,9.63651732882502,Inf,0
40,45,99.4082840236686,0.929839391377853,100,0.929839391377853,Inf,0
0,60,97.9712595097211,0,0,0,Inf,0
0.5,60,97.9712595097211,97.9712595097211,97.9712595097211,1.85967878275571,Inf,0
1,60,98.4784446322908,97.1259509721048,98.9856297548605,8.36855452240068,Inf,0
2,60,98.9856297548605,96.9568892645816,98.9856297548605,25.105663567202,Inf,0
3,60,99.1546914623838,95.7734573119188,99.6618765849535,42.0963651732883,Inf,0
5,60,99.8309382924768,93.8292476754015,100,69.4843617920541,Inf,0
10,60,100,87.4894336432798,100,87.1513102282333,Inf,0
20,60,100,69.3998309382925,100,69.3998309382925,Inf,0
30,60,100,43.0262045646661,100,43.0262045646661,Inf,0
40,60,100,18.4277261200338,100,18.4277261200338,Inf,0
0,65,100,0,0,0,Inf,0
0.5,65,100,99.6618765849535,100,1.85967878275571,Inf,0
1,65,100,99.6618765849535,100,8.36855452240068,Inf,0
2,65,100,99.6618765849535,100,25.105663567202,Inf,0
3,65,100,99.1546914623838,100,42.4344885883347,Inf,0
5,65,100,98.3093829247675,100,72.9501267962806,Inf,0
10,65,100,94.5054945054945,100,94.167371090448,Inf,0
20,65,100,80.4733727810651,100,80.4733727810651,Inf,0.253592561284869
30,65,100,58.8334742180896,100,58.8334742180896,Inf,0
40,65,100,30.1775147928994,100,30.1775147928994,Inf,0
0,70,100,0,0,0,Inf,0
0.5,70,100,100,100,1.85967878275571,42.4176220451907,0
1,70,100,100,100,8.36855452240068,21.2098924298139,0
2,70,100,100,100,25.105663567202,10.6071097485726,0
3,70,100,100,100,42.4344885883347,7.07381213217655,0
5,70,100,100,100,73.6263736263736,4.24891472502793,0
10,70,100,98.647506339814,100,98.3093829247675,Inf,0
20,70,100,89.4336432797971,100,89.4336432797971,Inf,0
30,70,100,72.4429416737109,100,72.4429416737109,Inf,0
40,70,100,44.4632290786137,100,44.4632290786137,Inf,0
0,75,100,0,0,0,Inf,0
0.5,75,100,100,100,1.85967878275571,42.4176220451907,0
1,75,100,100,100,8.36855452240068,21.2098924298139,0
2,75,100,100,100,25.105663567202,10.6071097485726,0
3,75,100,100,100,42.4344885883347,7.07381213217655,0
5,75,100,100,100,73.6263736263736,4.24891472502793,0
10,75,100,100,100,99.6618765849535,2.13539172889181,0
20,75,100,95.6889264581572,100,95.6889264581572,Inf,0
30,75,100,82.4175824175824,100,82.4175824175824,Inf,0.253592561284869
40,75,100,60.3550295857988,100,60.3550295857988,Inf,0
0,85,100,0,0,0,Inf,0
0.5,85,100,100,100,1.85967878275571,42.4176220451907,0
1,85,100,100,100,8.36855452240068,21.2098924298139,0
2,85,100,100,100,25.105663567202,10.6071097485726,0
3,85,100,100,100,42.4344885883347,7.07381213217655,0
5,85,100,100,100,73.6263736263736,4.24891472502793,0
10,85,100,100,100,99.6618765849535,2.13539172889181,0
20,85,100,100,100,100,1.09033702456807,0
30,85,100,96.0270498732037,100,96.0270498732037,Inf,0
40,85,100,83.2628909551986,100,83.2628909551986,Inf,0.253592561284869
