HalfAngle_deg,K,Budget_1_perOrientation_2_fixedTotal,RMS_full_cm,RMS_conditional_cm,Coverage_percent
30,1,1,Inf,NaN,0
30,2,1,Inf,NaN,0
30,3,1,Inf,72.1841744823987,99.8883928571429
30,4,1,67.3367307578702,67.3367307578702,100
30,5,1,65.3926013680352,65.3926013680352,100
30,6,1,61.0118340227801,61.0118340227801,100
30,7,1,55.978888712711,55.978888712711,100
30,8,1,53.3954398893038,53.3954398893038,100
30,9,1,47.9643170411883,47.9643170411883,100
30,10,1,44.7109238782825,44.7109238782825,100
30,11,1,44.3226901885605,44.3226901885605,100
30,12,1,42.9586202900237,42.9586202900237,100
30,13,1,39.9966960888833,39.9966960888833,100
30,14,1,39.3520290948638,39.3520290948638,100
30,15,1,37.5172457793914,37.5172457793914,100
45,1,1,Inf,NaN,0
45,2,1,Inf,NaN,0
45,3,1,Inf,5.23889296445873,88.9508928571429
45,4,1,Inf,5.61310748778687,97.3214285714286
45,5,1,8.71995191042206,8.71995191042206,100
45,6,1,6.7838552521,6.7838552521,100
45,7,1,6.30629380955018,6.30629380955018,100
45,8,1,6.15993575557941,6.15993575557941,100
45,9,1,5.28889989941031,5.28889989941031,100
45,10,1,5.26311517383215,5.26311517383215,100
45,11,1,4.87077661959287,4.87077661959287,100
45,12,1,4.56633118972533,4.56633118972533,100
45,13,1,4.38538098312465,4.38538098312465,100
45,14,1,4.17984460396925,4.17984460396925,100
45,15,1,4.10187591901493,4.10187591901493,100
60,1,1,Inf,NaN,0
60,2,1,Inf,NaN,0
60,3,1,Inf,4.23358764839807,82.9241071428571
60,4,1,Inf,4.08801596183344,95.5357142857143
60,5,1,4.7562940245091,4.7562940245091,100
60,6,1,3.95368131831461,3.95368131831461,100
60,7,1,3.75003339760827,3.75003339760827,100
60,8,1,3.48009104930291,3.48009104930291,100
60,9,1,3.20769918169663,3.20769918169663,100
60,10,1,3.02260761636539,3.02260761636539,100
60,11,1,2.89035669601506,2.89035669601506,100
60,12,1,2.70170780465248,2.70170780465248,100
60,13,1,2.64627489306998,2.64627489306998,100
60,14,1,2.52450226417326,2.52450226417326,100
60,15,1,2.4418211879721,2.4418211879721,100
75,1,1,Inf,NaN,0
75,2,1,Inf,NaN,0
75,3,1,Inf,4.13666102744929,72.9910714285714
75,4,1,Inf,3.89758670552857,93.3035714285714
75,5,1,4.31390057076642,4.31390057076642,100
75,6,1,3.68718688056416,3.68718688056416,100
75,7,1,3.45637238070678,3.45637238070678,100
75,8,1,3.1333357482693,3.1333357482693,100
75,9,1,2.95734182161314,2.95734182161314,100
75,10,1,2.77418853479505,2.77418853479505,100
75,11,1,2.63210668934645,2.63210668934645,100
75,12,1,2.4898241109235,2.4898241109235,100
75,13,1,2.42839471184461,2.42839471184461,100
75,14,1,2.34190155532358,2.34190155532358,100
75,15,1,2.25816469536478,2.25816469536478,100
30,1,2,Inf,NaN,0
30,2,2,Inf,NaN,0
30,3,2,Inf,41.6755525686438,99.8883928571429
30,4,2,44.8911538385802,44.8911538385802,100
30,5,2,48.7407672948241,48.7407672948241,100
30,6,2,49.81595387573,49.81595387573,100
30,7,2,49.3686111272501,49.3686111272501,100
30,8,2,50.3417035068871,50.3417035068871,100
30,9,2,47.9643170411883,47.9643170411883,100
30,10,2,47.1294519152606,47.1294519152606,100
30,11,2,48.9998721795343,48.9998721795343,100
30,12,2,49.6043419769201,49.6043419769201,100
30,13,2,48.0695605259634,48.0695605259634,100
30,14,2,49.0795389014086,49.0795389014086,100
30,15,2,48.4345560330512,48.4345560330512,100
45,1,2,Inf,NaN,0
45,2,2,Inf,NaN,0
45,3,2,Inf,3.02467626328589,88.9508928571429
45,4,2,Inf,3.74207165852458,97.3214285714286
45,5,2,6.49946841074429,6.49946841074429,100
45,6,2,5.53899461884825,5.53899461884825,100
45,7,2,5.56162979939305,5.56162979939305,100
45,8,2,5.80764312592491,5.80764312592491,100
45,9,2,5.28889989941031,5.28889989941031,100
45,10,2,5.54781051236754,5.54781051236754,100
45,11,2,5.38488726665025,5.38488726665025,100
45,12,2,5.27274508319381,5.27274508319381,100
45,13,2,5.27064270606463,5.27064270606463,100
45,14,2,5.21327820287229,5.21327820287229,100
45,15,2,5.29549904085135,5.29549904085135,100
60,1,2,Inf,NaN,0
60,2,2,Inf,NaN,0
60,3,2,Inf,2.4442629684405,82.9241071428571
60,4,2,Inf,2.72534397455562,95.5357142857143
60,5,2,3.54513225325946,3.54513225325946,100
60,6,2,3.22816727848171,3.22816727848171,100
60,7,2,3.30721997251908,3.30721997251908,100
60,8,2,3.28106130681159,3.28106130681159,100
60,9,2,3.20769918169663,3.20769918169663,100
60,10,2,3.18610818022903,3.18610818022903,100
60,11,2,3.19541612728658,3.19541612728658,100
60,12,2,3.11966345657564,3.11966345657564,100
60,13,2,3.18044867458763,3.18044867458763,100
60,14,2,3.14864294652723,3.14864294652723,100
60,15,2,3.15237759847746,3.15237759847746,100
75,1,2,Inf,NaN,0
75,2,2,Inf,NaN,0
75,3,2,Inf,2.38830235774409,72.9910714285714
75,4,2,Inf,2.59839113701905,93.3035714285714
75,5,2,3.21539164146962,3.21539164146962,100
75,6,2,3.01057548122221,3.01057548122221,100
75,7,2,3.04823711633777,3.04823711633777,100
75,8,2,2.9541372737806,2.9541372737806,100
75,9,2,2.95734182161314,2.95734182161314,100
75,10,2,2.92425147622588,2.92425147622588,100
75,11,2,2.90990352816735,2.90990352816735,100
75,12,2,2.87500124135301,2.87500124135301,100
75,13,2,2.91858030014518,2.91858030014518,100
75,14,2,2.92088972805392,2.92088972805392,100
75,15,2,2.91527808604711,2.91527808604711,100
