HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
30,30,0,Inf,NaN,0,0
30,30,1,Inf,58.5815477553306,23.1026785714286,0
30,30,2,Inf,51.7660429899604,23.6607142857143,0
30,30,3,Inf,49.7486194602175,24.8883928571429,0
30,30,4,Inf,45.5881770849002,26.0044642857143,0
30,30,5,Inf,47.5965376838164,27.9017857142857,0
30,30,6,Inf,45.9088732835038,29.0178571428571,0
30,30,7,Inf,42.74869374069,29.6875,0
30,30,8,Inf,39.6470859863319,30.5803571428571,0
30,30,9,Inf,38.51402858996,32.03125,0
30,30,10,Inf,39.2964561422096,33.3705357142857,0
30,30,11,Inf,37.9747940104927,34.1517857142857,0
30,30,12,Inf,37.1180984910695,35.7142857142857,0
30,30,13,Inf,37.253685243194,36.8303571428571,0
30,30,14,Inf,37.701835138803,37.7232142857143,0
30,30,15,Inf,36.6473607096313,38.6160714285714,0
30,30,16,Inf,38.2379817613335,39.9553571428571,0
30,30,17,Inf,38.5121711363265,41.1830357142857,0
30,30,18,Inf,39.1189289145663,42.0758928571429,0
30,30,19,Inf,38.1362699094689,42.8571428571429,0
30,30,20,Inf,37.4366934455266,43.4151785714286,0
30,30,21,Inf,37.5298747864865,44.1964285714286,0
30,30,22,Inf,36.6683196621962,44.4196428571429,0
30,30,23,Inf,36.8292493370946,44.8660714285714,0
30,30,24,Inf,38.4890649880839,46.2053571428571,0
30,30,25,Inf,39.6070513769511,46.6517857142857,0
30,30,26,Inf,39.3528751454588,47.3214285714286,0
30,30,27,Inf,39.476059681671,47.3214285714286,0
30,30,28,Inf,38.7375747755274,47.4330357142857,0
30,30,29,Inf,38.7010097698776,47.65625,0
30,30,30,Inf,38.1375291373231,47.5446428571429,0
30,30,31,Inf,37.6092800217471,47.2098214285714,0
30,30,32,Inf,39.2800168233007,46.9866071428571,0
30,30,33,Inf,39.1234458394353,45.4241071428571,0
30,30,34,Inf,39.5577114441451,43.5267857142857,0
30,30,35,Inf,39.5439229998943,41.9642857142857,0
30,30,36,Inf,40.4069518504308,37.6116071428571,0
30,30,37,Inf,41.286467874609,34.5982142857143,0
30,30,38,Inf,42.884519653908,31.4732142857143,0
30,30,39,Inf,43.3135612145825,28.4598214285714,0
30,30,40,Inf,45.3237578524866,25.2232142857143,0
30,30,41,Inf,45.9353821390623,22.9910714285714,0
30,30,42,Inf,48.1170127771643,20.3125,0
30,30,43,Inf,49.5682695274451,16.8526785714286,0
30,30,44,Inf,51.1733623720985,14.3973214285714,0
30,30,45,Inf,53.9130911550379,9.15178571428571,0.446428571428571
30,30,46,Inf,61.0831993490987,6.58482142857143,0
30,30,47,Inf,65.1129167477872,5.24553571428571,0
30,30,48,Inf,63.9755701723134,3.57142857142857,0
30,30,49,Inf,77.6450984858759,1.78571428571429,0
30,30,50,Inf,89.2144222814886,0.446428571428571,0
30,30,51,Inf,NaN,0,0
30,30,52,Inf,NaN,0,0
30,30,53,Inf,NaN,0,0
30,30,54,Inf,NaN,0,0
30,30,55,Inf,NaN,0,0
30,30,56,Inf,NaN,0,0
30,30,57,Inf,NaN,0,0
30,30,58,Inf,NaN,0,0
30,30,59,Inf,NaN,0,0
30,30,60,Inf,NaN,0,0
30,30,61,Inf,NaN,0,0
30,30,62,Inf,NaN,0,0
30,30,63,Inf,NaN,0,0
30,30,63.434948822922,Inf,NaN,0,0
30,30,64,Inf,NaN,0,0
30,30,65,Inf,NaN,0,0
30,30,66,Inf,NaN,0,0
