Case,K,Budget,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,1,per_orientation,Inf,NaN,0
1,2,per_orientation,Inf,NaN,0
1,3,per_orientation,Inf,72.1841744823987,99.8883928571429
1,4,per_orientation,67.3367307578702,67.3367307578702,100
1,5,per_orientation,65.3926013680352,65.3926013680352,100
1,6,per_orientation,61.0118340227801,61.0118340227801,100
1,7,per_orientation,55.978888712711,55.978888712711,100
1,8,per_orientation,53.3954398893038,53.3954398893038,100
1,9,per_orientation,47.9643170411883,47.9643170411883,100
1,10,per_orientation,44.7109238782825,44.7109238782825,100
1,11,per_orientation,44.3226901885605,44.3226901885605,100
1,12,per_orientation,42.9586202900237,42.9586202900237,100
1,13,per_orientation,39.9966960888833,39.9966960888833,100
1,14,per_orientation,39.3520290948638,39.3520290948638,100
1,15,per_orientation,37.5172457793914,37.5172457793914,100
2,1,per_orientation,Inf,NaN,0
2,2,per_orientation,Inf,NaN,0
2,3,per_orientation,Inf,5.23889296445873,88.9508928571429
2,4,per_orientation,Inf,5.61310748778687,97.3214285714286
2,5,per_orientation,8.71995191042206,8.71995191042206,100
2,6,per_orientation,6.7838552521,6.7838552521,100
2,7,per_orientation,6.30629380955018,6.30629380955018,100
2,8,per_orientation,6.15993575557941,6.15993575557941,100
2,9,per_orientation,5.28889989941031,5.28889989941031,100
2,10,per_orientation,5.26311517383215,5.26311517383215,100
2,11,per_orientation,4.87077661959287,4.87077661959287,100
2,12,per_orientation,4.56633118972533,4.56633118972533,100
2,13,per_orientation,4.38538098312465,4.38538098312465,100
2,14,per_orientation,4.17984460396925,4.17984460396925,100
2,15,per_orientation,4.10187591901493,4.10187591901493,100
3,1,per_orientation,Inf,NaN,0
3,2,per_orientation,Inf,NaN,0
3,3,per_orientation,Inf,4.23358764839807,82.9241071428571
3,4,per_orientation,Inf,4.08801596183344,95.5357142857143
3,5,per_orientation,4.7562940245091,4.7562940245091,100
3,6,per_orientation,3.95368131831461,3.95368131831461,100
3,7,per_orientation,3.75003339760827,3.75003339760827,100
3,8,per_orientation,3.48009104930291,3.48009104930291,100
3,9,per_orientation,3.20769918169663,3.20769918169663,100
3,10,per_orientation,3.02260761636539,3.02260761636539,100
3,11,per_orientation,2.89035669601506,2.89035669601506,100
3,12,per_orientation,2.70170780465248,2.70170780465248,100
3,13,per_orientation,2.64627489306998,2.64627489306998,100
3,14,per_orientation,2.52450226417326,2.52450226417326,100
3,15,per_orientation,2.4418211879721,2.4418211879721,100
4,1,per_orientation,Inf,NaN,0
4,2,per_orientation,Inf,NaN,0
4,3,per_orientation,Inf,4.13666102744929,72.9910714285714
4,4,per_orientation,Inf,3.89758670552857,93.3035714285714
4,5,per_orientation,4.31390057076642,4.31390057076642,100
4,6,per_orientation,3.68718688056416,3.68718688056416,100
4,7,per_orientation,3.45637238070678,3.45637238070678,100
4,8,per_orientation,3.1333357482693,3.1333357482693,100
4,9,per_orientation,2.95734182161314,2.95734182161314,100
4,10,per_orientation,2.77418853479505,2.77418853479505,100
4,11,per_orientation,2.63210668934645,2.63210668934645,100
4,12,per_orientation,2.4898241109235,2.4898241109235,100
4,13,per_orientation,2.42839471184461,2.42839471184461,100
4,14,per_orientation,2.34190155532358,2.34190155532358,100
4,15,per_orientation,2.25816469536478,2.25816469536478,100
1,1,fixed_total,Inf,NaN,0
1,2,fixed_total,Inf,NaN,0
1,3,fixed_total,Inf,41.6755525686438,99.8883928571429
1,4,fixed_total,44.8911538385802,44.8911538385802,100
1,5,fixed_total,48.7407672948241,48.7407672948241,100
1,6,fixed_total,49.81595387573,49.81595387573,100
1,7,fixed_total,49.3686111272501,49.3686111272501,100
1,8,fixed_total,50.3417035068871,50.3417035068871,100
1,9,fixed_total,47.9643170411883,47.9643170411883,100
1,10,fixed_total,47.1294519152606,47.1294519152606,100
1,11,fixed_total,48.9998721795343,48.9998721795343,100
1,12,fixed_total,49.6043419769201,49.6043419769201,100
1,13,fixed_total,48.0695605259634,48.0695605259634,100
1,14,fixed_total,49.0795389014086,49.0795389014086,100
1,15,fixed_total,48.4345560330512,48.4345560330512,100
2,1,fixed_total,Inf,NaN,0
2,2,fixed_total,Inf,NaN,0
2,3,fixed_total,Inf,3.02467626328589,88.9508928571429
2,4,fixed_total,Inf,3.74207165852458,97.3214285714286
2,5,fixed_total,6.49946841074429,6.49946841074429,100
2,6,fixed_total,5.53899461884825,5.53899461884825,100
2,7,fixed_total,5.56162979939305,5.56162979939305,100
2,8,fixed_total,5.80764312592491,5.80764312592491,100
2,9,fixed_total,5.28889989941031,5.28889989941031,100
2,10,fixed_total,5.54781051236754,5.54781051236754,100
2,11,fixed_total,5.38488726665025,5.38488726665025,100
2,12,fixed_total,5.27274508319381,5.27274508319381,100
2,13,fixed_total,5.27064270606463,5.27064270606463,100
2,14,fixed_total,5.21327820287229,5.21327820287229,100
2,15,fixed_total,5.29549904085135,5.29549904085135,100
3,1,fixed_total,Inf,NaN,0
3,2,fixed_total,Inf,NaN,0
3,3,fixed_total,Inf,2.4442629684405,82.9241071428571
3,4,fixed_total,Inf,2.72534397455562,95.5357142857143
3,5,fixed_total,3.54513225325946,3.54513225325946,100
3,6,fixed_total,3.22816727848171,3.22816727848171,100
3,7,fixed_total,3.30721997251908,3.30721997251908,100
3,8,fixed_total,3.28106130681159,3.28106130681159,100
3,9,fixed_total,3.20769918169663,3.20769918169663,100
3,10,fixed_total,3.18610818022903,3.18610818022903,100
3,11,fixed_total,3.19541612728658,3.19541612728658,100
3,12,fixed_total,3.11966345657564,3.11966345657564,100
3,13,fixed_total,3.18044867458763,3.18044867458763,100
3,14,fixed_total,3.14864294652723,3.14864294652723,100
3,15,fixed_total,3.15237759847746,3.15237759847746,100
4,1,fixed_total,Inf,NaN,0
4,2,fixed_total,Inf,NaN,0
4,3,fixed_total,Inf,2.38830235774409,72.9910714285714
4,4,fixed_total,Inf,2.59839113701905,93.3035714285714
4,5,fixed_total,3.21539164146962,3.21539164146962,100
4,6,fixed_total,3.01057548122221,3.01057548122221,100
4,7,fixed_total,3.04823711633777,3.04823711633777,100
4,8,fixed_total,2.9541372737806,2.9541372737806,100
4,9,fixed_total,2.95734182161314,2.95734182161314,100
4,10,fixed_total,2.92425147622588,2.92425147622588,100
4,11,fixed_total,2.90990352816735,2.90990352816735,100
4,12,fixed_total,2.87500124135301,2.87500124135301,100
4,13,fixed_total,2.91858030014518,2.91858030014518,100
4,14,fixed_total,2.92088972805392,2.92088972805392,100
4,15,fixed_total,2.91527808604711,2.91527808604711,100
