Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,17,339,0.272952500790767,-0.104776648326551,0.956304755963035
2,21,359,0.35831336837079,-0.00625438310956049,0.933580426497202
3,47,35.6923076923077,0.593977585212338,0.426695283706513,0.681998360062498
4,19,83.3846153846154,0.0375067142871884,0.323400478632946,0.945518575599317
5,21,91.0769230769231,-0.00673543486929897,0.358304648558213,0.933580426497202
6,17,110.769230769231,-0.10367643532764,0.273372292817383,0.956304755963035
7,47,128.461538461538,-0.454894064907436,0.572668862942671,0.681998360062498
8,21,181.153846153846,-0.358295282912374,-0.00721647448862039,0.933580426497202
9,17,199.846153846154,-0.27500704688342,-0.0992589436118472,0.956304755963035
10,47,218.538461538462,-0.572057624003134,-0.455662497570244,0.681998360062498
11,17,251.230769230769,-0.0940727230127463,-0.276824017215715,0.956304755963035
12,18,256.923076923077,-0.0699178768811068,-0.301003311119603,0.951056516295154
13,47,308.615384615385,0.45643010891522,-0.57144535394708,0.681998360062498
14,17,339.307692307692,0.273511238337797,-0.103309323032359,0.956304755963035
