HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
30,45,0,Inf,NaN,0,1.69061707523246
30,45,1,Inf,32.3830186245175,76.8385460693153,0
30,45,2,Inf,20.6786691631565,78.3601014370245,0
30,45,3,Inf,19.1271088756309,79.8816568047337,0
30,45,4,Inf,16.4958861836341,80.8960270498732,0
30,45,5,Inf,13.359515968971,81.9103972950127,0
30,45,6,Inf,13.0357139191376,82.9247675401522,0
30,45,7,Inf,12.055323529859,83.85460693153,0
30,45,8,Inf,11.7780494602668,84.6999154691462,0
30,45,9,Inf,11.7378012316704,85.2916314454776,0
30,45,10,Inf,11.1142541960902,86.8131868131868,0
30,45,11,Inf,11.6304094468688,87.6584953508031,0
30,45,12,Inf,11.0956859385955,88.5038038884193,0
30,45,13,Inf,11.2522319093289,89.4336432797971,0
30,45,14,Inf,10.6660387571789,90.1098901098901,0
30,45,15,Inf,10.1064488549979,90.2789518174134,0.507185122569738
30,45,16,Inf,10.9583496502918,91.4623837700761,0
30,45,17,Inf,11.0042597779113,92.3076923076923,0
30,45,18,Inf,11.1546009839965,92.4767540152156,0
30,45,19,Inf,11.0112373945111,93.1530008453085,0
30,45,20,Inf,10.6757060832175,93.491124260355,0
30,45,21,Inf,10.4462362108464,93.9983093829248,0
30,45,22,Inf,11.3057982597735,95.0126796280642,0
30,45,23,Inf,11.5472341344013,95.3508030431107,0
30,45,24,Inf,12.9835562534973,96.0270498732037,0
30,45,25,Inf,12.7900577842142,96.196111580727,0
30,45,26,Inf,14.8845643882809,97.0414201183432,0
30,45,27,Inf,14.5993129362396,97.0414201183432,0
30,45,28,Inf,14.7331929469971,97.2104818258665,0
30,45,29,Inf,14.5514614632956,97.2104818258665,0
30,45,30,Inf,14.3689841484908,97.2104818258665,0
30,45,31,Inf,14.1786760034305,97.2104818258665,0
30,45,32,Inf,14.0458159201055,97.2104818258665,0
30,45,33,Inf,14.0411159266828,97.3795435333897,0
30,45,34,Inf,17.0462206358143,97.5486052409129,0
30,45,35,Inf,16.9044801535229,97.5486052409129,0
30,45,36,Inf,16.8443220351552,97.5486052409129,0
30,45,37,Inf,17.5890962214329,97.7176669484362,0
30,45,38,Inf,18.3122499413342,97.8867286559594,0
30,45,39,Inf,18.2682614246326,97.8867286559594,0
30,45,40,Inf,18.2353492573367,97.8867286559594,0
30,45,41,Inf,18.6315311917448,98.0557903634827,0
30,45,42,Inf,18.6094067355792,98.0557903634827,0
30,45,43,Inf,18.86029174271,98.2248520710059,0
30,45,44,Inf,18.9189270273463,98.2248520710059,0
30,45,45,Inf,19.0731987527396,96.9568892645816,1.26796280642434
30,45,46,Inf,19.1081093801472,97.6331360946746,0
30,45,47,Inf,19.1750013391711,97.6331360946746,0
30,45,48,Inf,18.8594950114619,97.1259509721048,0
30,45,49,Inf,19.040137751602,96.5342349957735,0
30,45,50,Inf,19.2842469049096,95.3508030431107,0
30,45,51,Inf,19.585040172665,93.491124260355,0
30,45,52,Inf,19.6666316436783,91.4623837700761,0
30,45,53,Inf,20.0136551994607,89.3491124260355,0
30,45,54,Inf,20.6130146956251,85.883347421809,0
30,45,55,Inf,21.4002606494139,80.9805579036348,0
30,45,56,Inf,22.6291632603602,73.8799661876585,0
30,45,57,Inf,23.6546409658807,69.1462383770076,0
30,45,58,Inf,24.753109799718,62.7218934911243,0
30,45,59,Inf,26.1114355266299,57.6500422654269,0
30,45,60,Inf,27.6227397831304,52.3245984784446,0
30,45,61,Inf,29.652478375959,46.9146238377008,0
30,45,62,Inf,31.8672245857258,41.8427726120034,0
30,45,63,Inf,34.129551932161,37.9543533389687,0
30,45,64,Inf,37.2252853932938,33.0515638207946,0
30,45,65,Inf,40.4784577292454,28.9095519864751,0
30,45,66,Inf,42.243266380697,24.9366018596788,0
30,45,67,Inf,44.3126264976851,20.4564666103128,0
30,45,68,Inf,49.2470786756052,16.9061707523246,0
30,45,69,Inf,54.5265802160416,14.5393068469992,0
30,45,70,Inf,61.5827297355589,12.0879120879121,0
30,45,71,Inf,68.4906333004686,10.312764158918,0
30,45,72,Inf,78.0168220709072,8.53761622992392,0
30,45,73,Inf,88.9166073265713,7.10059171597633,0
30,45,74,Inf,98.395583651187,6.2552831783601,0
30,45,75,Inf,123.871589111977,4.14201183431953,0.507185122569738
30,45,76,Inf,133.226378327301,3.80388841927303,0
30,45,77,Inf,151.505041791107,3.2967032967033,0
30,45,78,Inf,187.746594209291,2.11327134404057,0
30,45,79,Inf,220.408182033184,1.77514792899408,0
30,45,80,Inf,153.596812514762,1.0989010989011,0
30,45,81,Inf,181.83228274344,0.929839391377853,0
30,45,82,Inf,283.057850318217,0.422654268808115,0
30,45,83,Inf,466.05828467171,0.169061707523246,0
30,45,84,Inf,536.733907459466,0.169061707523246,0
30,45,85,Inf,635.78662197962,0.169061707523246,0
30,60,0,Inf,NaN,0,0
30,60,1,Inf,79.1671079667062,98.3093829247675,0
30,60,2,Inf,68.2110960777159,98.9856297548605,0
30,60,3,Inf,35.8442163566928,98.9856297548605,0
30,60,4,Inf,34.984344650581,99.1546914623838,0
30,60,5,Inf,39.6979428230349,99.4928148774303,0
30,60,6,Inf,37.9460061612905,99.6618765849535,0
30,60,7,Inf,40.5643205040329,99.8309382924768,0
30,60,8,Inf,36.2694279954638,99.8309382924768,0
30,60,9,39.2445027611976,39.2445027611976,100,0
30,60,10,32.9992614154393,32.9992614154393,100,0
30,60,11,30.6342940587157,30.6342940587157,100,0
30,60,12,28.7653228126792,28.7653228126792,100,0
30,60,13,22.8709796197596,22.8709796197596,100,0
30,60,14,21.6858829765766,21.6858829765766,100,0
30,60,15,Inf,20.676449772198,99.7464074387151,0.253592561284869
30,60,16,19.7631972548693,19.7631972548693,100,0
30,60,17,18.9704143063854,18.9704143063854,100,0
30,60,18,18.299149282133,18.299149282133,100,0
30,60,19,17.696389260258,17.696389260258,100,0
30,60,20,17.1709782842782,17.1709782842782,100,0
30,60,21,16.6915818773458,16.6915818773458,100,0
30,60,22,16.3900332039496,16.3900332039496,100,0
30,60,23,16.0210968028722,16.0210968028722,100,0
30,60,24,15.734378011911,15.734378011911,100,0
30,60,25,15.4259404862352,15.4259404862352,100,0
30,60,26,15.1475695404021,15.1475695404021,100,0
30,60,27,14.8867801566447,14.8867801566447,100,0
30,60,28,14.6655728956685,14.6655728956685,100,0
30,60,29,14.4561950635955,14.4561950635955,100,0
30,60,30,14.2664284944252,14.2664284944252,100,0
30,60,31,14.0936712912657,14.0936712912657,100,0
30,60,32,13.9464592918355,13.9464592918355,100,0
30,60,33,13.8194660551562,13.8194660551562,100,0
30,60,34,13.7032613060511,13.7032613060511,100,0
30,60,35,13.6255983878235,13.6255983878235,100,0
30,60,36,13.5451261628224,13.5451261628224,100,0
30,60,37,13.4789846052182,13.4789846052182,100,0
30,60,38,13.4589842830286,13.4589842830286,100,0
30,60,39,13.4319322767369,13.4319322767369,100,0
30,60,40,13.3943596260555,13.3943596260555,100,0
30,60,41,13.3749816877561,13.3749816877561,100,0
30,60,42,13.6833052822824,13.6833052822824,100,0
30,60,43,13.8610232716756,13.8610232716756,100,0
30,60,44,13.9520278886666,13.9520278886666,100,0
30,60,45,Inf,14.1285799460752,99.1546914623838,0.84530853761623
30,60,46,14.2210190748771,14.2210190748771,100,0
30,60,47,14.2760758708322,14.2760758708322,100,0
30,60,48,14.568546828519,14.568546828519,100,0
30,60,49,14.6597231242677,14.6597231242677,100,0
30,60,50,15.5377695291801,15.5377695291801,100,0
30,60,51,15.6526636181732,15.6526636181732,100,0
30,60,52,15.7930546812324,15.7930546812324,100,0
30,60,53,16.0302106180942,16.0302106180942,100,0
30,60,54,16.3239704256191,16.3239704256191,100,0
30,60,55,16.5293821264092,16.5293821264092,100,0
30,60,56,16.9222126225856,16.9222126225856,100,0
30,60,57,17.1733233685963,17.1733233685963,100,0
30,60,58,18.329088457476,18.329088457476,100,0
30,60,59,19.4852735104342,19.4852735104342,100,0
30,60,60,Inf,20.0258441092568,99.4082840236686,0.591715976331361
30,60,61,Inf,20.4510866903836,99.4082840236686,0
30,60,62,Inf,20.8919370542488,99.4082840236686,0
30,60,63,Inf,21.5805653035219,99.323753169907,0
30,60,64,Inf,22.3513725343453,98.7320371935756,0
30,60,65,Inf,23.0303982672656,97.9712595097211,0
30,60,66,Inf,23.9480725550285,96.9568892645816,0
30,60,67,Inf,24.9260541706671,95.6889264581572,0
30,60,68,Inf,25.9483933194515,94.2519019442096,0
30,60,69,Inf,27.0898008696527,92.3076923076923,0
30,60,70,Inf,28.7687178631836,90.4480135249366,0
30,60,71,Inf,30.3582495431392,88.1656804733728,0
30,60,72,Inf,35.8215941242703,85.0380388841927,0
30,60,73,Inf,39.4280045474643,81.2341504649197,0
30,60,74,Inf,42.1457265313316,78.1065088757396,0
30,60,75,Inf,46.0998393256351,73.7954353338969,0
30,60,76,Inf,50.5309998512377,69.061707523246,0
30,60,77,Inf,55.467750893709,64.6661031276416,0
30,60,78,Inf,61.6107822056175,59.8478444632291,0
30,60,79,Inf,69.5124334935754,54.5224006762468,0
30,60,80,Inf,79.5708491221822,49.0278951817413,0
30,60,81,Inf,91.0389698271848,45.3930684699915,0
30,60,82,Inf,106.946203200898,39.8140321217244,0
30,60,83,Inf,126.131092854907,35.9256128486898,0
30,60,84,Inf,156.063767808504,30.7692307692308,0
30,60,85,Inf,191.769188294554,28.4023668639053,0
30,75,0,Inf,NaN,0,0
30,75,1,41.7218356291163,41.7218356291163,100,0
30,75,2,20.8718688632541,20.8718688632541,100,0
30,75,3,13.9267613435865,13.9267613435865,100,0
30,75,4,10.4578847328631,10.4578847328631,100,0
30,75,5,8.37951858572942,8.37951858572942,100,0
30,75,6,6.99642716508579,6.99642716508579,100,0
30,75,7,6.01065614535127,6.01065614535127,100,0
30,75,8,5.27323180200267,5.27323180200267,100,0
30,75,9,4.70139408740837,4.70139408740837,100,0
30,75,10,4.24548987304676,4.24548987304676,100,0
30,75,11,4.06427682393749,4.06427682393749,100,0
30,75,12,3.9339914527544,3.9339914527544,100,0
30,75,13,3.96539921977242,3.96539921977242,100,0
30,75,14,3.80794621418186,3.80794621418186,100,0
30,75,15,3.9510612132787,3.9510612132787,100,0
30,75,16,3.94197605015995,3.94197605015995,100,0
30,75,17,4.04304677181866,4.04304677181866,100,0
30,75,18,4.04855931434715,4.04855931434715,100,0
30,75,19,3.95091893970331,3.95091893970331,100,0
30,75,20,3.87242659886214,3.87242659886214,100,0
30,75,21,3.80104530222413,3.80104530222413,100,0
30,75,22,4.4743549880158,4.4743549880158,100,0
30,75,23,4.39284851359378,4.39284851359378,100,0
30,75,24,4.29144458246123,4.29144458246123,100,0
30,75,25,4.2272276493318,4.2272276493318,100,0
30,75,26,4.16981346495789,4.16981346495789,100,0
30,75,27,4.1498636406623,4.1498636406623,100,0
30,75,28,4.19892835054912,4.19892835054912,100,0
