Case,Power_W,SamplesPerOrientation,NoiseStdScale,NoiseVariance_W2,RMS_full_cm,RegularCoverage_percent,TargetCoverage_percent,Feasible
1,0.1,100,0.5,7.5e-15,42.5569360750107,100,0.422654268808115,0
1,0.2,100,0.5,7.5e-15,21.2784680375054,100,2.53592561284869,0
1,0.4,100,0.5,7.5e-15,10.6392340187527,100,8.70667793744717,0
1,0.65,100,0.5,7.5e-15,6.54722093461704,100,15.9763313609467,0
1,1,100,0.5,7.5e-15,4.25569360750107,100,28.5714285714286,0
1,0.1,300,0.5,7.5e-15,24.5702584987931,100,2.1978021978022,0
1,0.2,300,0.5,7.5e-15,12.2851292493966,100,6.00169061707523,0
1,0.4,300,0.5,7.5e-15,6.14256462469829,100,18.0050718512257,0
1,0.65,300,0.5,7.5e-15,3.7800397690451,100,33.3051563820795,0
1,1,300,0.5,7.5e-15,2.45702584987931,100,54.0152155536771,0
1,0.1,1000,0.5,7.5e-15,13.457684823522,100,5.66356720202874,0
1,0.2,1000,0.5,7.5e-15,6.72884241176101,100,15.6382079459003,0
1,0.4,1000,0.5,7.5e-15,3.36442120588051,100,38.4615384615385,0
1,0.65,1000,0.5,7.5e-15,2.07041304977262,100,66.1876584953508,0
1,1,1000,0.5,7.5e-15,1.3457684823522,100,89.1800507185123,0
1,0.1,3000,0.5,7.5e-15,7.76979795552958,100,12.1724429416737,0
1,0.2,3000,0.5,7.5e-15,3.88489897776479,100,32.29078613694,0
1,0.4,3000,0.5,7.5e-15,1.94244948888239,100,69.9070160608622,0
1,0.65,3000,0.5,7.5e-15,1.19535353161994,100,91.8850380388842,0
1,1,3000,0.5,7.5e-15,0.776979795552958,100,99.323753169907,1
1,0.1,10000,0.5,7.5e-15,4.25569360750107,100,28.5714285714286,0
1,0.2,10000,0.5,7.5e-15,2.12784680375054,100,63.4826711749789,0
1,0.4,10000,0.5,7.5e-15,1.06392340187527,100,94.9281487743026,0
1,0.65,10000,0.5,7.5e-15,0.654722093461703,100,99.6618765849535,1
1,1,10000,0.5,7.5e-15,0.425569360750107,100,100,1
1,0.1,100,1,3e-14,85.1138721500215,100,0,0
1,0.2,100,1,3e-14,42.5569360750107,100,0.422654268808115,0
1,0.4,100,1,3e-14,21.2784680375054,100,2.53592561284869,0
1,0.65,100,1,3e-14,13.0944418692341,100,5.66356720202874,0
1,1,100,1,3e-14,8.51138721500215,100,10.8199492814877,0
1,0.1,300,1,3e-14,49.1405169975863,100,0.084530853761623,0
1,0.2,300,1,3e-14,24.5702584987931,100,2.1978021978022,0
1,0.4,300,1,3e-14,12.2851292493966,100,6.00169061707523,0
1,0.65,300,1,3e-14,7.56007953809019,100,13.5249366018597,0
1,1,300,1,3e-14,4.91405169975863,100,22.4006762468301,0
1,0.1,1000,1,3e-14,26.9153696470441,100,1.18343195266272,0
1,0.2,1000,1,3e-14,13.457684823522,100,5.66356720202874,0
1,0.4,1000,1,3e-14,6.72884241176101,100,15.6382079459003,0
1,0.65,1000,1,3e-14,4.14082609954524,100,28.9095519864751,0
1,1,1000,1,3e-14,2.6915369647044,100,48.9433643279797,0
1,0.1,3000,1,3e-14,15.5395959110592,100,4.31107354184277,0
1,0.2,3000,1,3e-14,7.76979795552958,100,12.1724429416737,0
1,0.4,3000,1,3e-14,3.88489897776479,100,32.29078613694,0
1,0.65,3000,1,3e-14,2.39070706323987,100,56.720202874049,0
1,1,3000,1,3e-14,1.55395959110592,100,81.7413355874894,0
1,0.1,10000,1,3e-14,8.51138721500215,100,10.8199492814877,0
1,0.2,10000,1,3e-14,4.25569360750107,100,28.5714285714286,0
1,0.4,10000,1,3e-14,2.12784680375054,100,63.4826711749789,0
1,0.65,10000,1,3e-14,1.30944418692341,100,89.1800507185123,0
1,1,10000,1,3e-14,0.851138721500215,100,98.9856297548605,1
1,0.1,100,2,1.2e-13,170.227744300043,100,0,0
1,0.2,100,2,1.2e-13,85.1138721500215,100,0,0
1,0.4,100,2,1.2e-13,42.5569360750107,100,0.422654268808115,0
1,0.65,100,2,1.2e-13,26.1888837384681,100,1.18343195266272,0
1,1,100,2,1.2e-13,17.0227744300043,100,3.21217244294167,0
1,0.1,300,2,1.2e-13,98.2810339951726,100,0,0
1,0.2,300,2,1.2e-13,49.1405169975863,100,0.084530853761623,0
1,0.4,300,2,1.2e-13,24.5702584987931,100,2.1978021978022,0
1,0.65,300,2,1.2e-13,15.1201590761804,100,4.31107354184277,0
1,1,300,2,1.2e-13,9.82810339951725,100,8.79120879120879,0
1,0.1,1000,2,1.2e-13,53.8307392940881,100,0.084530853761623,0
1,0.2,1000,2,1.2e-13,26.9153696470441,100,1.18343195266272,0
1,0.4,1000,2,1.2e-13,13.457684823522,100,5.66356720202874,0
1,0.65,1000,2,1.2e-13,8.28165219909048,100,11.1580726965342,0
1,1,1000,2,1.2e-13,5.38307392940881,100,21.3863060016906,0
1,0.1,3000,2,1.2e-13,31.0791918221183,100,0.760777683854607,0
1,0.2,3000,2,1.2e-13,15.5395959110592,100,4.31107354184277,0
1,0.4,3000,2,1.2e-13,7.76979795552958,100,12.1724429416737,0
1,0.65,3000,2,1.2e-13,4.78141412647974,100,23.4150464919696,0
1,1,3000,2,1.2e-13,3.10791918221183,100,42.8571428571429,0
1,0.1,10000,2,1.2e-13,17.0227744300043,100,3.21217244294167,0
1,0.2,10000,2,1.2e-13,8.51138721500215,100,10.8199492814877,0
1,0.4,10000,2,1.2e-13,4.25569360750107,100,28.5714285714286,0
1,0.65,10000,2,1.2e-13,2.61888837384681,100,51.6483516483517,0
1,1,10000,2,1.2e-13,1.70227744300043,100,77.6838546069315,0
2,0.1,100,0.5,7.5e-15,41.9736034504238,100,0,0
2,0.2,100,0.5,7.5e-15,20.9868017252119,100,1.0989010989011,0
2,0.4,100,0.5,7.5e-15,10.4934008626059,100,5.66356720202874,0
2,0.65,100,0.5,7.5e-15,6.45747745391135,100,13.8630600169062,0
2,1,100,0.5,7.5e-15,4.19736034504238,100,25.105663567202,0
2,0.1,300,0.5,7.5e-15,24.2334712509608,100,0.760777683854607,0
2,0.2,300,0.5,7.5e-15,12.1167356254804,100,4.90278951817413,0
2,0.4,300,0.5,7.5e-15,6.0583678127402,100,14.8774302620456,0
2,0.65,300,0.5,7.5e-15,3.72822634630166,100,28.4868977176669,0
2,1,300,0.5,7.5e-15,2.42334712509608,100,51.56382079459,0
2,0.1,1000,0.5,7.5e-15,13.2732188508041,100,4.22654268808115,0
2,0.2,1000,0.5,7.5e-15,6.63660942540207,100,12.5105663567202,0
2,0.4,1000,0.5,7.5e-15,3.31830471270104,100,34.5731191885038,0
2,0.65,1000,0.5,7.5e-15,2.04203366935449,100,62.4683009298394,0
2,1,1000,0.5,7.5e-15,1.32732188508042,100,88.1656804733728,0
2,0.1,3000,0.5,7.5e-15,7.66329647652459,100,10.7354184277261,0
2,0.2,3000,0.5,7.5e-15,3.8316482382623,100,28.1487743026205,0
2,0.4,3000,0.5,7.5e-15,1.91582411913115,100,67.2020287404903,0
2,0.65,3000,0.5,7.5e-15,1.17896868869609,100,92.2231614539307,0
2,1,3000,0.5,7.5e-15,0.76632964765246,100,100,1
2,0.1,10000,0.5,7.5e-15,4.19736034504238,100,25.105663567202,0
2,0.2,10000,0.5,7.5e-15,2.09868017252119,100,60.4395604395604,0
2,0.4,10000,0.5,7.5e-15,1.0493400862606,100,96.6187658495351,1
2,0.65,10000,0.5,7.5e-15,0.645747745391135,100,100,1
2,1,10000,0.5,7.5e-15,0.419736034504238,100,100,1
2,0.1,100,1,3e-14,83.9472069008476,100,0,0
2,0.2,100,1,3e-14,41.9736034504238,100,0,0
2,0.4,100,1,3e-14,20.9868017252119,100,1.0989010989011,0
2,0.65,100,1,3e-14,12.9149549078227,100,4.22654268808115,0
2,1,100,1,3e-14,8.39472069008476,100,8.36855452240068,0
2,0.1,300,1,3e-14,48.4669425019216,100,0,0
2,0.2,300,1,3e-14,24.2334712509608,100,0.760777683854607,0
2,0.4,300,1,3e-14,12.1167356254804,100,4.90278951817413,0
2,0.65,300,1,3e-14,7.45645269260332,100,10.7354184277261,0
2,1,300,1,3e-14,4.84669425019216,100,20.2874049027895,0
2,0.1,1000,1,3e-14,26.5464377016083,100,0.760777683854607,0
2,0.2,1000,1,3e-14,13.2732188508041,100,4.22654268808115,0
2,0.4,1000,1,3e-14,6.63660942540207,100,12.5105663567202,0
2,0.65,1000,1,3e-14,4.08406733870897,100,26.1200338123415,0
2,1,1000,1,3e-14,2.65464377016083,100,46.1538461538462,0
2,0.1,3000,1,3e-14,15.3265929530492,100,2.87404902789518,0
2,0.2,3000,1,3e-14,7.66329647652459,100,10.7354184277261,0
2,0.4,3000,1,3e-14,3.8316482382623,100,28.1487743026205,0
2,0.65,3000,1,3e-14,2.35793737739218,100,52.240067624683,0
2,1,3000,1,3e-14,1.53265929530492,100,81.7413355874894,0
2,0.1,10000,1,3e-14,8.39472069008476,100,8.36855452240068,0
2,0.2,10000,1,3e-14,4.19736034504238,100,25.105663567202,0
2,0.4,10000,1,3e-14,2.09868017252119,100,60.4395604395604,0
2,0.65,10000,1,3e-14,1.29149549078227,100,89.8562975486052,0
2,1,10000,1,3e-14,0.839472069008476,100,99.6618765849535,1
2,0.1,100,2,1.2e-13,167.894413801695,100,0,0
2,0.2,100,2,1.2e-13,83.9472069008476,100,0,0
2,0.4,100,2,1.2e-13,41.9736034504238,100,0,0
2,0.65,100,2,1.2e-13,25.8299098156454,100,0.760777683854607,0
2,1,100,2,1.2e-13,16.7894413801695,100,2.1978021978022,0
2,0.1,300,2,1.2e-13,96.9338850038432,100,0,0
2,0.2,300,2,1.2e-13,48.4669425019216,100,0,0
2,0.4,300,2,1.2e-13,24.2334712509608,100,0.760777683854607,0
2,0.65,300,2,1.2e-13,14.9129053852066,100,2.87404902789518,0
2,1,300,2,1.2e-13,9.69338850038431,100,6.67793744716822,0
2,0.1,1000,2,1.2e-13,53.0928754032166,100,0,0
2,0.2,1000,2,1.2e-13,26.5464377016083,100,0.760777683854607,0
2,0.4,1000,2,1.2e-13,13.2732188508041,100,4.22654268808115,0
2,0.65,1000,2,1.2e-13,8.16813467741794,100,9.04480135249366,0
2,1,1000,2,1.2e-13,5.30928754032166,100,18.2586644125106,0
2,0.1,3000,2,1.2e-13,30.6531859060984,100,0.422654268808115,0
2,0.2,3000,2,1.2e-13,15.3265929530492,100,2.87404902789518,0
2,0.4,3000,2,1.2e-13,7.66329647652459,100,10.7354184277261,0
2,0.65,3000,2,1.2e-13,4.71587475478437,100,20.625528317836,0
2,1,3000,2,1.2e-13,3.06531859060984,100,37.7007607776839,0
2,0.1,10000,2,1.2e-13,16.7894413801695,100,2.1978021978022,0
2,0.2,10000,2,1.2e-13,8.39472069008476,100,8.36855452240068,0
2,0.4,10000,2,1.2e-13,4.19736034504238,100,25.105663567202,0
2,0.65,10000,2,1.2e-13,2.58299098156454,100,48.8588334742181,0
2,1,10000,2,1.2e-13,1.67894413801695,100,75.3169907016061,0
3,0.1,100,0.5,7.5e-15,47.2371258870754,100,0,0
3,0.2,100,0.5,7.5e-15,23.6185629435377,100,0.760777683854607,0
3,0.4,100,0.5,7.5e-15,11.8092814717688,100,4.22654268808115,0
3,0.65,100,0.5,7.5e-15,7.26725013647314,100,10.7354184277261,0
3,1,100,0.5,7.5e-15,4.72371258870754,100,21.978021978022,0
3,0.1,300,0.5,7.5e-15,27.2723673466472,100,0.422654268808115,0
3,0.2,300,0.5,7.5e-15,13.6361836733236,100,3.21217244294167,0
3,0.4,300,0.5,7.5e-15,6.81809183666181,100,11.4116652578191,0
3,0.65,300,0.5,7.5e-15,4.19574882256111,100,25.6973795435334,0
3,1,300,0.5,7.5e-15,2.72723673466472,100,46.407438715131,0
3,0.1,1000,0.5,7.5e-15,14.937690792326,100,2.1978021978022,0
3,0.2,1000,0.5,7.5e-15,7.468845396163,100,10.7354184277261,0
3,0.4,1000,0.5,7.5e-15,3.7344226980815,100,28.4868977176669,0
3,0.65,1000,0.5,7.5e-15,2.29810627574246,100,55.6213017751479,0
3,1,1000,0.5,7.5e-15,1.4937690792326,100,81.4032121724429,0
3,0.1,3000,0.5,7.5e-15,8.6242798000208,100,8.03043110735418,0
3,0.2,3000,0.5,7.5e-15,4.3121399000104,100,24.0067624683009,0
3,0.4,3000,0.5,7.5e-15,2.1560699500052,100,59.0025359256129,0
3,0.65,3000,0.5,7.5e-15,1.32681227692628,100,88.5038038884193,0
3,1,3000,0.5,7.5e-15,0.862427980002081,100,99.6618765849535,1
3,0.1,10000,0.5,7.5e-15,4.72371258870754,100,21.978021978022,0
3,0.2,10000,0.5,7.5e-15,2.36185629435377,100,53.592561284869,0
3,0.4,10000,0.5,7.5e-15,1.18092814717688,100,92.8994082840237,0
3,0.65,10000,0.5,7.5e-15,0.726725013647314,100,100,1
3,1,10000,0.5,7.5e-15,0.472371258870754,100,100,1
3,0.1,100,1,3e-14,94.4742517741508,100,0,0
3,0.2,100,1,3e-14,47.2371258870754,100,0,0
3,0.4,100,1,3e-14,23.6185629435377,100,0.760777683854607,0
3,0.65,100,1,3e-14,14.5345002729463,100,2.53592561284869,0
3,1,100,1,3e-14,9.44742517741508,100,6.2552831783601,0
3,0.1,300,1,3e-14,54.5447346932945,100,0,0
3,0.2,300,1,3e-14,27.2723673466472,100,0.422654268808115,0
3,0.4,300,1,3e-14,13.6361836733236,100,3.21217244294167,0
3,0.65,300,1,3e-14,8.39149764512222,100,8.70667793744717,0
3,1,300,1,3e-14,5.45447346932944,100,16.9061707523246,0
