HalfAngle_deg,K,Budget_1_perOrientation_2_fixedTotal,RMS_full_cm,RMS_conditional_cm,Coverage_percent
30,1,1,Inf,NaN,0
30,2,1,Inf,NaN,0
30,3,1,136.315515122067,136.315515122067,100
30,4,1,118.052699025671,118.052699025671,100
30,5,1,105.58954397949,105.58954397949,100
30,6,1,96.3896251237507,96.3896251237507,100
30,7,1,89.2394523491096,89.2394523491096,100
30,8,1,83.4758640184269,83.4758640184269,100
30,9,1,78.7017993504477,78.7017993504477,100
30,10,1,74.6630825702925,74.6630825702925,100
30,11,1,71.1884560285285,71.1884560285285,100
30,12,1,68.1577575610334,68.1577575610334,100
30,13,1,65.4838553144579,65.4838553144579,100
30,14,1,63.1018219054292,63.1018219054292,100
30,15,1,60.9621516401683,60.9621516401683,100
45,1,1,Inf,NaN,0
45,2,1,Inf,NaN,0
45,3,1,Inf,7.72972261826101,92.9012345679012
45,4,1,Inf,8.83920925100248,98.7654320987654
45,5,1,11.3123588462558,11.3123588462558,100
45,6,1,9.56534494037498,9.56534494037498,100
45,7,1,8.0472532964361,8.0472532964361,100
45,8,1,8.58267158340472,8.58267158340472,100
45,9,1,7.09417759008556,7.09417759008556,100
45,10,1,6.7672867036031,6.7672867036031,100
45,11,1,6.70523933067834,6.70523933067834,100
45,12,1,6.39618885604459,6.39618885604459,100
45,13,1,6.01027843528427,6.01027843528427,100
45,14,1,5.5602419133059,5.5602419133059,100
45,15,1,5.48887394014945,5.48887394014945,100
60,1,1,Inf,NaN,0
60,2,1,Inf,NaN,0
60,3,1,Inf,5.49077923399109,86.1111111111111
60,4,1,Inf,4.98159754545725,95.0617283950617
60,5,1,5.87017019776891,5.87017019776891,100
60,6,1,4.93905705272026,4.93905705272026,100
60,7,1,4.7225050661123,4.7225050661123,100
60,8,1,4.3790256521484,4.3790256521484,100
60,9,1,3.93706455881567,3.93706455881567,100
60,10,1,3.74701349606827,3.74701349606827,100
60,11,1,3.61961299481502,3.61961299481502,100
60,12,1,3.39592634495654,3.39592634495654,100
60,13,1,3.28700201953998,3.28700201953998,100
60,14,1,3.18307773004711,3.18307773004711,100
60,15,1,3.02255393362825,3.02255393362825,100
75,1,1,Inf,NaN,0
75,2,1,Inf,NaN,0
75,3,1,Inf,4.64157791655014,69.7530864197531
75,4,1,Inf,4.2807143695231,88.8888888888889
75,5,1,4.96122094733193,4.96122094733193,100
75,6,1,4.45513174739327,4.45513174739327,100
75,7,1,4.08001979200183,4.08001979200183,100
75,8,1,3.5491810071838,3.5491810071838,100
75,9,1,3.41332534084217,3.41332534084217,100
75,10,1,3.17331245726469,3.17331245726469,100
75,11,1,3.03458077546068,3.03458077546068,100
75,12,1,2.8838259051683,2.8838259051683,100
75,13,1,2.76739137907397,2.76739137907397,100
75,14,1,2.75046413891441,2.75046413891441,100
75,15,1,2.5999455497017,2.5999455497017,100
30,1,2,Inf,NaN,0
30,2,2,Inf,NaN,0
30,3,2,78.7017993504476,78.7017993504476,100
30,4,2,78.7017993504477,78.7017993504477,100
30,5,2,78.7017993504477,78.7017993504477,100
30,6,2,78.7017993504477,78.7017993504477,100
30,7,2,78.7018017740085,78.7018017740085,100
30,8,2,78.7017993504477,78.7017993504477,100
30,9,2,78.7017993504477,78.7017993504477,100
30,10,2,78.7017993504477,78.7017993504477,100
30,11,2,78.7018025594876,78.7018025594876,100
30,12,2,78.7017993504478,78.7017993504478,100
30,13,2,78.7018074747515,78.7018074747515,100
30,14,2,78.7018028052569,78.7018028052569,100
30,15,2,78.7017993504476,78.7017993504476,100
45,1,2,Inf,NaN,0
45,2,2,Inf,NaN,0
45,3,2,Inf,4.46275743441413,92.9012345679012
45,4,2,Inf,5.89280616733498,98.7654320987654
45,5,2,8.43173445536634,8.43173445536634,100
45,6,2,7.81007143921049,7.81007143921049,100
45,7,2,7.09707569323169,7.09707569323169,100
45,8,2,8.09182036976341,8.09182036976341,100
45,9,2,7.09417759008556,7.09417759008556,100
45,10,2,7.13334652091953,7.13334652091953,100
45,11,2,7.41297294208156,7.41297294208156,100
45,12,2,7.38568271565006,7.38568271565006,100
45,13,2,7.22361352610006,7.22361352610006,100
45,14,2,6.93485372620419,6.93485372620419,100
45,15,2,7.08610578654356,7.08610578654356,100
60,1,2,Inf,NaN,0
60,2,2,Inf,NaN,0
60,3,2,Inf,3.17010286880556,86.1111111111111
60,4,2,Inf,3.32106503030483,95.0617283950617
60,5,2,4.37536653390155,4.37536653390155,100
60,6,2,4.03272319655307,4.03272319655307,100
60,7,2,4.16484770833138,4.16484770833138,100
60,8,2,4.1285849781653,4.1285849781653,100
60,9,2,3.93706455881567,3.93706455881567,100
60,10,2,3.94969902365537,3.94969902365537,100
60,11,2,4.00165022413831,4.00165022413831,100
60,12,2,3.9212779788176,3.9212779788176,100
60,13,2,3.95050236915326,3.95050236915326,100
60,14,2,3.97005495831577,3.97005495831577,100
60,15,2,3.90210034931864,3.90210034931864,100
75,1,2,Inf,NaN,0
75,2,2,Inf,NaN,0
75,3,2,Inf,2.67981625958484,69.7530864197531
75,4,2,Inf,2.85380957968207,88.8888888888889
75,5,2,3.69787576321003,3.69787576321003,100
75,6,2,3.63759983932917,3.63759983932917,100
75,7,2,3.59824274940826,3.59824274940826,100
75,8,2,3.34619994378422,3.34619994378422,100
75,9,2,3.41332534084217,3.41332534084217,100
75,10,2,3.34496503078072,3.34496503078072,100
75,11,2,3.35484524447189,3.35484524447189,100
75,12,2,3.32995532528987,3.32995532528987,100
75,13,2,3.32600834015501,3.32600834015501,100
75,14,2,3.43048083409824,3.43048083409824,100
75,15,2,3.35651527168026,3.35651527168026,100
