HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
30,30,0,Inf,NaN,0,0
30,30,5,Inf,34.2400183508761,23.4567901234568,0
30,30,10,Inf,42.8261080221878,32.0987654320988,0
30,30,15,Inf,43.524797246655,36.4197530864198,0
30,30,20,Inf,43.2316198174648,39.8148148148148,0
30,30,25,Inf,42.5911837336756,42.2839506172839,0
30,30,30,Inf,38.8306565640267,41.0493827160494,1.23456790123457
30,30,35,Inf,42.1777939293451,38.5802469135802,0
30,30,40,Inf,44.2611515735878,24.3827160493827,0
30,30,45,Inf,50.5932039243313,8.33333333333333,0
30,30,50,Inf,42.460038597971,1.23456790123457,0
30,30,55,Inf,NaN,0,0
30,30,60,Inf,NaN,0,0
30,30,63.434948822922,Inf,NaN,0,0
30,30,65,Inf,NaN,0,0
30,30,70,Inf,NaN,0,0
30,30,75,Inf,NaN,0,0
30,30,80,Inf,NaN,0,0
30,30,85,Inf,NaN,0,0
30,45,0,Inf,NaN,0,0
30,45,5,Inf,164.682998542949,64.8148148148148,0
30,45,10,Inf,117.110676441607,69.4444444444444,0
30,45,15,Inf,118.205073264703,74.6913580246914,0
30,45,20,Inf,127.409138395433,81.1728395061728,0
30,45,25,Inf,130.752605359208,84.5679012345679,0
30,45,30,Inf,163.928240957929,86.4197530864197,0
30,45,35,Inf,209.180062846586,90.4320987654321,0
30,45,40,Inf,272.865644323877,91.9753086419753,0
30,45,45,Inf,565.49077358657,90.7407407407407,1.23456790123457
30,45,50,Inf,586.975406308558,90.1234567901235,0
30,45,55,Inf,655.877649982882,80.8641975308642,0
30,45,60,Inf,862.727559355554,54.9382716049383,0
30,45,63.434948822922,Inf,1062.62729006699,41.9753086419753,0
30,45,65,Inf,1198.78600755588,35.8024691358025,0
30,45,70,Inf,1787.30536638667,22.2222222222222,0
30,45,75,Inf,3415.25184716118,9.5679012345679,0
30,45,80,Inf,7157.42564915958,3.7037037037037,0
30,45,85,Inf,2163.41906435163,0.308641975308642,0
30,60,0,Inf,NaN,0,0
30,60,5,Inf,498.536430792391,93.2098765432099,0
30,60,10,Inf,537.354580376654,96.9135802469136,0
30,60,15,Inf,853.98767899292,99.3827160493827,0
30,60,20,863.41439975043,863.41439975043,100,0
30,60,25,755.528968663518,755.528968663518,100,0
30,60,30,575.38368488809,575.38368488809,100,0
30,60,35,556.160192994204,556.160192994204,100,0
30,60,40,556.496339840286,556.496339840286,100,0
30,60,45,564.524185810317,564.524185810317,100,0
30,60,50,589.957990170501,589.957990170501,100,0
30,60,55,625.345757082367,625.345757082367,100,0
30,60,60,Inf,688.282897634263,98.7654320987654,1.23456790123457
30,60,63.434948822922,Inf,771.202983228635,98.7654320987654,0
30,60,65,Inf,804.873712417954,98.4567901234568,0
30,60,70,Inf,1180.07401979167,94.4444444444444,0
30,60,75,Inf,1595.99972267543,83.641975308642,0
30,60,80,Inf,2601.63124293594,67.2839506172839,0
30,60,85,Inf,5916.40165946675,46.9135802469136,0
30,75,0,Inf,NaN,0,0
30,75,5,221.952513535009,221.952513535009,100,0
30,75,10,202.126323717523,202.126323717523,100,0
30,75,15,194.048481628182,194.048481628182,100,0
30,75,20,192.859712888113,192.859712888113,100,0
30,75,25,175.850982792015,175.850982792015,100,0
30,75,30,166.631993468085,166.631993468085,100,0
30,75,35,227.080497577593,227.080497577593,100,0
30,75,40,223.795743864872,223.795743864872,100,0
30,75,45,234.567378988325,234.567378988325,100,0
30,75,50,246.333506178045,246.333506178045,100,0
30,75,55,260.187672856492,260.187672856492,100,0
30,75,60,339.875857357556,339.875857357556,100,0
30,75,63.434948822922,367.886377739234,367.886377739234,100,0
30,75,65,383.460432071168,383.460432071168,100,0
30,75,70,463.93772052144,463.93772052144,100,0
30,75,75,Inf,587.515302037343,98.7654320987654,1.23456790123457
30,75,80,Inf,834.927671083299,98.7654320987654,0
30,75,85,Inf,1889.67292606742,95.3703703703704,0
30,85,0,Inf,NaN,0,0
30,85,5,221.952513535009,221.952513535009,100,0
30,85,10,113.592721659641,113.592721659641,100,0
30,85,15,78.7017993504477,78.7017993504477,100,0
30,85,20,88.3492580976227,88.3492580976227,100,0
30,85,25,96.2594852118151,96.2594852118151,100,0
30,85,30,102.463488421056,102.463488421056,100,0
30,85,35,127.657332947808,127.657332947808,100,0
30,85,40,129.246584417284,129.246584417284,100,0
30,85,45,149.022453005536,149.022453005536,100,0
30,85,50,157.184601345853,157.184601345853,100,0
30,85,55,169.457560470732,169.457560470732,100,0
30,85,60,183.998039891145,183.998039891145,100,0
30,85,63.434948822922,285.90645172135,285.90645172135,100,0
30,85,65,297.599576317626,297.599576317626,100,0
30,85,70,364.628442933769,364.628442933769,100,0
30,85,75,464.412926104482,464.412926104482,100,0
30,85,80,659.659457088681,659.659457088681,100,0
30,85,85,Inf,1291.08281397051,98.7654320987654,1.23456790123457
45,30,0,Inf,NaN,0,0
45,30,5,Inf,30.0887393775252,23.4567901234568,0
45,30,10,Inf,31.881693706009,32.0987654320988,0
45,30,15,Inf,29.4762800728017,36.4197530864198,0
45,30,20,Inf,27.3200327705147,39.8148148148148,0
45,30,25,Inf,25.1627128744719,42.2839506172839,0
45,30,30,Inf,22.6083134169933,41.0493827160494,1.23456790123457
45,30,35,Inf,22.6773593326056,38.5802469135802,0
45,30,40,Inf,23.2317742976309,24.3827160493827,0
45,30,45,Inf,26.2171600985552,8.33333333333333,0
45,30,50,Inf,21.7101854753446,1.23456790123457,0
45,30,55,Inf,NaN,0,0
45,30,60,Inf,NaN,0,0
45,30,63.434948822922,Inf,NaN,0,0
45,30,65,Inf,NaN,0,0
45,30,70,Inf,NaN,0,0
45,30,75,Inf,NaN,0,0
45,30,80,Inf,NaN,0,0
45,30,85,Inf,NaN,0,0
45,45,0,Inf,NaN,0,0
45,45,5,Inf,65.9621860905559,64.8148148148148,0
45,45,10,Inf,40.9641607610042,69.4444444444444,0
45,45,15,Inf,35.1321179514056,74.6913580246914,0
45,45,20,Inf,33.2993800055894,81.1728395061728,0
45,45,25,Inf,31.5618629006187,84.5679012345679,0
45,45,30,Inf,32.4700818343973,86.4197530864197,0
45,45,35,Inf,33.1330844963621,90.4320987654321,0
45,45,40,Inf,35.0579078549699,91.9753086419753,0
45,45,45,Inf,43.2907091598667,90.7407407407407,1.23456790123457
45,45,50,Inf,44.7895939753197,90.1234567901235,0
45,45,55,Inf,48.8748029466519,80.8641975308642,0
45,45,60,Inf,59.0697531588315,54.9382716049383,0
45,45,63.434948822922,Inf,68.9666783588649,41.9753086419753,0
45,45,65,Inf,76.9740562162916,35.8024691358025,0
45,45,70,Inf,109.080415111781,22.2222222222222,0
45,45,75,Inf,189.458388098845,9.5679012345679,0
45,45,80,Inf,347.39160969639,3.7037037037037,0
45,45,85,Inf,220.441732563691,0.308641975308642,0
45,60,0,Inf,NaN,0,0
45,60,5,Inf,62.9943698673358,93.2098765432099,0
45,60,10,Inf,49.8357317789563,96.9135802469136,0
45,60,15,Inf,55.470478541732,99.3827160493827,0
45,60,20,50.5002203379687,50.5002203379687,100,0
45,60,25,43.1014882417985,43.1014882417985,100,0
45,60,30,34.2235889739213,34.2235889739213,100,0
45,60,35,32.9226582435944,32.9226582435944,100,0
45,60,40,33.1727571239876,33.1727571239876,100,0
45,60,45,33.6619704017677,33.6619704017677,100,0
45,60,50,36.2904622429675,36.2904622429675,100,0
45,60,55,38.2462755025577,38.2462755025577,100,0
45,60,60,Inf,43.5236053092638,98.7654320987654,1.23456790123457
45,60,63.434948822922,Inf,49.4436153896193,98.7654320987654,0
45,60,65,Inf,51.7198297225703,98.4567901234568,0
45,60,70,Inf,69.5054324632049,94.4444444444444,0
45,60,75,Inf,96.8668100963224,83.641975308642,0
45,60,80,Inf,155.121621377205,67.2839506172839,0
45,60,85,Inf,338.232647063867,46.9135802469136,0
45,75,0,Inf,NaN,0,0
45,75,5,24.9598707540294,24.9598707540294,100,0
45,75,10,15.6591636815317,15.6591636815317,100,0
45,75,15,13.2672199425106,13.2672199425106,100,0
45,75,20,12.5329533239678,12.5329533239678,100,0
45,75,25,11.5390608247072,11.5390608247072,100,0
45,75,30,11.1060649949395,11.1060649949395,100,0
45,75,35,13.5883134868612,13.5883134868612,100,0
45,75,40,13.5136905900009,13.5136905900009,100,0
45,75,45,14.272744508534,14.272744508534,100,0
45,75,50,15.5261055133917,15.5261055133917,100,0
45,75,55,16.4786065204814,16.4786065204814,100,0
45,75,60,20.3724648040812,20.3724648040812,100,0
45,75,63.434948822922,22.1843105517921,22.1843105517921,100,0
45,75,65,23.1340462843451,23.1340462843451,100,0
45,75,70,28.3759095086551,28.3759095086551,100,0
45,75,75,Inf,36.2636037109874,98.7654320987654,1.23456790123457
45,75,80,Inf,51.2628411684278,98.7654320987654,0
45,75,85,Inf,128.720073673964,95.3703703703704,0
45,85,0,Inf,NaN,0,0
45,85,5,24.9598707540294,24.9598707540294,100,0
45,85,10,12.5922888494544,12.5922888494544,100,0
45,85,15,8.52332897761926,8.52332897761926,100,0
45,85,20,7.37394747169514,7.37394747169514,100,0
45,85,25,7.09417759008556,7.09417759008556,100,0
45,85,30,7.1354992442085,7.1354992442085,100,0
45,85,35,8.11005619558137,8.11005619558137,100,0
45,85,40,8.28713329108679,8.28713329108679,100,0
45,85,45,9.15391417864548,9.15391417864548,100,0
