Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,34,356,0.557830737662829,-0.0390073250888584,0.829037572555042
2,35,27,0.511060346909496,0.26039825297784,0.819152044288992
3,35,48,0.383797548648729,0.426250360690044,0.819152044288992
4,31,68,0.192936658721545,0.477534987543762,0.857167300702112
5,30,96,-0.0522642316338267,0.497260947684137,0.866025403784439
6,34,116,-0.245134034370785,0.502599252372252,0.829037572555042
7,35,147,-0.481041675634644,0.312392116801592,0.819152044288992
8,35,167,-0.558875709446653,0.129026624103965,0.819152044288992
9,27,195,-0.438521148588309,-0.117501387628206,0.891006524188368
10,35,213,-0.481041675634644,-0.312392116801592,0.819152044288992
11,34,244,-0.245134034370785,-0.502599252372252,0.829037572555042
12,31,264,-0.0538361384946786,-0.512216642446374,0.857167300702112
13,26,287,0.128167319487984,-0.419216412551365,0.898794046299167
14,35,312,0.383797548648729,-0.426250360690044,0.819152044288992
15,35,333,0.511060346909496,-0.26039825297784,0.819152044288992
