BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples
1,15,45,3,uniform_cone,per_orientation,Inf,3000
2,30,45,3,uniform_cone,per_orientation,Inf,3000
3,45,45,3,uniform_cone,per_orientation,Inf,3000
4,60,45,3,uniform_cone,per_orientation,Inf,3000
5,75,45,3,uniform_cone,per_orientation,Inf,3000
6,15,60,3,uniform_cone,per_orientation,Inf,3000
7,30,60,3,uniform_cone,per_orientation,Inf,3000
8,45,60,3,uniform_cone,per_orientation,Inf,3000
9,60,60,3,uniform_cone,per_orientation,Inf,3000
10,75,60,3,uniform_cone,per_orientation,Inf,3000
11,15,65,3,uniform_cone,per_orientation,Inf,3000
12,30,65,3,uniform_cone,per_orientation,Inf,3000
13,45,65,3,uniform_cone,per_orientation,Inf,3000
14,60,65,3,uniform_cone,per_orientation,Inf,3000
15,75,65,3,uniform_cone,per_orientation,Inf,3000
16,15,70,3,uniform_cone,per_orientation,191112927.977673,3000
17,30,70,3,uniform_cone,per_orientation,1531.77220514554,3000
18,45,70,3,uniform_cone,per_orientation,513.579670054111,3000
19,60,70,3,uniform_cone,per_orientation,464.533583750488,3000
20,75,70,3,uniform_cone,per_orientation,540.501795769431,3000
21,15,75,3,uniform_cone,per_orientation,191112927.977673,3000
22,30,75,3,uniform_cone,per_orientation,1531.77220514554,3000
23,45,75,3,uniform_cone,per_orientation,513.579670054111,3000
24,60,75,3,uniform_cone,per_orientation,464.533583750488,3000
25,75,75,3,uniform_cone,per_orientation,540.501795769431,3000
26,15,85,3,uniform_cone,per_orientation,191112927.977673,3000
27,30,85,3,uniform_cone,per_orientation,1531.77220514554,3000
28,45,85,3,uniform_cone,per_orientation,513.579670054111,3000
29,60,85,3,uniform_cone,per_orientation,464.533583750488,3000
30,75,85,3,uniform_cone,per_orientation,540.501795769431,3000
31,15,45,5,uniform_cone,per_orientation,Inf,5000
32,30,45,5,uniform_cone,per_orientation,Inf,5000
33,45,45,5,uniform_cone,per_orientation,Inf,5000
34,60,45,5,uniform_cone,per_orientation,Inf,5000
35,75,45,5,uniform_cone,per_orientation,Inf,5000
36,15,60,5,uniform_cone,per_orientation,Inf,5000
37,30,60,5,uniform_cone,per_orientation,Inf,5000
38,45,60,5,uniform_cone,per_orientation,Inf,5000
