m_R,NoiseStdScale,Method,RMSE_full_cm,RMSE_success_cm,Failure_percent,RMS_bias_cm,RMS_PEB_cm,RMSE_success_over_PEB,MC_CI95_low_cm,MC_CI95_high_cm,DirectionRMSE_deg,RangeRMSE_cm
0.5,1,LS,1.54850935826673,1.54850935826673,0,0.124992319061074,1.51887129550403,1.0195132154057,1.5191375772891,1.57788113924436,0.400826040878388,0.295509293699374
0.5,1,GLS,1.54862429259207,1.54862429259207,0,0.12124408609571,1.51887129550403,1.01958888628425,1.51923895104154,1.57800963414259,0.400840637187677,0.295622116744119
0.5,1,WLS,2.05732118760144,2.05732118760144,0,0.435294205254805,1.51887129550403,1.3545065955827,2.01951514068011,2.09512723452277,0.531730740063099,0.435532094113019
0.5,1,NLS,1.5485278409681,1.5485278409681,0,0.125192000796324,1.51887129550403,1.01952538411376,1.5191361301078,1.5779195518284,0.40081246407586,0.295558531985861
1,1,LS,0.796857563421659,0.796857563421659,0,0.0639717734762642,0.781887864060648,1.01914558346419,0.781826791073555,0.811888335769763,0.204885179444915,0.183400103974469
1,1,GLS,0.796824135667161,0.796824135667161,0,0.0628794031341292,0.781887864060648,1.01910283084449,0.781796014382338,0.811852256951984,0.204879247307855,0.183387047482159
1,1,WLS,1.05176952451166,1.05176952451166,0,0.160574962154368,0.781887864060648,1.3451667084963,1.03167746199834,1.07186158702498,0.269522954330974,0.264620651843576
1,1,NLS,0.796857563421659,0.796857563421659,0,0.0639717734762642,0.781887864060648,1.01914558346419,0.781826791073555,0.811888335769763,0.204885179444915,0.183400103974469
2,1,LS,0.424629659695872,0.424629659695872,0,0.0340493027892705,0.416453721554066,1.01963228497826,0.416722839325341,0.432536480066403,0.107300762172316,0.12981769129475
2,1,GLS,0.424087749075237,0.424087749075237,0,0.0336473708143874,0.416453721554066,1.01833103446088,0.416197119658967,0.431978378491507,0.107156165637618,0.129589611026668
2,1,WLS,0.551981818354763,0.551981818354763,0,0.0748888430174871,0.416453721554066,1.32543375118597,0.541433081355573,0.562530555353952,0.138607010909978,0.180071744403252
2,1,NLS,0.424105207623479,0.424105207623479,0,0.033931950092335,0.416453721554066,1.01837295640164,0.416213712303389,0.431996702943569,0.107159495785099,0.129599761830197
3,1,LS,0.30393490698645,0.30393490698645,0,0.0243435083893897,0.297400299109099,1.02197243209549,0.298351664363674,0.309518149609226,0.0751648752010304,0.114138486498001
3,1,GLS,0.302629643872898,0.302629643872898,0,0.024051627797961,0.297400299109099,1.01758352220715,0.297074000866334,0.308185286879462,0.0748113902704652,0.113497583123279
3,1,WLS,0.388782137649274,0.388782137649274,0,0.0519817278986895,0.297400299109099,1.30726881853825,0.381388140004257,0.396176135294291,0.0953293089208593,0.152661771771832
3,1,NLS,0.302638320917042,0.302638320917042,0,0.0241588826995686,0.297400299109099,1.01761269851992,0.29708221911425,0.308194422719835,0.0748129919598339,0.113503900247818
0.5,10,LS,15.3719869786529,15.3719869786529,0,2.00456657613368,15.1887129550403,1.01206646173084,15.0850647442834,15.6589092130225,3.99302449899121,3.0526129029706
0.5,10,GLS,15.7515492806729,15.7515492806729,0,2.07065367407291,15.1887129550403,1.03705622242639,15.4575349421391,16.0455636192067,4.08178399755718,3.25176777860017
0.5,10,WLS,23.9762702606039,23.9762702606039,0,10.0250494403994,15.1887129550403,1.57855838948142,23.5582490526997,24.3942914685081,6.16745260230524,6.22601209982974
0.5,10,NLS,15.3740113502837,15.3740113502837,0,2.00433167379891,15.1887129550403,1.01219974304551,15.0867427827886,15.6612799177788,3.99330767804202,3.05514178376246
1,10,LS,7.95468138061458,7.95468138061458,0,0.773624383855609,7.81887864060649,1.01736856987431,7.80525046465289,8.10411229657627,2.04737246777839,1.83830003134552
1,10,GLS,7.99927258850002,7.99927258850002,0,0.733911956830649,7.81887864060649,1.02307158816312,7.84910712142472,8.14943805557531,2.05761346702511,1.86513956204636
1,10,WLS,11.2337809330327,11.2337809330327,0,4.46018070950511,7.81887864060649,1.43675090117032,11.0239047037392,11.4436571623262,2.86813749849655,3.0298236783457
1,10,NLS,7.95468138061458,7.95468138061458,0,0.773624383855609,7.81887864060649,1.01736856987431,7.80525046465289,8.10411229657627,2.04737246777839,1.83830003134552
2,10,LS,4.24436300004934,4.24436300004934,0,0.358535811483397,4.16453721554066,1.01916798443073,4.16544961803495,4.32327638206373,1.07295071407979,1.29568122375362
2,10,GLS,4.24315664582706,4.24315664582706,0,0.33942371409258,4.16453721554066,1.01887831137467,4.16437802099763,4.32193527065649,1.07246464447188,1.29608707366512
2,10,WLS,5.59018409502466,5.59018409502466,0,1.77809061567528,4.16453721554066,1.34233020518197,5.48477433674903,5.69559385330028,1.40417324954526,1.85066054100986
2,10,NLS,4.2386985362893,4.2386985362893,0,0.358213521381185,4.16453721554066,1.01780781799041,4.15997770166071,4.31741937091789,1.07146503532615,1.29280635890721
3,10,LS,3.0385254193941,3.0385254193941,0,0.245389275428483,2.97400299109099,1.02169548198048,2.98277366842634,3.09427717036187,0.751667384543375,1.13949305828781
3,10,GLS,3.0259419257508,3.0259419257508,0,0.23637211978467,2.97400299109099,1.01746431823216,2.97051506065237,3.08136879084922,0.748276462662292,1.13289382805055
3,10,WLS,3.89260307881098,3.89260307881098,0,1.0126344460676,2.97400299109099,1.30887665226692,3.81968799749663,3.96551816012533,0.9562146883735,1.53305532853742
3,10,NLS,3.02509085332524,3.02509085332524,0,0.244640944823792,2.97400299109099,1.01717814756316,2.96966487416351,3.08051683248696,0.748082273872904,1.13229045476502
