Case,OrientationVariance_deg2,VisibilityDisagreement_percent,Method,RMSE_full_cm,RMSE_success_cm,Failure_percent,RMS_bias_cm,RMS_PEB_cm,RMSE_success_over_PEB,MC_CI95_low_cm,MC_CI95_high_cm,DirectionRMSE_deg,RangeRMSE_cm
1,0,0,LS,2.01261576036262,2.01261576036262,0,0.203468322716432,1.959234590664,1.02724593060627,1.96572367922461,2.05950784150064,0.587559294596553,0.393791311293262
1,0,0,GLS,2.01332407012607,2.01332407012607,0,0.202582398276101,1.959234590664,1.02760745431906,1.96645384731404,2.0601942929381,0.587747559248811,0.394209092729988
1,0,0,WLS,2.71167423556441,2.71167423556441,0,0.769824144773496,1.959234590664,1.38404775440669,2.64559667337454,2.77775179775428,0.790067103308737,0.592902484006679
1,0,0,NLS,2.01261576036262,2.01261576036262,0,0.203468322716432,1.959234590664,1.02724593060627,1.96572367922461,2.05950784150064,0.587559294596553,0.393791311293262
1,0.0025,0,LS,2.02700057807885,2.02700057807885,0,0.203524941405889,1.97149228685961,1.02815546963547,1.97962154098363,2.07437961517407,0.592273888179481,0.395484658122387
1,0.0025,0,GLS,2.02771641097638,2.02771641097638,0,0.202673565659354,1.97149228685961,1.02851856154422,1.98036016787731,2.07507265407545,0.592463793034521,0.395907733255009
1,0.0025,0,WLS,2.72119971760893,2.72119971760893,0,0.771437435543804,1.97149228685961,1.38027408767778,2.6549486936108,2.78745074160707,0.793475797449479,0.594211794546343
1,0.0025,0,NLS,2.02700057807885,2.02700057807885,0,0.203524941405889,1.97149228685961,1.02815546963547,1.97962154098363,2.07437961517407,0.592273888179481,0.395484658122387
1,0.01,0,LS,2.06444300573738,2.06444300573738,0,0.204874861813144,2.00781642707315,1.02820306572886,2.01622932829183,2.11265668318293,0.605235023655758,0.399635578100711
1,0.01,0,GLS,2.06515815704889,2.06515815704889,0,0.204068859020646,2.00781642707315,1.02855924934299,2.01696693621768,2.11334937788011,0.605423931056532,0.400064748707655
1,0.01,0,WLS,2.74804439141438,2.74804439141438,0,0.773475792866719,2.00781642707315,1.36867312885784,2.68142064228032,2.81466814054845,0.803094275547252,0.597281139501939
1,0.01,0,NLS,2.06444300573738,2.06444300573738,0,0.204874861813144,2.00781642707315,1.02820306572886,2.01622932829183,2.11265668318293,0.605235023655758,0.399635578100711
1,0.04,0,LS,2.20307892379189,2.20307892379189,0,0.211365250307398,2.14697617023017,1.0261310555467,2.1523276699146,2.25383017766918,0.653626386072763,0.414978589325143
1,0.04,0,GLS,2.2037720660481,2.2037720660481,0,0.210677580281197,2.14697617023017,1.02645390135459,2.15303953698683,2.25450459510937,0.653806985199978,0.415422154346894
1,0.04,0,WLS,2.85141863042481,2.85141863042481,0,0.778822253950011,2.14697617023017,1.32810911921725,2.7834884084446,2.91934885240503,0.839970113497861,0.608582471466971
1,0.04,0,NLS,2.20307892379189,2.20307892379189,0,0.211365250307398,2.14697617023017,1.0261310555467,2.1523276699146,2.25383017766918,0.653626386072763,0.414978589325143
1,0.16,0,LS,2.67911739891126,2.67911739891126,0,0.238049427733232,2.63101238278764,1.01828384253846,2.62050264580804,2.73773215201448,0.81765896211904,0.469980904002237
1,0.16,0,GLS,2.67972498315565,2.67972498315565,0,0.237663370865617,2.63101238278764,1.01851477426967,2.62111747724962,2.73833248906168,0.817812382521625,0.47046152853987
1,0.16,0,WLS,3.22938773825943,3.22938773825943,0,0.794578470514912,2.63101238278764,1.22743159986111,3.15662130361711,3.30215417290175,0.972744917166764,0.650358367599606
1,0.16,0,NLS,2.67911739891126,2.67911739891126,0,0.238049427733232,2.63101238278764,1.01828384253846,2.62050264580804,2.73773215201448,0.81765896211904,0.469980904002237
1,0.49,0,LS,3.67626640696017,3.67626640696017,0,0.304324572908994,3.64447592065135,1.00872292395422,3.60053214342472,3.75200067049563,1.1529635177168,0.594796722914768
1,0.49,0,GLS,3.67674987458116,3.67674987458116,0,0.304399739338677,3.64447592065135,1.00885558160693,3.60101220122394,3.75248754793837,1.15308189942674,0.595352124135496
1,0.49,0,WLS,4.08988565557976,4.08988565557976,0,0.830951603503819,3.64447592065135,1.12221503026114,4.0043676021801,4.17540370897943,1.26728498172858,0.752248530446707
1,0.49,0,NLS,3.67626640696017,3.67626640696017,0,0.304324572908994,3.64447592065135,1.00872292395422,3.60053214342472,3.75200067049563,1.1529635177168,0.594796722914768
1,1,0,LS,4.82398287216553,4.82398287216553,0,0.392344435626695,4.80741744997265,1.00344580481418,4.72723231285376,4.9207334314773,1.5325039685662,0.748583469958526
1,1,0,GLS,4.82438191935598,4.82438191935598,0,0.392801156726323,4.80741744997265,1.00352881137531,4.72762445286076,4.9211393858512,1.53260019341181,0.749231213070341
1,1,0,WLS,5.14232812817959,5.14232812817959,0,0.883014117687891,4.80741744997265,1.06966540386644,5.03895450918212,5.24570174717705,1.61996265178648,0.887362685659982
1,1,0,NLS,4.82398287216553,4.82398287216553,0,0.392344435626695,4.80741744997265,1.00344580481418,4.72723231285376,4.9207334314773,1.5325039685662,0.748583469958526
2,0,0,LS,0.607118317954466,0.607118317954466,0,0.0607949991336375,0.590993155220768,1.02728485531727,0.592999303188372,0.62123733272056,0.177099968522735,0.121155775484577
2,0,0,GLS,0.607127695135625,0.607127695135625,0,0.060676026239359,0.590993155220768,1.02730072213582,0.59301205642265,0.621243333848599,0.177102485548318,0.121164168787465
2,0,0,WLS,0.807727452860586,0.807727452860586,0,0.146872904378802,0.590993155220768,1.36672894723942,0.787714300084935,0.827740605636236,0.235224076291495,0.174885906450397
2,0,0,NLS,0.607118317954466,0.607118317954466,0,0.0607949991336375,0.590993155220768,1.02728485531727,0.592999303188372,0.62123733272056,0.177099968522735,0.121155775484577
2,0.0025,0,LS,0.647531486626043,0.647531486626043,0,0.0621839980180183,0.630439977642929,1.02711044602059,0.632542531262937,0.662520441989149,0.191084106541001,0.12564755761002
2,0.0025,0,GLS,0.647543432783134,0.647543432783134,0,0.062077228802704,0.630439977642929,1.02712939494121,0.632557730956642,0.662529134609626,0.191087224259047,0.125657189260606
2,0.0025,0,WLS,0.838408828893474,0.838408828893474,0,0.147120717247765,0.630439977642929,1.32987890778769,0.817850826163196,0.858966831623752,0.246026184793356,0.178342034490414
2,0.0025,0,NLS,0.647531486626043,0.647531486626043,0,0.0621839980180183,0.630439977642929,1.02711044602059,0.632542531262937,0.662520441989149,0.191084106541001,0.12564755761002
2,0.01,0,LS,0.751730062589741,0.751730062589741,0,0.0673992600498268,0.73620617566567,1.02108633075515,0.734992781200491,0.768467343978991,0.227201561206367,0.137293058996943
2,0.01,0,GLS,0.75174306481047,0.75174306481047,0,0.0673110813345149,0.73620617566567,1.02110399186852,0.735008079362885,0.768478050258056,0.227204842716288,0.137304183634426
2,0.01,0,WLS,0.921157045225257,0.921157045225257,0,0.149118073413813,0.73620617566567,1.25122156764354,0.89955899562672,0.942755094823793,0.275111031375959,0.187069601770252
2,0.01,0,NLS,0.751730062589741,0.751730062589741,0,0.0673992600498268,0.73620617566567,1.02108633075515,0.734992781200491,0.768467343978991,0.227201561206367,0.137293058996943
