Case,OrientationVariance_deg2,VisibilityDisagreement_percent,Method,RMSE_full_cm,RMSE_success_cm,Failure_percent,RMS_bias_cm,RMS_PEB_cm,RMSE_success_over_PEB,MC_CI95_low_cm,MC_CI95_high_cm,DirectionRMSE_deg,RangeRMSE_cm
1,0,0,LS,2.01261576036262,2.01261576036262,0,0.203468322716432,1.959234590664,1.02724593060627,1.96572367922461,2.05950784150064,0.587559294596553,0.393791311293262
1,0,0,GLS,2.01332407012607,2.01332407012607,0,0.202582398276101,1.959234590664,1.02760745431906,1.96645384731404,2.0601942929381,0.587747559248811,0.394209092729988
1,0,0,WLS,2.71167423556441,2.71167423556441,0,0.769824144773496,1.959234590664,1.38404775440669,2.64559667337454,2.77775179775428,0.790067103308737,0.592902484006679
1,0,0,NLS,2.01261576036262,2.01261576036262,0,0.203468322716432,1.959234590664,1.02724593060627,1.96572367922461,2.05950784150064,0.587559294596553,0.393791311293262
1,0.0025,0,LS,2.05684118718096,2.05684118718096,0,0.212477910386763,2.00037620182067,1.0282271831213,2.00963592522115,2.10404644914076,0.604009737769702,0.405219608450054
1,0.0025,0,GLS,2.05749307853648,2.05749307853648,0,0.209913394137071,2.00037620182067,1.02855306749991,2.01032567556403,2.10466048150893,0.604184288547996,0.405623194022968
1,0.0025,0,WLS,2.75428537630776,2.75428537630776,0,0.76295863037357,2.00037620182067,1.37688369507741,2.68872350080809,2.81984725180743,0.806886681495824,0.606284283674085
1,0.0025,0,NLS,2.05684118718096,2.05684118718096,0,0.212477910386763,2.00037620182067,1.0282271831213,2.00963592522115,2.10404644914076,0.604009737769702,0.405219608450054
1,0.01,0,LS,2.17491358550602,2.17491358550602,0,0.235718054615827,2.11790701600561,1.02691646473127,2.12653861556862,2.22328855544342,0.647562882823195,0.437057014729844
1,0.01,0,GLS,2.17550438602731,2.17550438602731,0,0.230135231866341,2.11790701600561,1.0271954196225,2.12717325159462,2.22383552046,0.647720269674608,0.437442906779118
1,0.01,0,WLS,2.86976557219622,2.86976557219622,0,0.753916496708201,2.11790701600561,1.35500073917722,2.80371851852166,2.93581262587078,0.850494466929087,0.642939138544384
1,0.01,0,NLS,2.17491358550602,2.17491358550602,0,0.235718054615827,2.11790701600561,1.02691646473127,2.12653861556862,2.22328855544342,0.647562882823195,0.437057014729844
1,0.04,0,LS,2.58735416742801,2.58735416742801,0,0.350748235183018,2.5283450864445,1.02333901384739,2.53349666224311,2.6412116726129,0.795897174876076,0.54588344649517
1,0.04,0,GLS,2.58767734413809,2.58767734413809,0,0.334757267085019,2.5283450864445,1.02346683528751,2.53384851948285,2.64150616879333,0.795971921481539,0.546136342512469
1,0.04,0,WLS,3.28310864330788,3.28310864330788,0,0.72934398452412,2.5283450864445,1.2985207837767,3.21189915107277,3.354318135543,1.00168544844477,0.770967558897201
1,0.04,0,NLS,2.58735416742801,2.58735416742801,0,0.350748235183018,2.5283450864445,1.02333901384739,2.53349666224311,2.6412116726129,0.795897174876076,0.54588344649517
1,0.16,0,LS,3.81138919993285,3.81138919993285,0,0.880427183531121,3.72747486808515,1.02251238031574,3.73667627134657,3.88610212851914,1.2186334888381,0.853231993356548
1,0.16,0,GLS,3.80992067783411,3.80992067783411,0,0.82923215214647,3.72747486808515,1.0221184079482,3.73506527940548,3.88477607626273,1.21817014044581,0.852472615033422
1,0.16,0,WLS,4.55189698795764,4.55189698795764,0,0.658119357413791,3.72747486808515,1.22117442747401,4.45312755512268,4.6506664207926,1.44630352624258,1.14428911930604
1,0.16,0,NLS,3.81138919993285,3.81138919993285,0,0.880427183531121,3.72747486808515,1.02251238031574,3.73667627134657,3.88610212851914,1.2186334888381,0.853231993356548
1,0.49,0,LS,6.02103694857419,6.02103694857419,0,2.30610951432374,5.85947900731196,1.02757206588856,5.90851814092237,6.13355575622601,1.95903538737086,1.38664240120381
1,0.49,0,GLS,6.01176833975971,6.01176833975971,0,2.1705102092207,5.85947900731196,1.02599025139568,5.89836832822898,6.12516835129043,1.95626443792188,1.38240694290885
1,0.49,0,WLS,6.8201187675333,6.8201187675333,0,0.628338756637067,5.85947900731196,1.16394627560276,6.65693255735718,6.98330497770943,2.21881933695397,1.76909942716292
1,0.49,0,NLS,6.02103694857419,6.02103694857419,0,2.30610951432374,5.85947900731196,1.02757206588856,5.90851814092237,6.13355575622601,1.95903538737086,1.38664240120381
1,1,0,LS,8.39159849602516,8.39159849602516,0,4.36302985117863,8.11417644816178,1.03418979728081,8.24133908925095,8.54185790279937,2.74325802606434,1.94250570618277
1,1,0,GLS,8.36329016819283,8.36329016819283,0,4.11908931019793,8.11417644816178,1.03070104792797,8.21124724591689,8.51533309046877,2.73467716935117,1.93121110731377
1,1,0,WLS,9.06057923899318,9.06057923899318,0,1.3047111269084,8.11417644816178,1.11663571736178,8.82111425620227,9.30004422178409,2.98149351236912,2.30452264322803
1,1,0,NLS,8.39159849602516,8.39159849602516,0,4.36302985117863,8.11417644816178,1.03418979728081,8.24133908925095,8.54185790279937,2.74325802606434,1.94250570618277
2,0,0,LS,0.607118317954466,0.607118317954466,0,0.0607949991336375,0.590993155220768,1.02728485531727,0.592999303188372,0.62123733272056,0.177099968522735,0.121155775484577
2,0,0,GLS,0.607127695135625,0.607127695135625,0,0.060676026239359,0.590993155220768,1.02730072213582,0.59301205642265,0.621243333848599,0.177102485548318,0.121164168787465
2,0,0,WLS,0.807727452860586,0.807727452860586,0,0.146872904378802,0.590993155220768,1.36672894723942,0.787714300084935,0.827740605636236,0.235224076291495,0.174885906450397
2,0,0,NLS,0.607118317954466,0.607118317954466,0,0.0607949991336375,0.590993155220768,1.02728485531727,0.592999303188372,0.62123733272056,0.177099968522735,0.121155775484577
2,0.0025,0,LS,0.629558963608359,0.629558963608359,0,0.0659073350497303,0.610673610246014,1.03092544535327,0.615236276797593,0.643881650419126,0.18492623267278,0.125984057682813
2,0.0025,0,GLS,0.629558752331107,0.629558752331107,0,0.0656419786926292,0.610673610246014,1.03092509937917,0.6152416754064,0.643875829255815,0.184926246176389,0.125989347466726
2,0.0025,0,WLS,0.822770267328193,0.822770267328193,0,0.150024851154145,0.610673610246014,1.34731590414843,0.802622924615216,0.84291761004117,0.240756595256675,0.177516916075839
2,0.0025,0,NLS,0.629558963608359,0.629558963608359,0,0.0659073350497303,0.610673610246014,1.03092544535327,0.615236276797593,0.643881650419126,0.18492623267278,0.125984057682813
2,0.01,0,LS,0.686902796056367,0.686902796056367,0,0.0742486814796483,0.663146679615031,1.03582332110164,0.671814597179088,0.701990994933647,0.205200466448175,0.138150748550058
2,0.01,0,GLS,0.686889386227209,0.686889386227209,0,0.0737846091038022,0.663146679615031,1.03580309958871,0.67180802037734,0.701970752077078,0.205196739254794,0.138151205982048
2,0.01,0,WLS,0.861764466764297,0.861764466764297,0,0.153832758527428,0.663146679615031,1.29950807755619,0.841272187730951,0.882256745797643,0.255060437114216,0.183808691485421
2,0.01,0,NLS,0.686902796056367,0.686902796056367,0,0.0742486814796483,0.663146679615031,1.03582332110164,0.671814597179088,0.701990994933647,0.205200466448175,0.138150748550058
