sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260721_173148_1,2026-07-21,17:36:40,X,-90.000000,90.000000,180.000000,1.000000,0.403954,0.403837,0.001936,1000,1000
20260721_173148_2,2026-07-21,17:36:44,X,-89.000000,89.000000,180.000000,1.000000,0.396970,0.396928,0.002112,1000,1000
20260721_173148_3,2026-07-21,17:36:48,X,-88.000000,88.000000,180.000000,1.000000,0.391627,0.391663,0.001906,1000,1000
20260721_173148_4,2026-07-21,17:36:52,X,-87.000000,87.000000,180.000000,1.000000,0.393828,0.393966,0.001934,1000,1000
20260721_173148_5,2026-07-21,17:36:57,X,-86.000000,86.000000,180.000000,1.000000,0.407670,0.407786,0.002088,1000,1000
20260721_173148_6,2026-07-21,17:37:01,X,-85.000000,85.000000,180.000000,1.000000,0.443280,0.443321,0.002062,1000,1000
20260721_173148_7,2026-07-21,17:37:05,X,-84.000000,84.000000,180.000000,1.000000,0.515662,0.515707,0.002115,1000,1000
20260721_173148_8,2026-07-21,17:37:09,X,-83.000000,83.000000,180.000000,1.000000,0.535847,0.535777,0.001986,1000,1000
20260721_173148_9,2026-07-21,17:37:13,X,-82.000000,82.000000,180.000000,1.000000,0.545678,0.545648,0.001976,1000,1000
20260721_173148_10,2026-07-21,17:37:17,X,-81.000000,81.000000,180.000000,1.000000,0.553189,0.553216,0.002103,1000,1000
20260721_173148_11,2026-07-21,17:37:22,X,-80.000000,80.000000,180.000000,1.000000,0.548624,0.548609,0.002192,1000,1000
20260721_173148_12,2026-07-21,17:37:26,X,-79.000000,79.000000,180.000000,1.000000,0.540211,0.540384,0.002020,1000,1000
20260721_173148_13,2026-07-21,17:37:30,X,-78.000000,78.000000,180.000000,1.000000,0.520453,0.520313,0.001989,1000,1000
20260721_173148_14,2026-07-21,17:37:34,X,-77.000000,77.000000,180.000000,1.000000,0.495659,0.495636,0.002158,1000,1000
