sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_153045_1,2026-07-22,15:33:36,X,-90.000000,90.000000,180.000000,1.000000,0.395586,0.395612,0.001807,1000,1000
20260722_153045_2,2026-07-22,15:33:40,X,-89.000000,89.000000,180.000000,1.000000,0.396197,0.396270,0.001852,1000,1000
20260722_153045_3,2026-07-22,15:33:44,X,-88.000000,88.000000,180.000000,1.000000,0.401111,0.401205,0.001945,1000,1000
20260722_153045_4,2026-07-22,15:33:48,X,-87.000000,87.000000,180.000000,1.000000,0.417809,0.417986,0.002045,1000,1000
20260722_153045_5,2026-07-22,15:33:52,X,-86.000000,86.000000,180.000000,1.000000,0.457198,0.457140,0.001615,1000,1000
20260722_153045_6,2026-07-22,15:33:56,X,-85.000000,85.000000,180.000000,1.000000,0.530667,0.530842,0.001870,1000,1000
20260722_153045_7,2026-07-22,15:34:00,X,-84.000000,84.000000,180.000000,1.000000,0.540195,0.540055,0.001928,1000,1000
20260722_153045_8,2026-07-22,15:34:04,X,-83.000000,83.000000,180.000000,1.000000,0.545886,0.545977,0.001996,1000,1000
20260722_153045_9,2026-07-22,15:34:09,X,-82.000000,82.000000,180.000000,1.000000,0.551525,0.551571,0.002026,1000,1000
20260722_153045_10,2026-07-22,15:34:13,X,-81.000000,81.000000,180.000000,1.000000,0.550489,0.550584,0.001963,1000,1000
20260722_153045_11,2026-07-22,15:34:17,X,-80.000000,80.000000,180.000000,1.000000,0.533662,0.533803,0.001762,1000,1000
20260722_153045_12,2026-07-22,15:34:21,X,-79.000000,79.000000,180.000000,1.000000,0.512280,0.512416,0.002001,1000,1000
20260722_153045_13,2026-07-22,15:34:25,X,-78.000000,78.000000,180.000000,1.000000,0.492800,0.493004,0.002106,1000,1000
20260722_153045_14,2026-07-22,15:34:29,X,-77.000000,77.000000,180.000000,1.000000,0.496601,0.496623,0.002098,1000,1000
20260722_153045_15,2026-07-22,15:34:33,X,-76.000000,76.000000,180.000000,1.000000,0.505029,0.504849,0.001884,1000,1000
20260722_153045_16,2026-07-22,15:34:37,X,-75.000000,75.000000,180.000000,1.000000,0.517276,0.517352,0.001886,1000,1000
20260722_153045_17,2026-07-22,15:34:42,X,-74.000000,74.000000,180.000000,1.000000,0.523127,0.522945,0.001960,1000,1000
20260722_153045_18,2026-07-22,15:34:46,X,-73.000000,73.000000,180.000000,1.000000,0.528609,0.528539,0.001967,1000,1000
20260722_153045_19,2026-07-22,15:34:50,X,-72.000000,72.000000,180.000000,1.000000,0.541118,0.541042,0.001997,1000,1000
20260722_153045_20,2026-07-22,15:34:54,X,-71.000000,71.000000,180.000000,1.000000,0.558236,0.558151,0.001859,1000,1000
20260722_153045_21,2026-07-22,15:34:58,X,-70.000000,70.000000,180.000000,1.000000,0.577016,0.577235,0.002147,1000,1000
20260722_153045_22,2026-07-22,15:35:02,X,-69.000000,69.000000,180.000000,1.000000,0.599575,0.599609,0.002140,1000,1000
20260722_153045_23,2026-07-22,15:35:06,X,-68.000000,68.000000,180.000000,1.000000,0.621384,0.621325,0.001972,1000,1000
20260722_153045_24,2026-07-22,15:35:11,X,-67.000000,67.000000,180.000000,1.000000,0.641380,0.641395,0.001724,1000,1000
20260722_153045_25,2026-07-22,15:35:15,X,-66.000000,66.000000,180.000000,1.000000,0.662741,0.662782,0.001980,1000,1000
20260722_153045_26,2026-07-22,15:35:19,X,-65.000000,65.000000,180.000000,1.000000,0.685920,0.685814,0.001839,1000,1000
20260722_153045_27,2026-07-22,15:35:23,X,-64.000000,64.000000,180.000000,1.000000,0.712463,0.712465,0.002090,1000,1000
