sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_162340_1,2026-07-22,16:24:33,Y,-90.000000,90.000000,270.000000,1.000000,0.535368,0.535448,0.001981,1000,1000
20260722_162340_2,2026-07-22,16:24:36,Y,-88.000000,88.000000,270.000000,1.000000,0.288055,0.288020,0.001938,1000,1000
20260722_162340_3,2026-07-22,16:24:40,Y,-86.000000,86.000000,270.000000,1.000000,0.269928,0.269923,0.002256,1000,1000
20260722_162340_4,2026-07-22,16:24:43,Y,-84.000000,84.000000,270.000000,1.000000,0.253429,0.253472,0.001967,1000,1000
20260722_162340_5,2026-07-22,16:24:47,Y,-82.000000,82.000000,270.000000,1.000000,0.238456,0.238337,0.001884,1000,1000
20260722_162340_6,2026-07-22,16:24:50,Y,-80.000000,80.000000,270.000000,1.000000,0.223992,0.223859,0.001881,1000,1000
20260722_162340_7,2026-07-22,16:24:54,Y,-78.000000,78.000000,270.000000,1.000000,0.210100,0.210040,0.001763,1000,1000
20260722_162340_8,2026-07-22,16:24:57,Y,-76.000000,76.000000,270.000000,1.000000,0.196837,0.196879,0.001964,1000,1000
20260722_162340_9,2026-07-22,16:25:01,Y,-74.000000,74.000000,270.000000,1.000000,0.184647,0.184705,0.001878,1000,1000
20260722_162340_10,2026-07-22,16:25:04,Y,-72.000000,72.000000,270.000000,1.000000,0.173474,0.173518,0.001772,1000,1000
20260722_162340_11,2026-07-22,16:25:08,Y,-70.000000,70.000000,270.000000,1.000000,0.170318,0.170228,0.002114,1000,1000
20260722_162340_12,2026-07-22,16:25:11,Y,-68.000000,68.000000,270.000000,1.000000,0.675392,0.675285,0.001870,1000,1000
20260722_162340_13,2026-07-22,16:25:15,Y,-66.000000,66.000000,270.000000,1.000000,0.726893,0.726943,0.001900,1000,1000
20260722_162340_14,2026-07-22,16:25:18,Y,-64.000000,64.000000,270.000000,1.000000,0.797222,0.797355,0.001977,1000,1000
