sample_id,date,time,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_182801_1,2026-07-22,18:29:37,0.000000,0.000000,1.000000,8.689663,8.689633,0.005314,1000,1000
20260722_182801_2,2026-07-22,18:29:42,2.000000,0.000000,1.000000,8.711423,8.713983,0.009793,1000,1000
20260722_182801_3,2026-07-22,18:29:45,2.000000,2.000000,1.000000,8.712697,8.712338,0.003338,1000,1000
20260722_182801_4,2026-07-22,18:29:47,2.000000,4.000000,1.000000,8.714803,8.715299,0.003601,1000,1000
20260722_182801_5,2026-07-22,18:29:50,2.000000,6.000000,1.000000,8.708724,8.709047,0.003946,1000,1000
20260722_182801_6,2026-07-22,18:29:53,2.000000,8.000000,1.000000,8.709604,8.709376,0.003090,1000,1000
20260722_182801_7,2026-07-22,18:29:56,2.000000,10.000000,1.000000,8.710701,8.711022,0.002382,1000,1000
20260722_182801_8,2026-07-22,18:29:59,2.000000,12.000000,1.000000,8.705471,8.705757,0.005521,1000,1000
20260722_182801_9,2026-07-22,18:30:02,2.000000,14.000000,1.000000,8.698524,8.698518,0.002127,1000,1000
20260722_182801_10,2026-07-22,18:30:04,2.000000,16.000000,1.000000,8.692589,8.692595,0.002857,1000,1000
20260722_182801_11,2026-07-22,18:30:07,2.000000,18.000000,1.000000,8.698396,8.698518,0.002328,1000,1000
20260722_182801_12,2026-07-22,18:30:10,2.000000,20.000000,1.000000,8.671412,8.670219,0.005771,1000,1000
20260722_182801_13,2026-07-22,18:30:13,2.000000,22.000000,1.000000,8.702140,8.704112,0.006168,1000,1000
20260722_182801_14,2026-07-22,18:30:16,2.000000,24.000000,1.000000,8.707376,8.704276,0.009852,1000,1000
20260722_182801_15,2026-07-22,18:30:18,2.000000,26.000000,1.000000,8.690102,8.690621,0.014002,1000,1000
20260722_182801_16,2026-07-22,18:30:21,2.000000,28.000000,1.000000,8.699358,8.696872,0.007988,1000,1000
20260722_182801_17,2026-07-22,18:30:24,2.000000,30.000000,1.000000,8.680651,8.680420,0.003292,1000,1000
