point_id,x,y,z,scan_kind,tilt_cmd_deg,tilt_cmd_az,pose_px,pose_py,pose_pz,pose_qx,pose_qy,pose_qz,pose_qw,nr_incl,nr_az,orientation_id,nt_incl,nt_az,repeat_id,date,time,v_mean,v_median,v_std,n_samples,fs
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,1,16,90,1,2026-08-27,10:45:02,0.16680731,0.16660858,0.0020200471,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,2,16,210,1,2026-08-27,10:45:09,0.35995689,0.35974763,0.0020554219,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,3,16,330,1,2026-08-27,10:45:15,0.69648212,0.69634295,0.0023804529,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,4,60,0,1,2026-08-27,10:45:23,0.27299166,0.27288439,0.0021986902,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,5,64,60,1,2026-08-27,10:45:30,0.059185807,0.059016687,0.0022434317,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,6,64,120,1,2026-08-27,10:45:37,0.050923278,0.05079101,0.0019782862,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,7,60,180,1,2026-08-27,10:45:46,0.11732129,0.11725449,0.0021783892,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,8,64,240,1,2026-08-27,10:45:54,0.75856344,0.75852923,0.002001783,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,9,64,300,1,2026-08-27,10:46:02,1.6977244,1.697577,0.0023513141,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,10,0,0,1,2026-08-27,10:46:09,0.33018155,0.33013516,0.0021595883,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,11,60,90,1,2026-08-27,10:46:17,0.054608382,0.054410308,0.0022475287,1000,1000
20260827_104436_1,0.4,-1.2,1.1,vertical,0,0,-0.712,-0.41,0.417,0,0,-0.38268428,0.92387918,0,0,12,60,270,1,2026-08-27,10:46:27,1.618457,1.61861,0.0022655805,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,1,16,90,1,2026-08-27,10:46:45,0.1875505,0.18766632,0.0023230804,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,2,16,210,1,2026-08-27,10:46:52,0.41801906,0.41765647,0.0019731658,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,3,16,330,1,2026-08-27,10:46:58,0.81721795,0.81709621,0.0022770785,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,4,60,0,1,2026-08-27,10:47:06,0.30969368,0.30973546,0.0020421816,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,5,64,60,1,2026-08-27,10:47:13,0.062774835,0.062635986,0.0023735141,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,6,64,120,1,2026-08-27,10:47:21,0.057055357,0.056878011,0.0025229381,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,7,60,180,1,2026-08-27,10:47:29,0.13761305,0.13765418,0.0022845861,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,8,64,240,1,2026-08-27,10:47:37,0.89178329,0.89178559,0.0021869145,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,9,64,300,1,2026-08-27,10:47:45,1.9944766,1.9943617,0.0021198492,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,10,0,0,1,2026-08-27,10:47:53,0.38117028,0.38113442,0.0022433694,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,11,60,90,1,2026-08-27,10:48:00,0.058918966,0.059016687,0.0020338295,1000,1000
20260827_104436_1,0.4,-1.2,1.1,tilt,7.5086251,170.22379,-0.71282097,-0.41476479,0.41731727,-0.053462312,-0.037804579,-0.70609547,0.70508282,7.50863,170.224,12,60,270,1,2026-08-27,10:48:10,1.9082431,1.9081559,0.0025310911,1000,1000
