
============================================================
PEB_B ORIENTATION OPTIMIZATION LOG (Coverage / REAL params)
============================================================
Date: 24-Jul-2026 14:25:59
Metric: rms
K = 5 orientations
Testbed: 1648 positions (FOV-filtered=1)
Room: 3x3x2.0 m^3
LED: Pt=0.670 W, Phi_half=36.7 deg, m=3.14
PD: A=7.02e-06 m^2, FOV=60 deg
Noise: sigma2=3.00e-14 W^2, N=1000 samples
GA: pop=400, gen=400, parallel=24 workers
============================================================

Starting GA optimization for PEB_B (K=5)...

Single objective optimization:
10 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              800          0.1113            1.13        0
    2             1180         0.07975           0.867        0
    3             1560          0.0597          0.7966        0
    4             1940         0.05849          0.7832        0
    5             2320         0.05727          0.6664        0
    6             2700         0.05546          0.6613        0
    7             3080         0.05242          0.5725        0
    8             3460         0.04819          0.4713        0
    9             3840         0.04819          0.3309        1
   10             4220         0.04333          0.2664        0
   11             4600         0.04151          0.1715        0
   12             4980          0.0409          0.1315        0
   13             5360         0.03848          0.1329        0
   14             5740         0.03726          0.1336        0
   15             6120         0.03544         0.09972        0
   16             6500         0.03423         0.08151        0
   17             6880         0.03423         0.06855        1
   18             7260         0.03423         0.05148        0
   19             7640         0.03241         0.04444        0
   20             8020         0.03119         0.04102        0
   21             8400         0.02998         0.03783        0
   22             8780         0.02998         0.03549        0
   23             9160         0.02877          0.0343        0
   24             9540         0.02816         0.03291        0
   25             9920         0.02816         0.03141        0
   26            10300         0.02755          0.0308        0
   27            10680         0.02695         0.03018        0
   28            11060         0.02634         0.02951        0
   29            11440         0.02573         0.02896        0
   30            11820         0.02513         0.02837        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31            12200         0.02391         0.02776        0
   32            12580          0.0227         0.02722        0
   33            12960          0.0227          0.0264        0
   34            13340         0.02149         0.02563        0
   35            13720         0.02027         0.02464        0
   36            14100         0.02027         0.02382        0
   37            14480         0.02027         0.02288        1
   38            14860         0.01906         0.02225        0
   39            15240         0.01906         0.02158        0
   40            15620         0.01845         0.02103        0
   41            16000         0.01845         0.02053        0
   42            16380         0.01784         0.02021        0
   43            16760         0.01724         0.01976        0
   44            17140         0.01663         0.01934        0
   45            17520         0.01603         0.01895        0
   46            17900         0.01603         0.01853        1
   47            18280         0.01542          0.0181        0
   48            18660         0.01481         0.01764        0
   49            19040         0.01481         0.01723        1
   50            19420         0.01481         0.01673        0
   51            19800         0.01421         0.01645        0
   52            20180          0.0142         0.01624        0
   53            20560          0.0142         0.01591        0
   54            20940          0.0142         0.01563        1
   55            21320          0.0136         0.01543        0
   56            21700          0.0136         0.01528        0
   57            22080          0.0136         0.01511        0
   58            22460         0.01299         0.01495        0
   59            22840         0.01299         0.01477        1
   60            23220         0.01299         0.01453        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            23600         0.01299         0.01431        0
   62            23980         0.01299         0.01415        0
   63            24360         0.01299         0.01404        0
   64            24740         0.01238         0.01396        0
   65            25120         0.01238         0.01388        1
   66            25500         0.01238         0.01379        0
   67            25880         0.01238         0.01365        0
   68            26260         0.01238         0.01349        0
   69            26640         0.01238         0.01325        1
   70            27020         0.01238         0.01305        0
   71            27400         0.01238         0.01294        0
   72            27780         0.01238         0.01289        0
   73            28160         0.01238         0.01278        0
   74            28540         0.01178         0.01273        0
   75            28920         0.01178         0.01272        1
   76            29300         0.01178          0.0127        2
   77            29680         0.01178          0.0126        0
   78            30060         0.01117         0.01258        0
   79            30440         0.01117         0.01266        1
   80            30820         0.01117          0.0125        0
   81            31200         0.01117         0.01243        0
   82            31580         0.01117         0.01229        0
   83            31960         0.01117         0.01216        1
   84            32340         0.01117         0.01207        0
   85            32720         0.01117         0.01201        0
   86            33100         0.01117         0.01204        0
   87            33480         0.01117           0.012        0
   88            33860         0.01117         0.01202        0
   89            34240         0.01117         0.01201        1
   90            34620         0.01117         0.01189        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            35000         0.01117         0.01174        0
   92            35380         0.01117         0.01169        1
   93            35760         0.01117         0.01161        0
   94            36140         0.01117         0.01158        0
   95            36520         0.01117         0.01165        0
   96            36900         0.01117         0.01162        0
   97            37280         0.01117          0.0116        0
   98            37660         0.01117         0.01166        0
   99            38040         0.01117         0.01168        1
  100            38420         0.01117         0.01165        0
  101            38800         0.01117         0.01175        1
  102            39180         0.01117         0.01182        0
  103            39560         0.01056         0.01189        0
  104            39940         0.01056         0.01192        1
  105            40320         0.01056         0.01183        2
  106            40700         0.01056         0.01174        0
  107            41080        0.009955         0.01167        0
  108            41460        0.009954         0.01165        0
  109            41840        0.009954         0.01149        0
  110            42220        0.009954         0.01133        0
  111            42600        0.009954         0.01112        0
  112            42980        0.009953         0.01091        0
  113            43360        0.009953         0.01079        0
  114            43740        0.009953          0.0107        1
  115            44120        0.009953         0.01062        2
  116            44500        0.009953          0.0105        3
  117            44880        0.009953         0.01049        4
  118            45260        0.009953         0.01043        0
  119            45640        0.009953         0.01039        1
  120            46020        0.009953         0.01036        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            46400        0.009953         0.01035        0
  122            46780        0.009953         0.01029        0
  123            47160        0.009953         0.01026        0
  124            47540        0.009953         0.01035        0
  125            47920        0.009953         0.01037        0
  126            48300        0.009953         0.01036        0
  127            48680        0.009953         0.01037        0
  128            49060        0.009952         0.01037        0
  129            49440        0.009952         0.01042        0
  130            49820        0.009952         0.01053        1
  131            50200        0.009952         0.01056        2
  132            50580        0.009952         0.01056        0
  133            50960        0.009952         0.01068        0
  134            51340        0.009952          0.0107        0
  135            51720        0.009952         0.01068        1
