
============================================================
PEB_B ORIENTATION OPTIMIZATION LOG (Coverage / REAL params)
============================================================
Date: 27-Jul-2026 07:01:26
Metric: rms
K = 9 orientations
Testbed: 11789 positions (FOV-filtered=1)
Room: 3x3x2.0 m^3
LED: Pt=0.670 W, Phi_half=36.7 deg, m=3.14
PD: A=7.02e-06 m^2, FOV=60 deg
Noise: sigma2=3.00e-14 W^2, N=1000 samples
Constraint: min pairwise beam separation = 20.0 deg
GA: pop=400, gen=400, parallel=24 workers
============================================================

Starting GA optimization for PEB_B (K=9)...

Single objective optimization:
18 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              800       0.0006189            14.9        0
    2             1180        0.000192           13.98        0
    3             1560       2.346e-05           13.72        0
    4             1940       2.343e-05           13.07        0
    5             2320       2.194e-05           12.78        0
    6             2700       2.194e-05           11.51        1
    7             3080       2.194e-05           10.71        2
    8             3460       2.193e-05           9.741        0
    9             3840       2.172e-05           8.179        0
   10             4220       2.162e-05            6.44        0
   11             4600        2.16e-05            4.67        0
   12             4980       2.156e-05           3.243        0
   13             5360       2.153e-05           2.097        0
   14             5740       2.149e-05           1.242        0
   15             6120       2.144e-05          0.7989        0
   16             6500       2.142e-05          0.3919        0
   17             6880       2.136e-05          0.2069        0
   18             7260       2.132e-05          0.1291        0
   19             7640       2.129e-05         0.03555        0
   20             8020       2.123e-05         0.06182        0
   21             8400       2.122e-05       2.902e-05        0
   22             8780       2.118e-05       2.133e-05        0
   23             9160       2.115e-05       2.129e-05        0
   24             9540        2.11e-05       2.126e-05        0
   25             9920       2.108e-05       2.122e-05        0
   26            10300       2.105e-05       2.119e-05        0
   27            10680       2.101e-05       2.116e-05        0
   28            11060       2.098e-05       2.113e-05        0
   29            11440       2.093e-05       2.109e-05        0
   30            11820       2.093e-05       2.106e-05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31            12200       2.092e-05       2.103e-05        0
   32            12580       2.089e-05         2.1e-05        0
   33            12960       2.086e-05       2.098e-05        0
   34            13340       2.085e-05       2.095e-05        0
   35            13720       2.081e-05       2.092e-05        0
   36            14100       2.079e-05        2.09e-05        0
   37            14480       2.076e-05       2.087e-05        0
   38            14860       2.076e-05       2.085e-05        0
   39            15240       2.073e-05       2.082e-05        0
   40            15620       2.071e-05        2.08e-05        0
   41            16000       2.069e-05       2.078e-05        0
   42            16380       2.068e-05       2.076e-05        0
   43            16760       2.066e-05       2.074e-05        0
   44            17140       2.064e-05       2.072e-05        0
   45            17520       2.061e-05        2.07e-05        0
   46            17900       2.059e-05       2.069e-05        0
   47            18280       2.056e-05       2.067e-05        0
   48            18660       2.054e-05       2.064e-05        0
   49            19040       2.054e-05       2.062e-05        1
   50            19420       2.054e-05        2.06e-05        0
   51            19800       2.051e-05       2.059e-05        0
   52            20180       2.049e-05       2.057e-05        0
   53            20560       2.046e-05       2.055e-05        0
   54            20940       2.046e-05       2.054e-05        1
   55            21320       2.045e-05       2.052e-05        0
   56            21700       2.044e-05        2.05e-05        0
   57            22080       2.043e-05       2.049e-05        0
   58            22460       2.041e-05       2.048e-05        0
   59            22840       2.041e-05       2.046e-05        0
   60            23220        2.04e-05       2.045e-05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            23600       2.039e-05       2.044e-05        0
   62            23980       2.038e-05       2.043e-05        0
   63            24360       2.036e-05       2.042e-05        0
   64            24740       2.034e-05       2.041e-05        0
   65            25120       2.034e-05       2.039e-05        0
   66            25500       2.032e-05       2.038e-05        0
   67            25880        2.03e-05       2.037e-05        0
   68            26260        2.03e-05       2.036e-05        0
   69            26640       2.028e-05       2.034e-05        0
   70            27020       2.028e-05       2.033e-05        0
   71            27400       2.027e-05       2.032e-05        0
   72            27780       2.026e-05       2.031e-05        0
   73            28160       2.025e-05        2.03e-05        0
   74            28540       2.024e-05       2.029e-05        0
   75            28920       2.023e-05       2.028e-05        0
   76            29300       2.022e-05       2.027e-05        0
   77            29680       2.021e-05       2.026e-05        0
   78            30060        2.02e-05       2.025e-05        0
   79            30440       2.019e-05       2.024e-05        0
   80            30820       2.018e-05       2.023e-05        0
   81            31200       2.017e-05       2.022e-05        0
   82            31580       2.016e-05       2.021e-05        0
   83            31960       2.015e-05        2.02e-05        0
   84            32340       2.015e-05       2.019e-05        0
   85            32720       2.014e-05       2.018e-05        0
   86            33100       2.012e-05       2.017e-05        0
   87            33480        2.01e-05       2.016e-05        0
   88            33860        2.01e-05       2.015e-05        0
   89            34240       2.009e-05       2.014e-05        0
   90            34620       2.008e-05       2.013e-05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            35000       2.008e-05       2.012e-05        0
   92            35380       2.007e-05       2.011e-05        0
   93            35760       2.006e-05        2.01e-05        0
   94            36140       2.005e-05       2.009e-05        0
   95            36520       2.005e-05       2.008e-05        0
   96            36900       2.004e-05       2.008e-05        0
   97            37280       2.003e-05       2.007e-05        0
   98            37660       2.003e-05       2.006e-05        0
   99            38040       2.002e-05       2.005e-05        0
  100            38420       2.002e-05       2.005e-05        0
  101            38800       2.001e-05       2.004e-05        0
  102            39180           2e-05       2.004e-05        0
  103            39560           2e-05       2.003e-05        0
  104            39940       1.999e-05       2.002e-05        0
  105            40320       1.998e-05       2.002e-05        0
  106            40700       1.997e-05       2.001e-05        0
  107            41080       1.997e-05       2.001e-05        0
  108            41460       1.996e-05           2e-05        0
  109            41840       1.996e-05       1.999e-05        0
  110            42220       1.995e-05       1.998e-05        0
  111            42600       1.994e-05       1.998e-05        0
  112            42980       1.994e-05       1.997e-05        0
  113            43360       1.994e-05       1.996e-05        0
  114            43740       1.993e-05       1.996e-05        0
  115            44120       1.991e-05       1.995e-05        0
  116            44500       1.991e-05       1.995e-05        0
  117            44880        1.99e-05       1.994e-05        0
  118            45260        1.99e-05       1.993e-05        0
  119            45640       1.989e-05       1.992e-05        0
  120            46020       1.989e-05       1.992e-05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            46400       1.988e-05       1.991e-05        0
  122            46780       1.988e-05       1.991e-05        0
  123            47160       1.988e-05        1.99e-05        0
  124            47540       1.987e-05        1.99e-05        0
  125            47920       1.987e-05       1.989e-05        0
  126            48300       1.986e-05       1.989e-05        0
  127            48680       1.986e-05       1.989e-05        0
  128            49060       1.986e-05       1.988e-05        0
  129            49440       1.985e-05       1.988e-05        0
  130            49820       1.985e-05       1.987e-05        0
  131            50200       1.984e-05       1.987e-05        0
  132            50580       1.984e-05       1.986e-05        0
  133            50960       1.984e-05       1.986e-05        0
  134            51340       1.983e-05       1.986e-05        0
  135            51720       1.983e-05       1.985e-05        0
  136            52100       1.983e-05       1.985e-05        0
  137            52480       1.983e-05       1.985e-05        0
  138            52860       1.983e-05       1.984e-05        0
  139            53240       1.982e-05       1.984e-05        0
  140            53620       1.982e-05       1.984e-05        0
  141            54000       1.982e-05       1.983e-05        0
  142            54380       1.981e-05       1.983e-05        0
  143            54760       1.981e-05       1.983e-05        0
  144            55140       1.981e-05       1.983e-05        0
  145            55520       1.981e-05       1.982e-05        0
  146            55900        1.98e-05       1.982e-05        0
  147            56280        1.98e-05       1.982e-05        1
  148            56660        1.98e-05       1.981e-05        0
  149            57040       1.979e-05       1.981e-05        0
  150            57420       1.979e-05       1.981e-05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            57800       1.979e-05       1.981e-05        0
  152            58180       1.979e-05        1.98e-05        0
  153            58560       1.979e-05        1.98e-05        0
  154            58940       1.978e-05        1.98e-05        0
  155            59320       1.978e-05        1.98e-05        0
  156            59700       1.978e-05        1.98e-05        1
  157            60080       1.978e-05       1.979e-05        0
  158            60460       1.978e-05       1.979e-05        0
  159            60840       1.978e-05       1.979e-05        0
  160            61220       1.977e-05       1.979e-05        0
