
============================================================
PEB_B ORIENTATION OPTIMIZATION LOG (Coverage / REAL params)
*** LED 1 PINNED AT NADIR [0,0] (GLS variant) ***
============================================================
Date: 27-Jul-2026 11:55:27
Metric: rms
K = 9 orientations (1 fixed nadir + 8 free)
Testbed: 11789 positions (FOV-filtered=1)
Room: 3x3x2.0 m^3
LED: Pt=0.670 W, Phi_half=36.7 deg, m=3.14
PD: A=7.02e-06 m^2, FOV=60 deg
Noise: sigma2=3.00e-14 W^2, N=1000 samples
Constraint: min pairwise beam separation = 20.0 deg
GA: pop=400, gen=400, parallel=24 workers
============================================================

Starting GA optimization for PEB_B (K=9, LED 1 fixed nadir)...

Single objective optimization:
18 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              800        0.003333           16.87        0
    2             1180        0.003333           14.99        1
    3             1560       2.337e-05           14.11        0
    4             1940       2.337e-05           12.24        1
    5             2320       2.332e-05           10.66        0
    6             2700       2.201e-05           9.488        0
    7             3080       2.189e-05            8.49        0
    8             3460       2.153e-05           7.266        0
    9             3840       2.152e-05           6.086        0
   10             4220        2.14e-05           4.528        0
   11             4600       2.133e-05           3.437        0
   12             4980        2.12e-05           2.367        0
   13             5360       2.108e-05           1.737        0
   14             5740       2.096e-05           1.214        0
   15             6120        2.09e-05          0.7135        0
   16             6500       2.088e-05          0.2784        0
   17             6880       2.084e-05           0.167        0
   18             7260       2.079e-05         0.06592        0
   19             7640       2.071e-05         0.02855        0
   20             8020       2.064e-05       6.542e-05        0
   21             8400       2.064e-05       2.083e-05        0
   22             8780       2.059e-05       2.078e-05        0
   23             9160       2.058e-05       2.074e-05        0
   24             9540       2.057e-05       2.069e-05        0
   25             9920       2.051e-05       2.065e-05        0
   26            10300       2.048e-05       2.062e-05        0
   27            10680       2.045e-05       2.059e-05        0
   28            11060       2.043e-05       2.056e-05        0
   29            11440       2.036e-05       2.052e-05        0
   30            11820       2.036e-05        2.05e-05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31            12200       2.034e-05       2.047e-05        0
   32            12580       2.031e-05       2.044e-05        0
   33            12960        2.03e-05       2.041e-05        0
   34            13340       2.026e-05       2.038e-05        0
   35            13720       2.023e-05       2.035e-05        0
   36            14100       2.023e-05       2.032e-05        0
   37            14480       2.019e-05       2.029e-05        0
   38            14860       2.019e-05       2.027e-05        0
   39            15240       2.017e-05       2.024e-05        0
