
============================================================
PEB_B ORIENTATION OPTIMIZATION LOG
============================================================
Date: 27-May-2026 17:41:34
Metric: rms
K = 11 orientations
Testbed: 1792 positions
Room: 3x3x2 m³
LED: Pt=0.405 W, Φ½=45°, m=2.00
PD: A=2.64e-05 m², FOV=85°
Noise: σ²=3.00e-14 W², N=1000 samples
GA: pop=400, gen=400, parallel=24 workers
============================================================

Starting GA optimization for PEB_B (K=11)...

Single objective optimization:
22 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              800         0.01714           13.31        0
    2             1180         0.01708           11.28        0
    3             1560         0.01638           10.43        0
    4             1940         0.01607           9.352        0
    5             2320         0.01606           9.135        0
    6             2700         0.01593           8.466        0
    7             3080         0.01593           8.967        1
    8             3460         0.01592           10.77        0
    9             3840         0.01583           9.226        0
   10             4220         0.01579            8.53        0
   11             4600         0.01565           8.348        0
   12             4980         0.01564           8.725        0
   13             5360         0.01562           6.824        0
   14             5740         0.01559           7.382        0
   15             6120         0.01558           3.715        0
   16             6500         0.01557           2.016        0
   17             6880         0.01557           1.255        0
   18             7260         0.01556          0.7873        0
   19             7640         0.01554          0.6218        0
   20             8020         0.01554           0.628        0
   21             8400         0.01552          0.6236        0
   22             8780          0.0155          0.3434        0
   23             9160          0.0155          0.1463        0
   24             9540         0.01549          0.1464        0
   25             9920         0.01549          0.1541        0
   26            10300         0.01549         0.01552        0
   27            10680         0.01548         0.01551        0
   28            11060         0.01548          0.0155        0
   29            11440         0.01547         0.01549        0
   30            11820         0.01546         0.01549        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31            12200         0.01545         0.01548        0
   32            12580         0.01545         0.01548        0
   33            12960         0.01545         0.01547        0
   34            13340         0.01544         0.01546        0
   35            13720         0.01544         0.01546        0
   36            14100         0.01544         0.01545        0
   37            14480         0.01543         0.01545        0
   38            14860         0.01543         0.01545        0
   39            15240         0.01542         0.01544        0
   40            15620         0.01542         0.01544        0
   41            16000         0.01542         0.01543        0
   42            16380         0.01541         0.01543        0
   43            16760         0.01541         0.01542        0
   44            17140          0.0154         0.01542        0
   45            17520          0.0154         0.01542        0
   46            17900          0.0154         0.01541        0
   47            18280         0.01539         0.01541        0
   48            18660         0.01539         0.01541        0
   49            19040         0.01539          0.0154        1
   50            19420         0.01539          0.0154        0
   51            19800         0.01539          0.0154        0
   52            20180         0.01538          0.0154        0
   53            20560         0.01538         0.01539        0
   54            20940         0.01538         0.01539        0
   55            21320         0.01538         0.01539        0
   56            21700         0.01537         0.01539        0
   57            22080         0.01537         0.01538        1
   58            22460         0.01537         0.01538        0
   59            22840         0.01537         0.01538        0
   60            23220         0.01537         0.01538        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            23600         0.01537         0.01538        0
   62            23980         0.01537         0.01537        0
   63            24360         0.01536         0.01537        0
   64            24740         0.01536         0.01537        0
   65            25120         0.01536         0.01537        0
   66            25500         0.01536         0.01537        0
   67            25880         0.01535         0.01537        0
   68            26260         0.01535         0.01536        0
   69            26640         0.01535         0.01536        0
   70            27020         0.01535         0.01536        0
   71            27400         0.01535         0.01536        0
   72            27780         0.01535         0.01536        0
   73            28160         0.01535         0.01536        0
   74            28540         0.01535         0.01535        0
   75            28920         0.01535         0.01535        0
   76            29300         0.01534         0.01535        0
   77            29680         0.01534         0.01535        0
   78            30060         0.01534         0.01535        0
   79            30440         0.01534         0.01535        0
   80            30820         0.01534         0.01535        0
   81            31200         0.01534         0.01535        0
