variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch1.5,tile_core,1.5,"10",1,14.967003085612,Inf,Inf,0,0.0304498269896194,0.889273356401384,0
pitch1.5,tile_ninth,1.5,"10",1,Inf,Inf,Inf,0,0.0193771626297578,0.468512110726644,0
pitch1.5,tile_prism,1.5,"10",1,Inf,Inf,Inf,0,0.0221453287197232,0.346712802768166,0
pitch1.5,tile_core,1.5,"11",1,0.158959569147694,Inf,Inf,0.0961937716262976,0.438062283737024,0.939100346020761,1
pitch1.5,tile_ninth,1.5,"11",1,926044.861565935,Inf,Inf,0.0380622837370242,0.23598615916955,0.559861591695502,0
pitch1.5,tile_prism,1.5,"11",1,Inf,Inf,Inf,0.0408304498269896,0.139100346020761,0.402076124567474,0
pitch1.5,tile_core,1.5,"12",1,0.023985893816099,77924.5579544609,Inf,0.352249134948097,0.573702422145329,0.969550173010381,1
pitch1.5,tile_ninth,1.5,"12",1,88187.3661371783,Inf,Inf,0.197231833910035,0.280276816608997,0.653979238754325,0
pitch1.5,tile_prism,1.5,"12",1,Inf,Inf,Inf,0.116955017301038,0.191695501730104,0.474048442906574,0
pitch1.5,tile_core,1.5,"13",1,0.161428331697519,136623.911742056,Inf,0.418685121107266,0.468512110726644,0.958477508650519,0
pitch1.5,tile_ninth,1.5,"13",1,99733.4840462854,Inf,Inf,0.233217993079585,0.280276816608997,0.681660899653979,0
pitch1.5,tile_prism,1.5,"13",1,Inf,Inf,Inf,0.161245674740484,0.177854671280277,0.479584775086505,0
pitch1.5,tile_core,1.5,"15",1,0.515862321977484,554111.746659199,277494743.609855,0.41038062283737,0.421453287197232,1,0
pitch1.5,tile_ninth,1.5,"15",1,337937.73878606,Inf,Inf,0.169550173010381,0.252595155709343,0.737024221453287,0
pitch1.5,tile_prism,1.5,"15",1,Inf,Inf,Inf,0.136332179930796,0.161245674740484,0.498961937716263,0
pitch1.5,tile_core,1.5,"17",1,1.27019230640684,2588909.99146911,2990012134.66571,0.294117647058824,0.418685121107266,1,0
pitch1.5,tile_ninth,1.5,"17",1,1183003.69128372,Inf,Inf,0.169550173010381,0.186159169550173,0.750865051903114,0
pitch1.5,tile_prism,1.5,"17",1,154285856272.432,Inf,Inf,0.116955017301038,0.144636678200692,0.51280276816609,0
pitch1.5,tile_core,1.5,"20",1,2.76357121897047,18170786.2417245,44473207718.5682,0.269204152249135,0.404844290657439,1,0
pitch1.5,tile_ninth,1.5,"20",1,4930023.55310315,Inf,Inf,0.155709342560554,0.169550173010381,0.709342560553633,0
pitch1.5,tile_prism,1.5,"20",1,553075072994.657,Inf,Inf,0.0975778546712803,0.13356401384083,0.504498269896194,0
pitch1.5,tile_core,1.5,"25",1,13.076055542037,211051133.322031,Inf,0.205536332179931,0.299653979238754,0.997231833910035,0
pitch1.5,tile_ninth,1.5,"25",1,23347976.5066971,Inf,Inf,0.103114186851211,0.169550173010381,0.667820069204152,0
pitch1.5,tile_prism,1.5,"25",1,Inf,Inf,Inf,0.0782006920415225,0.116955017301038,0.482352941176471,0
pitch1.5,tile_core,1.5,"10,11",2,0.0171230966829519,2.4559342800519,1374.21089267536,0.295501730103806,0.858823529411765,1,2
pitch1.5,tile_ninth,1.5,"10,11",2,0.160537715329689,Inf,Inf,0.123875432525952,0.471280276816609,0.86159169550173,0
pitch1.5,tile_prism,1.5,"10,11",2,12767.2717719085,Inf,Inf,0.0878892733564014,0.324567474048443,0.653979238754325,0
pitch1.5,tile_core,1.5,"10,12",2,0.0056633885056797,2.61997454454577,1407.08858051431,0.703806228373702,0.875432525951557,1,1
pitch1.5,tile_ninth,1.5,"10,12",2,0.199684956540586,Inf,Inf,0.349480968858132,0.457439446366782,0.86159169550173,0
