radii_mm,K,half_width_m,gain_mode,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
"15",1,0.45,known,0.00506508337463207,0.0123374966499615,0.0248943221296435,0.922491349480969,1,1,2
"15",1,0.6,known,0.00792966965181943,239.796747345338,998.906877386326,0.534948096885813,0.609688581314879,1,1
"15",1,0.833333333333333,known,430.731482481741,Inf,Inf,0.269204152249135,0.313494809688581,0.778546712802768,0
"15",1,0.45,common,5.41907265847654,75.1628396317756,1106.80739079415,0,0.000692041522491349,1,2
"15",1,0.6,common,17.3257595433078,Inf,Inf,0,0.000692041522491349,0.930795847750865,1
"15",1,0.833333333333333,common,28394.4147267271,Inf,Inf,0,0.000692041522491349,0.557093425605536,0
"15",1,0.45,per_state,5.41907265847654,75.1628396317756,1106.80739079415,0,0.000692041522491349,1,2
"15",1,0.6,per_state,17.3257595433078,Inf,Inf,0,0.000692041522491349,0.930795847750865,1
"15",1,0.833333333333333,per_state,28394.4147267271,Inf,Inf,0,0.000692041522491349,0.557093425605536,0
"15,15",2,0.45,known,0.00400015623971659,0.0118064293485514,0.0246700986955661,0.9280276816609,1,1,4
"15,15",2,0.6,known,0.007292676518581,239.796746743275,998.906877139165,0.546020761245675,0.609688581314879,1,2
"15,15",2,0.833333333333333,known,430.731481565666,Inf,Inf,0.274740484429066,0.313494809688581,0.778546712802768,0
"15,15",2,0.45,common,5.26617615168422,75.1339235428287,1106.80715831169,0,0.000692041522491349,1,4
"15,15",2,0.6,common,17.2005564246831,Inf,Inf,0,0.000692041522491349,0.930795847750865,2
"15,15",2,0.833333333333333,common,28394.4147265987,Inf,Inf,0,0.000692041522491349,0.557093425605536,0
"15,15",2,0.45,per_state,5.26617615168354,75.1339235428276,1106.80715831171,0,0.000692041522491349,1,4
"15,15",2,0.6,per_state,17.2005564246832,Inf,Inf,0,0.000692041522491349,0.930795847750865,2
"15,15",2,0.833333333333333,per_state,28394.4147265986,Inf,Inf,0,0.000692041522491349,0.557093425605536,0
"12,15",2,0.45,known,0.00462547415401297,0.00759354379177032,0.0121130899431296,0.997231833910035,1,1,3
"12,15",2,0.6,known,0.00494648945411755,0.0327618658360816,0.102615128698445,0.858823529411765,0.997231833910035,1,1
"12,15",2,0.833333333333333,known,0.0165985041777314,9815.12566541063,Inf,0.449134948096886,0.593079584775086,0.958477508650519,0
"12,15",2,0.45,common,0.605648974482647,2.57639053310818,5.27782300628875,0,0,1,3
"12,15",2,0.6,common,1.10384580918381,103.949887864038,7008.80455697494,0,0,1,1
"12,15",2,0.833333333333333,common,53.3318225214959,Inf,Inf,0,0,0.903114186851211,0
"12,15",2,0.45,per_state,1.61535655642442,13.8034023869093,55.1627705805655,0,0,1,3
"12,15",2,0.6,per_state,3.83034116576644,1763.74895218719,16094.6462881068,0,0,1,1
"12,15",2,0.833333333333333,per_state,887.493981823754,Inf,Inf,0,0,0.797923875432526,0
"15,15,15,15,15,15,15,15",8,0.45,known,0.00291312901275071,0.0113918455197212,0.0245005746541057,0.9280276816609,1,1,16
"15,15,15,15,15,15,15,15",8,0.6,known,0.00687340522744022,239.796746291576,998.906876849554,0.546020761245675,0.609688581314879,1,8
"15,15,15,15,15,15,15,15",8,0.833333333333333,known,430.731480878649,Inf,Inf,0.274740484429066,0.313494809688581,0.778546712802768,0
"15,15,15,15,15,15,15,15",8,0.45,common,4.86015842221136,75.1122289677622,1106.8069839503,0,0.000692041522491349,1,16
"15,15,15,15,15,15,15,15",8,0.6,common,17.200523247934,Inf,Inf,0,0.000692041522491349,0.930795847750865,8
"15,15,15,15,15,15,15,15",8,0.833333333333333,common,28394.4147265027,Inf,Inf,0,0.000692041522491349,0.557093425605536,0
"15,15,15,15,15,15,15,15",8,0.45,per_state,4.86015842221136,75.1122289677669,1106.8069839498,0,0.000692041522491349,1,16
"15,15,15,15,15,15,15,15",8,0.6,per_state,17.200523247934,Inf,Inf,0,0.000692041522491349,0.930795847750865,8
"15,15,15,15,15,15,15,15",8,0.833333333333333,per_state,28394.4147265025,Inf,Inf,0,0.000692041522491349,0.557093425605536,0
"10,11,12,13,15,17,20,25",8,0.45,known,0.00206011899764366,0.00345836246471153,0.00467121936146111,1,1,1,12
"10,11,12,13,15,17,20,25",8,0.6,known,0.00272138608347337,0.0223056736704015,0.129867893052009,0.911418685121107,0.994463667820069,1,4
"10,11,12,13,15,17,20,25",8,0.833333333333333,known,0.00817499791062857,13.4403744871861,Inf,0.521107266435986,0.68719723183391,0.986159169550173,1
"10,11,12,13,15,17,20,25",8,0.45,common,0.125002059914949,0.275286331332092,0.593216550669047,0,0.357093425605536,1,12
"10,11,12,13,15,17,20,25",8,0.6,common,0.217889161446939,1.35004455118294,2.72464417999361,0,0.199307958477509,1,4
"10,11,12,13,15,17,20,25",8,0.833333333333333,common,0.859330550839967,414.742136371485,Inf,0,0.107958477508651,0.986159169550173,1
"10,11,12,13,15,17,20,25",8,0.45,per_state,0.177258631961972,0.826221187082939,6.74607690745777,0,0.204152249134948,1,12
"10,11,12,13,15,17,20,25",8,0.6,per_state,0.530465598804601,67.1181920031866,1995.13377528969,0,0.121107266435986,1,4
"10,11,12,13,15,17,20,25",8,0.833333333333333,per_state,167.306518946884,174564846.203489,Inf,0,0.0602076124567474,0.994463667820069,1
