bandwidth_hz_per_reference_pilot,pd_area_mm2,radii_mm,tile_integration_seconds,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
10,0.1,"15",1.25,0.00896047220428445,0.0359346261426629,0.0774414459959934,0.573702422145329,1,1,2
10,0.1,"12,15",1.25,0.00807541781605428,0.102616822307605,0.324062342749818,0.617993079584775,0.944636678200692,1,1
10,1,"15",1.25,0.00413690698758522,0.00624073312624486,0.00905343489506314,1,1,1,3
10,1,"12,15",1.25,0.00400445135947713,0.0114774875763538,0.0328816942212878,0.936332179930796,1,1,2
10,10,"15",1.25,0.00348181825127395,0.00481424246020549,0.00604535320273257,1,1,1,3
10,10,"12,15",1.25,0.00319571398086887,0.00586395302361221,0.00744133540424377,1,1,1,2
100,0.1,"15",0.125,0.0254253773359875,0.112614985795709,0.244482543510108,0.0996539792387543,0.93356401384083,1,1
100,0.1,"12,15",0.125,0.0205438657309607,0.324190021044977,1.02463741117884,0.177162629757785,0.864359861591696,1,1
100,1,"15",0.125,0.00506508337463207,0.0123374966499615,0.0248943221296435,0.922491349480969,1,1,2
100,1,"12,15",0.125,0.00494648945411755,0.0327618658360816,0.102615128698445,0.858823529411765,0.997231833910035,1,1
100,10,"15",0.125,0.00373446972088333,0.00529908665147309,0.00646157124040955,1,1,1,3
100,10,"12,15",0.125,0.00353734186732488,0.00671606578357776,0.011676412863876,0.994463667820069,1,1,2
1000,0.1,"15",0.0125,0.0795259947617887,0.355795599685825,0.772992288447116,0.000692041522491349,0.604152249134948,1,1
1000,0.1,"12,15",0.0125,0.0641301186808103,1.02507987248874,3.24014444868696,0.00830449826989619,0.667820069204152,1,1
1000,1,"15",0.0125,0.00896148513447168,0.0359350714118288,0.0774417481869737,0.573702422145329,1,1,2
1000,1,"12,15",0.0125,0.00807627669849925,0.102617962219553,0.324062418464242,0.617993079584775,0.944636678200692,1,1
1000,10,"15",0.0125,0.00413696124886084,0.00624082719271517,0.00905369371546755,1,1,1,3
1000,10,"12,15",0.0125,0.00400480766052,0.0114782487352903,0.0328817688513624,0.936332179930796,1,1,2
10000,0.1,"15",0.00125,0.251204545775284,1.12502188679124,2.44437532245819,0,0.122491349480969,1,0
10000,0.1,"12,15",0.00125,0.202531042575611,3.24155587601761,10.2462226351008,0,0.218685121107266,1,0
10000,1,"15",0.00125,0.0254282346745791,0.112616406566257,0.244483500710412,0.0996539792387543,0.93356401384083,1,1
10000,1,"12,15",0.00125,0.020548201088457,0.324193629241773,1.02463765064105,0.177162629757785,0.864359861591696,1,1
10000,10,"15",0.00125,0.00506542558401795,0.0123387940787588,0.0248952623156654,0.922491349480969,1,1,2
10000,10,"12,15",0.00125,0.00494710700826693,0.0327654361751354,0.102615367841501,0.858823529411765,0.997231833910035,1,1
