case_name,tiles,K,dimensions,half_width_floor_m,region,gain,pilot_integration_seconds,grid_count,grid_peb_median_m,grid_peb_p95_m,grid_peb_max_m,grid_fraction_peb_10cm,grid_fraction_full_rank,grid_minimum_visible_5sigma,count,median_m,p95_m,max_m,rmse_m,rmse_x_m,rmse_y_m,rmse_z_m,fraction_error_1cm,fraction_error_10cm,failure_10cm_wilson95_low,failure_10cm_wilson95_high,boundary_p95_m,boundary_max_m,optimizer_success_fraction,alternative_gap_below9_fraction,noiseless_audit_max_error_m,sampled_far_fingerprint_min_sigma
tile_baseline_core_2d,1,1,2,0.45,frustum,known,0.125,3721,0.000375420002534801,0.00154607997930916,0.00323361176175796,1,1,2,300,0.000303026157047649,0.00131284980484777,0.00287219555402756,0.000592820677822018,0.000391820122351418,0.00044487453037219,0,1,1,0,0.0126429712245454,0.00175520077280617,0.00187663022495655,1,0,1.38777878078145e-16,71.3616279433085
tile_baseline_core_3d,1,1,3,0.45,frustum,known,0.125,18605,0.00506787810463647,0.01166193430522,0.0314018523986366,1,1,2,300,0.0036261202418095,0.01171523290703,0.0308604078624907,0.00621613723150399,0.000779819781477013,0.0007374525147314,0.00612277771749257,0.906666666666667,1,0,0.0126429712245454,0.00877231165194761,0.016247451433245,1,0,1.39883695386469e-15,21.1527383962459
tile_baseline_ninth_2d,1,1,2,0.833333333333333,frustum,known,0.125,3721,0.00238813714004031,1420797.19132427,Inf,0.676431066917495,0.96882558452029,0,300,0.00146017049138586,1.52619425414986,1.98533602608288,0.493552720752478,0.318886875497709,0.376703396317955,0,0.636666666666667,0.75,0.204369889158257,0.301951596454016,1.99209590614687,2.18202974723451,0.967637540453074,0.310679611650485,0.117761395772895,0.00333744732908942
tile_baseline_ninth_3d,1,1,3,0.833333333333333,frustum,known,0.125,18605,32.3739030600543,Inf,Inf,0.359742004837409,0.811878527277614,0,300,0.241706651371693,1.4580485665851,1.76055709196883,0.599374919213526,0.305186590293415,0.311761469343197,0.410994191102831,0.326666666666667,0.42,0.523483149984713,0.63449397461936,1.75638202798248,1.84634595520535,0.920489296636086,0.418960244648318,0.591197787331983,0.0006874431602011
tile_convex_core_2d,1,2,2,0.6,frustum,known,0.125,3721,0.000331267182008922,0.00157786185190952,0.102429296944901,0.998925020155872,1,1,300,0.00025828408331808,0.00111155525169574,0.00332115728568304,0.000572117536232262,0.000396228562303075,0.000412700135303724,0,1,1,0,0.0126429712245454,0.00640610285535895,0.0070513596219842,1,0,1.14439169963056e-16,153.403012251994
tile_convex_core_3d,1,2,3,0.6,frustum,known,0.125,18605,0.00491933922879322,0.0242878211138714,0.168063743438022,0.996775060467616,1,1,300,0.00332896917895705,0.0119539465350791,0.131423910467211,0.0108819959141457,0.00149726183229786,0.00160471175407124,0.0106583742788182,0.903333333333333,0.996666666666667,0.000588657721851181,0.0186366936945305,0.245042516786603,0.381990541364356,0.99388379204893,0.00611620795107034,1.18279140663216e-15,32.6218331791193
tile_diverging_ninth_2d,1,2,2,0.833333333333333,frustum,known,0.125,3721,0.000779994394839035,0.00185633469357786,0.00440314519954742,1,1,3,300,0.000625852127518814,0.00180476396344509,0.00614515736221332,0.00102312704416748,0.000708750843784826,0.000737876134551845,0,1,1,0,0.0126429712245454,0.00166058795138983,0.00183177911526138,1,0,3.46944695195361e-17,74.213069398296
tile_diverging_ninth_3d,1,2,3,0.833333333333333,frustum,known,0.125,18605,0.00447947198163045,0.00985031948429234,0.0221013263184276,1,1,3,300,0.00312711580700028,0.01134807883916,0.0336870803866676,0.00579167978171796,0.00109971249064042,0.00118709194900496,0.00556102507065897,0.926666666666667,1,0,0.0126429712245454,0.0155625095763946,0.0259795741258715,1,0,5.93453566256848e-16,23.1601211127911
grid_baseline_full_2d,9,1,2,2.5,frustum,known,1.125,3721,0.00143148463775579,1380351.39033226,Inf,0.721580220370868,0.997850040311744,0,300,0.000973232541849304,4.73948584764262,5.72425865514352,1.80022354569367,1.3460616184708,1.19537564545614,0,0.686666666666667,0.736666666666667,0.216711502942361,0.315939503437257,5.41889140631263,5.63757810336221,1,0.29126213592233,0.068485765580425,6.18933420592319e-07
grid_baseline_full_3d,9,1,3,2.5,frustum,known,1.125,18605,0.0195415651522691,Inf,Inf,0.532383767804354,0.934426229508197,0,300,0.0136566259497587,4.26841935639621,5.46730323554591,1.64886771879262,1.09097754369951,1.17909499212817,0.371843720880163,0.44,0.563333333333333,0.381693993097838,0.493240783257271,4.75450032711215,5.16677878992402,0.984709480122324,0.348623853211009,0.760989447106243,5.08363353676121e-08
grid_convex_core_2d,9,2,2,1.8,frustum,known,1.125,3721,0.00031442685208871,0.00167658656435249,0.00701214674628901,1,1,2,300,0.000239163674954656,0.00112458109017701,0.0210175767360079,0.00159947525249456,0.00034139294043428,0.00156261701755874,0,0.993333333333333,1,0,0.0126429712245454,0.0036095640514824,0.0037325016241105,1,0,4.06792655116561e-16,132.78848747879
grid_convex_core_3d,9,2,3,1.8,frustum,known,1.125,18605,0.00491226003279901,0.0102378880467504,0.0260147250389944,1,1,2,300,0.00314920424897031,0.0110398550214657,0.0184313146186972,0.00538084865562221,0.00182736979039947,0.00170787427198947,0.00476418066144885,0.933333333333333,1,0,0.0126429712245454,0.00655336903935261,0.00901976919681344,1,0,3.27280490996699e-15,24.9842384512421
grid_diverging_full_2d,9,2,2,2.5,frustum,known,1.125,3721,0.000824788177583944,0.00273572990641466,0.0152942846442636,1,1,2,300,0.000589256413700275,0.0024317599206262,0.0125730392338929,0.00148819370557769,0.000819082772242566,0.0012425071096523,0,0.993333333333333,1,0,0.0126429712245454,0.00424728799528235,0.0057129747597995,1,0,2.22044604925031e-16,42.5722822618352
grid_diverging_full_3d,9,2,3,2.5,frustum,known,1.125,18605,0.00441191686612899,0.019741506678922,0.0740324332475878,1,1,2,300,0.00287406900933919,0.015582055941837,0.0402170001773886,0.00712106478956838,0.00329904180998672,0.00303854782745437,0.00553110422731866,0.906666666666667,1,0,0.0126429712245454,0.0420778043500097,0.0742516848356787,1,0,3.85272984614563e-15,29.6329659787333
grid_convex_retilted_full_2d,9,3,2,2.5,frustum,known,1.125,3721,0.000419707625196454,0.00227123362625367,0.730091420658315,0.998387530233808,1,1,300,0.000300191561709587,0.00188804580868859,0.0472362213949231,0.00352549821444903,0.00330431261290868,0.00122908739162677,0,0.986666666666667,1,0,0.0126429712245454,0.00589383397847893,0.00625173467094397,1,0.00323624595469256,2.22044604925031e-16,110.298935156484
grid_convex_retilted_full_3d,9,3,3,2.5,frustum,known,1.125,18605,0.00686120302402919,0.0426969743686606,2.41643150627518,0.980327868852459,1,1,300,0.00460302142347637,0.0215130207788454,0.520766742188682,0.0409985962436235,0.0240832525308975,0.0118219901501167,0.0310019739753976,0.793333333333333,0.99,0.00340661843771538,0.0289834933623391,0.716709023165592,0.768880148015362,0.984709480122324,0,5.4031487550316e-15,15.9572820377874
tile_convex_ninth_3d,1,2,3,0.833333333333333,frustum,known,0.125,18605,0.0120661252524722,2034.96729424609,Inf,0.631496909432948,0.974415479709755,0,300,0.0124091514972141,0.809747602768763,1.0324133867847,0.307453813998861,0.0700686350917423,0.0743202153041198,0.289990930402962,0.486666666666667,0.686666666666667,0.263484397559857,0.367902311697307,1.10380283634515,1.1393400303321,0.944954128440367,0.238532110091743,0.114200930724307,0.420279331314027
tile_scan8_ninth_3d,1,8,3,0.833333333333333,frustum,known,0.125,18605,0.00590981861788625,2.33974813571337,Inf,0.742004837409299,0.997850040311744,1,300,0.00429546208301582,0.28579241732652,0.907589188857422,0.134722242753397,0.0305035449237986,0.0308870758658329,0.127536680935507,0.616666666666667,0.84,0.1228535455841,0.20574367484859,1.06470141509263,1.0761386280347,0.969418960244648,0.0917431192660551,1.57227428216013e-10,6.203814364153
tile_diverging_single_3d,1,1,3,0.833333333333333,frustum,known,0.125,18605,0.00780162260572022,0.0588240318207217,0.378919607278339,0.981080354743349,1,1,300,0.00619757334939113,0.0564201378398217,0.171622077934489,0.0289757152671151,0.00618196806677843,0.00587792030338912,0.0276916124299266,0.67,0.976666666666667,0.0113476602991254,0.0473719722682745,0.038567462099877,0.0588788612762561,1,0.00611620795107034,1.644854518149e-15,3.28519930254904
