tilt_deg,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
21,"15",1,1.770971720536,Inf,Inf,0.379930795847751,0.449134948096886,0.878200692041523,0
21,"12,15",2,0.00776146574258101,290183777.477614,Inf,0.562629757785467,0.623529411764706,0.986159169550173,0
21,"10,13",2,0.0336049214793334,53542.2219947191,Inf,0.32318339100346,0.604152249134948,0.977854671280277,0
21,"11,15",2,0.00906954115653111,2190337.01814003,Inf,0.511418685121107,0.602768166089965,0.980622837370242,0
21,"10,12,15",3,0.00690076997449279,3287.60170640477,138073.527309447,0.597231833910035,0.737024221453287,1,0
21,"10,12,15,17",4,0.00524096753786539,3796.19432742639,159433.526087793,0.616608996539792,0.742560553633218,1,0
24,"15",1,0.0197062125012306,26846870.2713615,Inf,0.368858131487889,0.58477508650519,0.986159169550173,0
24,"12,15",2,0.00761231498775491,249.574610431754,3039.87846214342,0.61522491349481,0.795155709342561,1,0
24,"10,13",2,0.0373040452464657,4.16974691102489,322.804586450013,0.315570934256055,0.660899653979239,1,1
24,"11,15",2,0.00750522037216449,110.195884960027,2324.48948848968,0.61522491349481,0.792387543252595,1,1
24,"10,12,15",3,0.00691868814685563,1.42909096163437,17.1113327149803,0.608304498269896,0.851903114186851,1,1
24,"10,12,15,17",4,0.00501651496060736,1.65015940309409,18.7616317311628,0.663667820069204,0.862975778546713,1,1
27,"15",1,0.0233978599080471,6043.98776208255,Inf,0.285813148788927,0.582006920415225,0.986159169550173,0
27,"12,15",2,0.00899575697341932,0.134512290497686,1.28043708670472,0.557093425605536,0.9280276816609,1,2
27,"10,13",2,0.0375379493580488,2.52959234077526,39.2524908259272,0.15916955017301,0.750865051903114,1,1
27,"11,15",2,0.00930216354502494,0.172508548469115,2.18559936572416,0.551557093425606,0.923875432525952,1,1
27,"10,12,15",3,0.00852030423709363,0.0855603980722817,1.56783591167936,0.587543252595156,0.957093425605536,1,2
27,"10,12,15,17",4,0.00558520555970405,0.096527218107154,1.65489211137857,0.745328719723183,0.952941176470588,1,2
30,"15",1,0.0334920338069908,41529.2084716485,936601.475085144,0.269204152249135,0.543252595155709,1,0
30,"12,15",2,0.00881340065826277,0.74633375189105,10.1896208364201,0.568166089965398,0.867128027681661,1,1
30,"10,13",2,0.0396285904838577,0.799805974036861,3.12650991947462,0.15916955017301,0.659515570934256,1,1
30,"11,15",2,0.00952085901519742,1.9856446816396,30.307395004231,0.537716262975779,0.850519031141869,1,1
30,"10,12,15",3,0.00701742623317601,0.0401696975631871,0.339611902741142,0.662283737024221,0.977854671280277,1,1
30,"10,12,15,17",4,0.00529893724663601,0.037388537527014,0.372899203986798,0.795155709342561,0.977854671280277,1,2
33,"15",1,0.783129580280204,196467283.208654,Inf,0.219377162629758,0.460207612456747,0.972318339100346,0
33,"12,15",2,0.00931951375622114,1054.33559107852,8409.25507301202,0.523875432525952,0.737024221453287,1,0
33,"10,13",2,0.12187840988258,12.626170938373,1691.60421061046,0.0955017301038062,0.468512110726644,1,1
33,"11,15",2,0.0103644481834434,458.271571865121,8864.43847520892,0.493425605536332,0.689965397923875,1,0
33,"10,12,15",3,0.00861006277673127,3.33217811640832,1962.65065179294,0.546020761245675,0.814532871972318,1,1
33,"10,12,15,17",4,0.00612199113554807,3.84646321508052,2266.05440240204,0.656747404844291,0.806228373702422,1,1
