bandwidth_hz_per_reference_pilot,pd_area_mm2,radii_mm,tile_integration_seconds,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
10,0.1,"15",1.25,0.00880735573886776,0.0568552885297134,0.0774414459959934,0.565432098765432,1,1,2
10,0.1,"12,15",1.25,0.00905246495441838,0.143860568716766,0.324062342749818,0.535802469135802,0.911111111111111,1,2
10,1,"15",1.25,0.00443095519525342,0.00732085781219766,0.00905343489506314,1,1,1,3
10,1,"12,15",1.25,0.00399322411776183,0.0149737424356322,0.0328816942212878,0.891358024691358,1,1,2
10,10,"15",1.25,0.00340353298788795,0.00487012044588448,0.00604535320273257,1,1,1,3
10,10,"12,15",1.25,0.00319016708122537,0.0064678725425384,0.00744133540424377,1,1,1,2
100,0.1,"15",0.125,0.0246472035273427,0.17920411295148,0.244482543510108,0.138271604938272,0.861728395061728,1,1
100,0.1,"12,15",0.125,0.0270896839705915,0.454754629677447,1.02463741117884,0.177777777777778,0.822222222222222,1,1
100,1,"15",0.125,0.00556607718749473,0.0185571241843311,0.0248943221296435,0.861728395061728,1,1,2
100,1,"12,15",0.125,0.00511804274983433,0.0456647977707299,0.102615128698445,0.822222222222222,0.990123456790123,1,2
100,10,"15",0.125,0.00384283568877095,0.00545653603088669,0.00646157124040955,1,1,1,3
100,10,"12,15",0.125,0.00368416921722238,0.00777705467409901,0.011676412863876,0.990123456790123,1,1,2
1000,0.1,"15",0.0125,0.077073589996204,0.566506854885945,0.772992288447116,0.00246913580246914,0.604938271604938,1,1
1000,0.1,"12,15",0.0125,0.0851588681486356,1.43800586681671,3.24014444868696,0.0197530864197531,0.575308641975309,1,1
1000,1,"15",0.0125,0.00880748837203562,0.0568554790131229,0.0774417481869737,0.565432098765432,1,1,2
1000,1,"12,15",0.0125,0.00905315736631622,0.143860622639539,0.324062418464242,0.535802469135802,0.911111111111111,1,2
1000,10,"15",0.0125,0.00443100720606929,0.00732107945163519,0.00905369371546755,1,1,1,3
1000,10,"12,15",0.0125,0.00399332165749985,0.0149737942545863,0.0328817688513624,0.891358024691358,1,1,2
10000,0.1,"15",0.00125,0.243451993558739,1.79139304508018,2.44437532245819,0,0.17037037037037,1,0
10000,0.1,"12,15",0.00125,0.269135203771206,4.54735658057057,10.2462226351008,0,0.22716049382716,1,0
10000,1,"15",0.00125,0.0246477936450902,0.179204717294768,0.244483500710412,0.138271604938272,0.861728395061728,1,1
10000,1,"12,15",0.00125,0.0270919559285243,0.454754800260899,1.02463765064105,0.177777777777778,0.822222222222222,1,1
10000,10,"15",0.00125,0.00556648564602079,0.0185577078009422,0.0248952623156654,0.861728395061728,1,1,2
10000,10,"12,15",0.00125,0.00511835659303264,0.0456649676894675,0.102615367841501,0.822222222222222,0.990123456790123,1,2
