variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch1.5,tile_core,1.5,"10",1,1067.24056756473,32361.84811466,32361.8481266495,0,0,1,1
pitch1.5,tile_ninth,1.5,"10",1,12063161283.0182,Inf,Inf,0,0.064,0.52,0
pitch1.5,tile_prism,1.5,"10",1,Inf,Inf,Inf,0,0,0.392,0
pitch1.5,tile_core,1.5,"11",1,89.8182329537296,Inf,Inf,0.088,0.36,0.936,1
pitch1.5,tile_ninth,1.5,"11",1,2613657476.78294,Inf,Inf,0.088,0.36,0.52,0
pitch1.5,tile_prism,1.5,"11",1,Inf,Inf,Inf,0.024,0.168,0.36,0
pitch1.5,tile_core,1.5,"12",1,40.2646523091157,Inf,Inf,0.36,0.36,0.84,1
pitch1.5,tile_ninth,1.5,"12",1,2766967718.15401,Inf,Inf,0.296,0.36,0.52,0
pitch1.5,tile_prism,1.5,"12",1,Inf,Inf,Inf,0.04,0.136,0.36,0
pitch1.5,tile_core,1.5,"13",1,43.2659564368695,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_ninth,1.5,"13",1,4910637030.28563,Inf,Inf,0.264,0.36,0.52,0
pitch1.5,tile_prism,1.5,"13",1,Inf,Inf,Inf,0.072,0.104,0.36,0
pitch1.5,tile_core,1.5,"15",1,115.422845494647,227658487.422215,277494743.609855,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"15",1,22273064774.1566,Inf,Inf,0.04,0.296,0.52,0
pitch1.5,tile_prism,1.5,"15",1,Inf,Inf,Inf,0.04,0.072,0.36,0
pitch1.5,tile_core,1.5,"17",1,387.031797514657,2474873695.71101,2990012134.66571,0.36,0.36,1,0
pitch1.5,tile_ninth,1.5,"17",1,97379775017.5991,Inf,Inf,0.04,0.104,0.52,0
pitch1.5,tile_prism,1.5,"17",1,Inf,Inf,Inf,0.04,0.04,0.392,0
pitch1.5,tile_core,1.5,"20",1,2090.74644222167,37372324665.9928,44473207718.5682,0.232,0.36,1,0
pitch1.5,tile_ninth,1.5,"20",1,650627150275.396,Inf,Inf,0.04,0.04,0.52,0
pitch1.5,tile_prism,1.5,"20",1,Inf,Inf,Inf,0.04,0.04,0.36,0
pitch1.5,tile_core,1.5,"25",1,18150.0243018364,903843831272.407,Inf,0.136,0.36,0.968,0
pitch1.5,tile_ninth,1.5,"25",1,Inf,Inf,Inf,0.04,0.04,0.36,0
pitch1.5,tile_prism,1.5,"25",1,Inf,Inf,Inf,0.04,0.04,0.328,0
pitch1.5,tile_core,1.5,"10,11",2,0.0234016956465742,1090.51656864777,1374.21089267536,0.056,0.744,1,2
pitch1.5,tile_ninth,1.5,"10,11",2,89176.1389431032,Inf,Inf,0.056,0.36,0.84,0
pitch1.5,tile_prism,1.5,"10,11",2,56675178669.7728,Inf,Inf,0.024,0.264,0.552,0
