tilt_deg,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
21.0,15.0,1,0.10718468252748316,inf,inf,0.4112,0.49568,0.92448,0
21.0,"12.0,15.0",2,0.007603503944708036,10708417.728352701,inf,0.56992,0.65696,0.9872,0
21.0,"10.0,13.0",2,0.02955413885096805,16866.648443203532,inf,0.30496,0.60768,0.97568,0
21.0,"11.0,15.0",2,0.008270790251578728,127581.89420708809,inf,0.5424,0.64928,0.9744,0
21.0,"10.0,12.0,15.0",3,0.006872042808415435,831.905017363535,138073.52730951057,0.6096,0.73952,1.0,0
21.0,"10.0,12.0,15.0,17.0",4,0.005025073761611984,960.6000430675418,159433.52608786334,0.61472,0.73696,1.0,0
24.0,15.0,1,0.02356311404048118,8620477.152435843,inf,0.38048,0.58272,0.97696,0
24.0,"12.0,15.0",2,0.007268949486249511,38.46443042309444,3039.878462143529,0.64928,0.83232,1.0,0
24.0,"10.0,13.0",2,0.02877573532598269,2.913060544616446,179.0454268393256,0.21888,0.7184,1.0,1
24.0,"11.0,15.0",2,0.007448191130124675,21.577875945316986,2324.489488489676,0.61472,0.82144,1.0,0
24.0,"10.0,12.0,15.0",3,0.007007996103762762,0.5670499391215189,319.17354792897595,0.66272,0.87328,1.0,1
24.0,"10.0,12.0,15.0,17.0",4,0.004874875485588246,0.5969373173480497,368.0712173858871,0.71776,0.87712,1.0,1
27.0,15.0,1,0.030070828442113017,1481.1858565891678,inf,0.34208,0.55712,0.9872,0
27.0,"12.0,15.0",2,0.008095923938238804,0.075251768349863,0.7980559903201243,0.6032,0.97056,1.0,2
27.0,"10.0,13.0",2,0.03338179744997603,1.1468214404666244,96.43220749240126,0.21056,0.7504,1.0,1
27.0,"11.0,15.0",2,0.007758960789903681,0.19179598031432576,1.1154839705438568,0.62368,0.91104,1.0,1
27.0,"10.0,12.0,15.0",3,0.007282189523036078,0.04342366394769373,0.1961335009941124,0.6736,0.9904,1.0,1
27.0,"10.0,12.0,15.0,17.0",4,0.005105069338697339,0.04687555809362459,0.20678605510957537,0.78752,0.98848,1.0,2
30.0,15.0,1,0.027246291993110926,53624.560500717045,inf,0.328,0.58016,0.99488,0
30.0,"12.0,15.0",2,0.009160421121303152,4.207432245655773,69.98676258685217,0.54688,0.86304,1.0,1
30.0,"10.0,13.0",2,0.044410037067077475,1.2633947875682534,29.39661797087921,0.09408,0.68,1.0,0
30.0,"11.0,15.0",2,0.009300958575062265,2.5434888997503013,86.84715692760203,0.5392,0.82464,1.0,1
30.0,"10.0,12.0,15.0",3,0.0077095607244002905,0.13207163975426636,54.498087557137985,0.64032,0.93344,1.0,1
30.0,"10.0,12.0,15.0,17.0",4,0.005536115524068246,0.12671151761773491,62.74608597327554,0.76448,0.93472,1.0,1
33.0,15.0,1,0.8085476758170191,inf,inf,0.29344,0.46624,0.9296,0
33.0,"12.0,15.0",2,0.012301125594104125,335.90381149046084,16374.677242131806,0.43552,0.70688,1.0,0
33.0,"10.0,13.0",2,0.07406201842370075,6.494304146941826,3626.4883436157183,0.048,0.57888,1.0,0
33.0,"11.0,15.0",2,0.012555302085899089,39.30069246112165,4264.171436488284,0.4368,0.72224,1.0,0
33.0,"10.0,12.0,15.0",3,0.010648153742837892,1.3967384509547984,301.9805107492744,0.47904,0.84,1.0,0
33.0,"10.0,12.0,15.0,17.0",4,0.00672473764904589,1.612807241132022,348.5019494339003,0.60448,0.83488,1.0,0
