case,tiles,K,dimensions,half_width_floor_m,region,gain,pilot_integration_seconds,grid_count,grid_peb_median_m,grid_peb_p95_m,grid_peb_max_m,grid_fraction_peb_10cm,grid_fraction_full_rank,grid_minimum_visible_5sigma,count,median_m,p95_m,max_m,rmse_m,rmse_x_m,rmse_y_m,rmse_z_m,fraction_error_1cm,fraction_error_10cm,failure_10cm_wilson95_low,failure_10cm_wilson95_high,boundary_p95_m,boundary_max_m,optimizer_success_fraction,alternative_gap_below9_fraction,noiseless_audit_max_error_m,sampled_far_fingerprint_min_sigma
grid_baseline_full_2d,9,1,2,2.5,frustum,known,1.125,3721,0.0014314846377557948,1380351.390332253,inf,0.721580220370868,0.9978500403117442,0,300,0.0007208855874284832,4.575551151895325,6.300850940916447,1.7373869632821974,1.1647216559442146,1.2891613259625434,0.0,0.6866666666666666,0.75,0.20436988915825688,0.30195159645401587,5.922192313858654,6.416267729883219,0.9935275080906149,0.28802588996763756,0.16940623489721673,2.9530197266615617e-06
grid_baseline_full_3d,9,1,3,2.5,frustum,known,1.125,18605,0.019541565152270467,inf,inf,0.5323837678043537,0.9344262295081968,0,300,0.018432901279189017,4.081713076108617,5.395630134598547,1.4550268381845393,1.0155968619025852,0.9752419235127414,0.36683689093940264,0.42,0.5766666666666667,0.3687385228107286,0.47986673277703507,5.5754356699593846,6.133122339847211,0.981651376146789,0.3577981651376147,0.7497899688726049,8.681756383478457e-08
grid_convex_core_2d,9,2,2,1.8,frustum,known,1.125,3721,0.00031442685208871044,0.0016765865643524895,0.007012146746289013,1.0,1.0,2,300,0.00023777231266923794,0.0011178803397355489,0.0040098277878460485,0.0005755892601656512,0.0003690723193577081,0.00044168837374552165,0.0,1.0,1.0,0.0,0.01264297122454535,0.0019713821825626545,0.0021925142961145157,1.0,0.0,2.220446049250313e-16,138.10403741072338
grid_convex_core_3d,9,2,3,1.8,frustum,known,1.125,18605,0.004912260032799646,0.010237888046750297,0.026014725038995722,1.0,1.0,2,300,0.003968062210957909,0.013768097231895659,0.025786789201210022,0.006513449085093361,0.0023479708257610607,0.0021426185725929776,0.005685177010248502,0.8833333333333333,1.0,0.0,0.01264297122454535,0.01185089998335592,0.012838762072133103,1.0,0.0,6.896813756184274e-15,47.3565549046014
grid_diverging_full_2d,9,2,2,2.5,frustum,known,1.125,3721,0.0008247881775839439,0.0027357299064146674,0.015294284644263582,1.0,1.0,2,300,0.0005578498272429929,0.0022375774747068846,0.008889075321767859,0.001340311665582355,0.0010425078446260263,0.0008423851582200051,0.0,1.0,1.0,0.0,0.01264297122454535,0.006119703337602851,0.00863831158924862,1.0,0.0,2.220446049250313e-16,47.58291932616235
grid_diverging_full_3d,9,2,3,2.5,frustum,known,1.125,18605,0.00441191686612898,0.019741506678920953,0.07403243324758896,1.0,1.0,2,300,0.003448521588419368,0.014420825114765988,0.08697947575454248,0.010062335408563657,0.0047152251997452325,0.005126632849394298,0.007261878601135712,0.8766666666666667,1.0,0.0,0.01264297122454535,0.030606582354280255,0.046810923101695864,1.0,0.0,3.1758006758559448e-15,19.603348615874943
grid_convex_retilted_full_2d,9,3,2,2.5,frustum,known,1.125,3721,0.00041970762519645283,0.002271233626253675,0.7300914206583152,0.9983875302338081,1.0,1,300,0.00029963880969983617,0.0018366075560494704,0.0218844915612404,0.0017338999283735184,0.001034395384282119,0.0013915585329369155,0.0,0.9933333333333333,1.0,0.0,0.01264297122454535,0.005000283821010626,0.00733145902412548,1.0,0.0,4.965068306494546e-16,78.25103394731218
grid_convex_retilted_full_3d,9,3,3,2.5,frustum,known,1.125,18605,0.006861203024029029,0.042696974368661815,2.4164315062752006,0.980327868852459,1.0,1,300,0.005365769547059732,0.0324236461277854,0.2933377747442584,0.03286090238275659,0.016147231793067266,0.014990821499187606,0.024379931944316622,0.72,0.97,0.015861853809432586,0.05602253914164004,0.39582148273126266,0.437761839667263,0.9877675840978594,0.0,3.0671895522574365e-14,22.656764365200463
grid_convex_full_3d,9,2,3,2.5,frustum,known,1.125,18605,0.007275156153087056,378310.40830783814,inf,0.6899758129535071,0.9944101048105348,0,300,0.006200536954849232,2.205195856532271,4.843887408547302,0.8825272175857437,0.609551010880962,0.5793737513810604,0.2676339125078682,0.62,0.7466666666666667,0.20744975020452766,0.3054541155995815,4.1434107199496415,4.74409866625341,0.9724770642201835,0.21100917431192662,0.23828570541882363,0.0012887682597005612
grid_diverging_prism_3d,9,2,3,2.5,prism,known,1.125,18605,0.0068649371291801976,125.43398259257816,17342931.088430207,0.8066111260413867,1.0,0,300,0.00462788669076378,0.37457940255244243,5.125182092112111,0.48063447044981533,0.40295838034413556,0.24879222984524174,0.08207596641915259,0.7166666666666667,0.8866666666666667,0.08224450187529175,0.15419939587169,3.2648859394806813,4.660018241287381,1.0,0.0672782874617737,2.6849434434863057e-12,0.2391628287351072
grid_diverging_full_3d_unknown_gain,9,2,3,2.5,frustum,common,1.125,18605,0.08600865162877777,13.141073200020212,1156.511767465177,0.5409298575651706,1.0,2,300,0.04627930456877308,0.9088256526910599,1.3301608131942055,0.3220625570831627,0.14942923487777127,0.15619720786293503,0.23874175733334208,0.14666666666666667,0.6733333333333333,0.2760784389482699,0.3816377910762392,1.3054655489462839,1.5423373471157553,0.9969418960244648,0.0030581039755351682,5.0332769918070176e-12,4.305476408988533
