case,tiles,K,dimensions,half_width_floor_m,region,gain,pilot_integration_seconds,grid_count,grid_peb_median_m,grid_peb_p95_m,grid_peb_max_m,grid_fraction_peb_10cm,grid_fraction_full_rank,grid_minimum_visible_5sigma,count,median_m,p95_m,max_m,rmse_m,rmse_x_m,rmse_y_m,rmse_z_m,fraction_error_1cm,fraction_error_10cm,failure_10cm_wilson95_low,failure_10cm_wilson95_high,boundary_p95_m,boundary_max_m,optimizer_success_fraction,alternative_gap_below9_fraction,noiseless_audit_max_error_m,sampled_far_fingerprint_min_sigma
tile_baseline_core_2d,1,1,2,0.45,frustum,known,0.125,3721,0.00037542000253480115,0.001546079979309158,0.00323361176175796,1.0,1.0,2,300,0.0002616226633102637,0.0016298960245769616,0.006097773719454882,0.0008409212054664033,0.0006769695846490032,0.0004988593541903622,0.0,1.0,1.0,0.0,0.01264297122454535,0.0018935031112162037,0.0021704059507434044,1.0,0.0,1.986258379993444e-16,128.5083027988513
tile_baseline_core_3d,1,1,3,0.45,frustum,known,0.125,18605,0.005067878104635782,0.011661934305220221,0.03140185239863658,1.0,1.0,2,300,0.002986210186772232,0.012165186955855917,0.02601862425330275,0.006134818786614732,0.000692586247693103,0.0006796487556880048,0.0060575905608582685,0.92,1.0,0.0,0.01264297122454535,0.009944281121133158,0.014213976126746517,1.0,0.0,3.623697414772185e-15,21.356973076801015
tile_baseline_ninth_2d,1,1,2,0.8333333333333334,frustum,known,0.125,3721,0.002388137140040299,1420797.1913242927,inf,0.6764310669174953,0.9688255845202902,0,300,0.0017359886907202897,1.5303702715063856,2.148616947523799,0.49520161058551604,0.30708318822779374,0.38849009078011554,0.0,0.6266666666666667,0.74,0.2136206032599361,0.31244802292784574,1.4207916022705636,1.6000293474896925,1.0,0.3268608414239482,0.15508037579219372,0.02102659224532976
tile_baseline_ninth_3d,1,1,3,0.8333333333333334,frustum,known,0.125,18605,32.373903060054246,inf,inf,0.3597420048374093,0.8118785272776136,0,300,0.2548219759109959,1.3111192277514185,1.865636372843326,0.6052333668007077,0.2858271497960427,0.2973752812050048,0.44292009534072263,0.32,0.41,0.5335482149789333,0.6441760502006485,1.8100627308421617,1.830051098126269,0.9480122324159022,0.46788990825688076,0.9410496842551177,0.0042292276464058354
tile_convex_core_2d,1,2,2,0.6,frustum,known,0.125,3721,0.00033126718200892215,0.0015778618519095185,0.10242929694490106,0.998925020155872,1.0,1,300,0.00025584170500592715,0.0014001924827467109,0.013970203021479156,0.0010493735527943601,0.0007803951206865894,0.0007015470824633379,0.0,0.9966666666666667,1.0,0.0,0.01264297122454535,0.007550042771982807,0.0086618759099744,1.0,0.0,4.9004117470448915e-15,82.27384921039459
tile_convex_core_3d,1,2,3,0.6,frustum,known,0.125,18605,0.00491933922879321,0.02428782111387027,0.16806374343802102,0.9967750604676162,1.0,1,300,0.003259214000649468,0.017914644904246654,0.09462083858266888,0.01060887590308595,0.0028811162448635417,0.001716306093459781,0.01006487508636913,0.89,1.0,0.0,0.01264297122454535,0.06738673951306876,0.2361186679283697,0.9969418960244648,0.0,1.9385765751047768e-15,23.0859734015632
tile_diverging_ninth_2d,1,2,2,0.8333333333333334,frustum,known,0.125,3721,0.0007799943948390343,0.0018563346935778539,0.0044031451995474235,1.0,1.0,3,300,0.0005861150099230615,0.0020468423480544833,0.003712280968711572,0.0009868190720563302,0.0007184105106648945,0.0006765339748603332,0.0,1.0,1.0,0.0,0.01264297122454535,0.003403737010389052,0.004728572243569266,1.0,0.0,1.1102230246251565e-16,67.03834646850576
tile_diverging_ninth_3d,1,2,3,0.8333333333333334,frustum,known,0.125,18605,0.004479471981630443,0.009850319484292389,0.022101326318427768,1.0,1.0,3,300,0.0032989118641880196,0.012026434661991494,0.028887647397121664,0.006337798904042917,0.0013913113465220095,0.0012768944894703056,0.006049916375280495,0.91,1.0,0.0,0.01264297122454535,0.010453422584170898,0.028842355884022675,1.0,0.0,1.3608726004012153e-15,22.475176112523798
tile_convex_ninth_3d,1,2,3,0.8333333333333334,frustum,known,0.125,18605,0.012066125252472299,2034.9672942459322,inf,0.6314969094329481,0.9744154797097554,0,300,0.010155352716912616,0.8239878893248066,1.0364400091529113,0.29996899323834497,0.06538019699878561,0.06677378224530273,0.2850405036998832,0.49333333333333335,0.7066666666666667,0.24468634082804627,0.3472060872780992,1.0406128686113694,1.0463664593330058,0.9541284403669725,0.23547400611620795,0.050371524632704154,0.5068793132746332
tile_scan8_ninth_3d,1,8,3,0.8333333333333334,frustum,known,0.125,18605,0.0059098186178857,2.3397481357133616,inf,0.7420048374092986,0.9978500403117442,1,300,0.004297558263240278,0.429315058016321,1.0231150878568345,0.18012778317056571,0.04067717331596706,0.04302772712255531,0.170117607964702,0.63,0.83,0.13173009843992528,0.2166142625682747,1.0683938955837726,1.0761883430782886,0.9908256880733946,0.09480122324159021,2.383463578080189e-13,13.129660323444554
