
============================================================
GLS DF ORIENTATION OPTIMIZATION LOG
============================================================
Date: 29-Apr-2026 13:21:19
K = 5 orientations
Testbed: 605 positions
Room: 3x3 m, H_max=1.2 m, step=0.30 m
LED: Pt=0.405 W, Φ½=45°, m=2.00
PD: A=2.64e-05 m², FOV=85°
Noise: σ²=3.00e-14 W², N=1000 samples
GA: pop=300, gen=150, parallel=6 workers
============================================================

Starting GA optimization for GLS DF (K=5)...

Single objective optimization:
10 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible
GLS DF Monitor initialized. Log file: results\GLS_DF_optimization\orientation_log_GLS_DF_2026-04-29_13-21-25.txt

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              600          0.8841           30.28        0
    2              900          0.8754            19.7        0
    3             1200           0.869           14.15        0
    4             1500          0.8134           9.469        0
    5             1800          0.7364           7.377        0
    6             2100          0.7392           6.057        1
    7             2400          0.7087           4.121        0
    8             2700          0.7123           3.734        1
    9             3000          0.7052           2.074        0
   10             3300          0.6513           1.362        0
   11             3600          0.6554            1.15        1
   12             3900          0.6707           1.112        2
   13             4200          0.6601           0.995        0
   14             4500           0.677          0.9766        1
   15             4800          0.6491          0.7735        0
   16             5100          0.6197          0.7649        0
   17             5400          0.6608          0.7583        1
   18             5700          0.6556          0.7606        0
   19             6000          0.6568          0.7556        1
   20             6300          0.6591          0.7569        2
   21             6600          0.6506          0.7517        0
   22             6900          0.6528          0.7581        1
   23             7200          0.6695          0.7562        2
   24             7500          0.6644          0.7536        0
   25             7800          0.6627          0.7518        0
   26             8100          0.6539          0.7516        0
   27             8400          0.6606          0.7542        1
   28             8700          0.6645          0.7542        2
   29             9000          0.6563           0.745        0
   30             9300          0.6582          0.7497        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             9600          0.6745          0.7474        2
   32             9900          0.6556          0.7505        0
   33            10200          0.6274          0.7478        0
   34            10500          0.6584          0.7464        1
   35            10800          0.6651          0.7438        2
   36            11100          0.6485          0.7427        0
   37            11400          0.6514          0.7442        1
   38            11700          0.6636          0.7426        2
   39            12000          0.6504          0.7417        0
   40            12300          0.6641          0.7435        1
   41            12600          0.6433          0.7434        0
   42            12900           0.649          0.7399        1
   43            13200            0.64          0.7446        0
   44            13500          0.6453          0.7421        1
   45            13800          0.6595          0.7399        2
   46            14100          0.6547           0.744        0
   47            14400          0.6627          0.7434        1
   48            14700          0.6532          0.7402        0
   49            15000          0.6326          0.7419        0
   50            15300          0.6422          0.7405        1
   51            15600          0.6385          0.7413        0
   52            15900          0.6582          0.7401        1
   53            16200          0.6468          0.7343        0
   54            16500          0.6438          0.7367        0
   55            16800          0.6498          0.7372        1
   56            17100          0.6481          0.7365        0
   57            17400          0.6519          0.7379        1
   58            17700          0.6519          0.7319        2
   59            18000          0.6507          0.7391        0
   60            18300           0.652           0.737        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            18600          0.6605          0.7392        2
   62            18900          0.6448          0.7401        0
   63            19200           0.652          0.7374        1
   64            19500          0.6413          0.7317        0
   65            19800          0.6565          0.7331        1
   66            20100           0.628           0.735        0
   67            20400          0.6495          0.7392        1
   68            20700          0.6446          0.7386        0
   69            21000          0.6514           0.737        1
   70            21300          0.6594          0.7373        2
   71            21600          0.6468          0.7382        0
   72            21900          0.6534          0.7355        1
   73            22200          0.6395          0.7354        0
   74            22500          0.6401          0.7364        1
   75            22800          0.6462          0.7337        2
   76            23100          0.6481          0.7367        3
   77            23400          0.6577          0.7363        4
   78            23700          0.6332          0.7356        0
   79            24000          0.6598          0.7382        1
   80            24300          0.6597          0.7342        0
   81            24600          0.6557           0.734        0
   82            24900          0.6573          0.7371        1
   83            25200          0.6435          0.7365        0
   84            25500          0.6337          0.7344        0
   85            25800          0.6396          0.7354        1
   86            26100          0.6517          0.7339        2
   87            26400          0.6417          0.7327        0
   88            26700          0.6645          0.7403        1
   89            27000          0.6429          0.7353        0
   90            27300          0.6471          0.7364        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            27600          0.6441          0.7325        0
   92            27900          0.6564           0.736        1
   93            28200          0.6366          0.7342        0
   94            28500          0.6444          0.7355        1
   95            28800          0.6503          0.7383        2
   96            29100           0.648          0.7343        0
   97            29400          0.6326          0.7392        0
   98            29700          0.6579          0.7305        1
   99            30000           0.647          0.7354        0
  100            30300          0.6599          0.7321        1
  101            30600           0.648          0.7365        0
  102            30900          0.6322          0.7333        0
  103            31200          0.6553          0.7367        1
  104            31500          0.6499          0.7355        0
  105            31800          0.6498          0.7361        0
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.

=== GLS DF Optimization Complete ===
Final best RMS angular error: 0.6498°
Total generations: 105

Optimal LED orientations (GLS DF-optimized):
LED 1: θ = 1.58°, ρ = 153.32°
LED 2: θ = 41.37°, ρ = 129.51°
LED 3: θ = 31.95°, ρ = 217.36°
LED 4: θ = 34.21°, ρ = 306.97°
LED 5: θ = 30.33°, ρ = 42.52°
Log saved to: results\GLS_DF_optimization\orientation_log_GLS_DF_2026-04-29_13-21-25.txt

--------------------------------------------------
GLS DF OPTIMIZATION RESULTS FOR K = 5
--------------------------------------------------
Execution time: 578.48 seconds (9.6 min)
Best RMS angular error: 0.6498°
Exit flag: 1

Optimal LED orientations (GLS DF-optimized):
  LED 1: θ =   1.58°, ρ = 153.32° → n_t = [-0.025,  0.012, -1.000]
  LED 2: θ =  41.37°, ρ = 129.51° → n_t = [-0.421,  0.510, -0.750]
  LED 3: θ =  31.95°, ρ = 217.36° → n_t = [-0.421, -0.321, -0.848]
  LED 4: θ =  34.21°, ρ = 306.97° → n_t = [ 0.338, -0.449, -0.827]
  LED 5: θ =  30.33°, ρ =  42.52° → n_t = [ 0.372,  0.341, -0.863]

Orientation vector (copy-paste ready):
orientations_GLS_DF_K5 = [1.58,153.32,41.37,129.51,31.95,217.36,34.21,306.97,30.33,42.52];

Optimization completed at: 29-Apr-2026 13:30:58
