
============================================================
GLS DF ORIENTATION OPTIMIZATION LOG
============================================================
Date: 29-Apr-2026 15:37:44
K = 9 orientations
Testbed: 1792 positions
Room: 3x3 m, H_max=1.2 m, step=0.20 m
LED: Pt=0.405 W, Φ½=45°, m=2.00
PD: A=2.64e-05 m², FOV=85°
Noise: σ²=3.00e-14 W², N=1000 samples, M_MC=10 trials/pos
GA: pop=300, gen=400, parallel=24 workers
============================================================

Starting GA optimization for GLS DF (K=9)...

Single objective optimization:
18 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible
GLS DF Monitor initialized. Log file: results/GLS_DF_optimization/orientation_log_GLS_DF_2026-04-29_15-38-59.txt

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              600          0.5151           13.62        0
    2              900          0.5047           12.94        0
    3             1200          0.5006           13.23        0
    4             1500          0.4908           10.95        0
    5             1800          0.4817           14.55        0
    6             2100          0.4845           10.75        1
    7             2400          0.4772           10.48        0
    8             2700          0.4778           13.74        1
    9             3000          0.4751           11.99        0
   10             3300          0.4659           11.15        0
   11             3600          0.4627           10.96        0
   12             3900          0.4573           10.55        0
   13             4200          0.4544           5.425        0
   14             4500          0.4523           4.657        0
   15             4800          0.4479           2.746        0
   16             5100          0.4507             1.3        1
   17             5400          0.4507          0.6862        2
   18             5700          0.4472          0.8588        0
   19             6000          0.4491          0.8512        1
   20             6300          0.4464          0.4607        0
   21             6600          0.4493          0.4596        1
   22             6900          0.4487          0.4592        0
   23             7200          0.4467          0.4584        0
   24             7500          0.4485          0.4581        1
   25             7800          0.4449          0.4576        0
   26             8100          0.4475          0.4577        1
   27             8400          0.4465          0.4574        0
   28             8700           0.447           0.457        1
   29             9000          0.4474          0.4569        2
   30             9300           0.444          0.4568        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             9600          0.4473          0.4571        1
   32             9900          0.4457          0.4566        0
   33            10200          0.4462          0.4564        1
   34            10500          0.4458          0.4559        0
   35            10800          0.4469          0.4557        1
   36            11100          0.4455          0.4552        0
   37            11400          0.4457          0.4552        1
   38            11700          0.4445           0.455        0
   39            12000          0.4442          0.4548        0
   40            12300          0.4424          0.4547        0
   41            12600          0.4433          0.4541        1
   42            12900          0.4443          0.4541        2
   43            13200          0.4405          0.4537        0
   44            13500          0.4407          0.4534        1
   45            13800          0.4406          0.4534        0
   46            14100          0.4419           0.453        1
   47            14400           0.442          0.4532        2
   48            14700          0.4427           0.452        3
   49            15000          0.4429          0.4523        4
   50            15300          0.4441          0.4521        5
   51            15600          0.4424           0.452        0
   52            15900          0.4427          0.4517        1
   53            16200          0.4429          0.4518        2
   54            16500          0.4404           0.451        0
   55            16800          0.4386          0.4511        0
   56            17100          0.4405          0.4512        1
   57            17400          0.4354          0.4511        0
   58            17700          0.4399          0.4506        1
   59            18000          0.4411          0.4505        2
   60            18300          0.4401          0.4511        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            18600          0.4395          0.4507        0
   62            18900          0.4372          0.4506        0
   63            19200          0.4427          0.4506        1
   64            19500          0.4406          0.4503        0
   65            19800          0.4415          0.4504        1
   66            20100          0.4396          0.4506        0
   67            20400          0.4397            0.45        1
   68            20700          0.4383          0.4502        0
   69            21000           0.439            0.45        1
   70            21300          0.4382            0.45        0
   71            21600          0.4372          0.4501        0
   72            21900          0.4411          0.4502        1
   73            22200          0.4435          0.4505        2
   74            22500          0.4403          0.4502        0
   75            22800          0.4408            0.45        1
   76            23100          0.4405          0.4503        0
   77            23400          0.4399          0.4504        0
   78            23700            0.44          0.4498        1
   79            24000          0.4404          0.4502        2
   80            24300          0.4413          0.4502        3
   81            24600          0.4396          0.4499        0
   82            24900           0.439            0.45        0
   83            25200          0.4377          0.4498        0
   84            25500          0.4399          0.4501        1
   85            25800          0.4403          0.4501        2
   86            26100           0.439          0.4494        0
   87            26400          0.4407          0.4498        1
   88            26700          0.4391            0.45        0
   89            27000          0.4373          0.4497        0
   90            27300          0.4375          0.4498        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            27600          0.4394          0.4494        2
   92            27900          0.4406          0.4495        3
   93            28200          0.4394          0.4496        0
   94            28500          0.4392          0.4497        0
   95            28800          0.4414          0.4497        1
   96            29100          0.4393          0.4494        0
   97            29400          0.4407          0.4502        1
   98            29700          0.4406          0.4492        0
   99            30000          0.4383          0.4498        0
  100            30300          0.4409          0.4499        1
  101            30600          0.4397          0.4496        0
  102            30900          0.4402          0.4495        1
  103            31200          0.4408          0.4494        2
  104            31500          0.4392          0.4493        0
  105            31800           0.438          0.4495        0
  106            32100          0.4394          0.4494        1
  107            32400          0.4351          0.4496        0
  108            32700          0.4375          0.4492        1
  109            33000          0.4407          0.4493        2
  110            33300           0.437          0.4493        0
  111            33600          0.4386          0.4495        1
  112            33900          0.4399          0.4496        2
  113            34200          0.4391          0.4497        0
  114            34500           0.441          0.4493        1
  115            34800          0.4393           0.449        0
  116            35100            0.44          0.4493        1
  117            35400          0.4403          0.4493        2
  118            35700          0.4398          0.4496        0
  119            36000          0.4412          0.4494        1
