======================================================================
GLS DF OPTIMIZATION — ORIENTATION VALUES LOG
======================================================================
Log started: 29-Apr-2026 13:21:25
Format: Generation | RMS_Ang_Error(deg) | K_vector=[theta1,rho1,...]
======================================================================

         1 |     0.884134 | [14.548,339.704,42.088,121.212,9.825,214.191,32.618,305.248,27.238,39.370]
         2 |     0.875439 | [15.548,339.704,42.088,122.212,9.825,214.191,33.618,305.248,27.238,39.370]
         3 |     0.869030 | [14.548,339.704,41.088,121.212,9.825,215.191,33.618,305.248,27.238,40.370]
         4 |     0.813363 | [0.371,152.443,41.088,122.212,31.202,247.190,33.618,340.854,28.238,41.370]
         5 |     0.736394 | [7.738,339.704,42.088,122.212,22.023,214.191,64.409,305.248,27.238,23.271]
         6 |     0.739180 | [7.738,339.704,42.088,121.212,22.023,214.191,33.618,305.248,27.238,40.370]
         7 |     0.708676 | [7.738,138.463,42.088,122.212,29.911,214.191,33.618,305.248,27.238,40.370]
         8 |     0.712318 | [8.738,122.805,41.088,139.193,31.202,214.191,33.618,305.248,29.238,40.370]
         9 |     0.705174 | [0.371,250.251,42.088,122.212,31.202,215.441,33.618,305.248,28.238,39.870]
        10 |     0.651251 | [12.596,138.463,43.088,122.212,24.066,214.191,33.618,305.248,28.238,39.370]
        11 |     0.655441 | [8.738,138.463,43.088,123.212,28.911,216.191,33.618,306.248,28.238,40.370]
        12 |     0.670706 | [7.738,138.463,43.088,121.462,31.202,215.191,33.618,305.248,28.238,41.370]
        13 |     0.660149 | [0.371,138.463,42.088,122.212,29.911,214.191,32.618,305.248,28.238,40.370]
        14 |     0.676965 | [9.393,339.704,42.088,122.212,30.911,216.191,33.118,312.264,28.238,40.370]
        15 |     0.649127 | [10.113,138.525,43.497,120.899,32.194,214.691,34.368,305.248,29.926,41.370]
        16 |     0.619730 | [0.371,310.510,43.497,122.212,32.694,215.191,32.618,305.810,26.988,41.370]
        17 |     0.660760 | [0.371,138.463,42.088,128.327,31.452,215.191,34.368,305.748,34.102,40.558]
        18 |     0.655552 | [0.371,340.704,30.994,121.212,31.452,215.191,33.118,306.248,28.738,41.370]
        19 |     0.656850 | [9.113,152.443,43.088,121.399,31.327,216.191,32.868,306.248,29.613,40.433]
        20 |     0.659057 | [0.871,137.963,42.338,129.827,32.194,214.191,32.868,305.498,29.613,43.620]
        21 |     0.650632 | [9.238,138.463,44.338,122.212,31.202,214.691,32.868,306.248,28.988,41.370]
        22 |     0.652774 | [1.121,138.463,43.588,130.077,31.202,214.691,33.618,305.248,30.738,41.120]
        23 |     0.669497 | [9.113,137.963,42.338,121.212,32.694,214.191,33.806,306.498,28.238,41.370]
        24 |     0.664384 | [9.238,137.963,41.088,121.212,29.411,214.191,33.806,306.498,29.238,40.370]
        25 |     0.662725 | [6.271,138.463,41.088,121.462,29.911,214.691,34.618,305.810,30.238,40.620]
        26 |     0.653930 | [0.371,341.204,43.088,122.962,32.327,215.191,33.868,305.248,27.738,40.870]
        27 |     0.660554 | [1.121,139.963,41.213,128.327,30.661,214.691,33.618,306.498,30.238,40.370]
        28 |     0.664454 | [7.926,153.131,42.338,129.827,32.702,216.378,33.618,306.498,32.020,42.308]
