======================================================================
VLP SYSTEM OPTIMIZATION LOG
======================================================================
Log file started: optimization\room_3x3\K_8\optimization_log_2025-07-27_18-47-35.txt
Date and time: 27-Jul-2025 18:47:35

======================================================================
SYSTEM CONFIGURATION
======================================================================
EVALUATION TESTBED:
  Room dimensions: L = 3.0 m, W = 3.0 m
  Height range: H = 0 to 1.2 m
  Grid resolution: step = 0.2 m
  Total evaluation points: 1792 positions
  Position range:
    X ∈ [-1.5, 1.5] m
    Y ∈ [-1.5, 1.5] m
    Z ∈ [0.0, 1.2] m

OPTIMIZATION PARAMETERS:
  K values to optimize: [6   8   9  10]
  Elevation angle range: 0° to 80° (allowed range for LED orientations)
  Azimuth angle range: 0° to 360° (full rotation allowed)
  Optimization metric: rms
  Parallel processing: 4 workers
  Population size: 300
  Max generations: 150

LED TRANSMITTER CONFIGURATION:
  Position: [0.0, 0.0, 2.0] m
  Transmitted power: 0.405 W
  Half-power angle: 45.0°
  Lambertian order: 2.00
  Photodiode area: 2.64e-05 m²
  Receiver FOV: 85.0°
  Noise variance: 3.00e-14 W²
  Samples per orientation: 1000


============================================================
OPTIMIZING FOR K = 8 ORIENTATIONS
============================================================
Starting GA optimization with parallel processing...
Population size: 300, Max generations: 150
Using 4 parallel workers for acceleration

Single objective optimization:
16 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              600         0.01328           8.602        0
    2              885         0.01328           7.761        1
    3             1170         0.01328           7.249        2
    4             1455         0.01327           5.342        0
    5             1740         0.01318           4.372        0
    6             2025         0.01317           6.054        0
    7             2310         0.01317           5.439        1
    8             2595         0.01315           5.165        0
    9             2880         0.01311           5.176        0
   10             3165         0.01309            3.03        0
   11             3450         0.01303           1.125        0
   12             3735         0.01303           1.309        0
   13             4020         0.01301           2.678        0
   14             4305         0.01301           3.703        0
   15             4590         0.01299           4.957        0
   16             4875         0.01299           4.255        1
   17             5160         0.01299            3.03        0
   18             5445         0.01298            1.78        0
   19             5730         0.01296          0.5372        0
   20             6015         0.01296          0.2048        1
   21             6300         0.01296         0.01302        2
   22             6585         0.01296           0.013        0
   23             6870         0.01296         0.01299        0
   24             7155         0.01296         0.01298        0
   25             7440         0.01295          0.1869        0
   26             7725         0.01295         0.01297        0
   27             8010         0.01295         0.01296        0
   28             8295         0.01294          0.3641        0
   29             8580         0.01294          0.3592        0
   30             8865         0.01294         0.01295        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             9150         0.01293         0.01295        0
   32             9435         0.01293          0.1837        0
   33             9720         0.01292          0.3574        0
   34            10005         0.01292          0.1907        0
   35            10290         0.01292         0.01294        0
   36            10575         0.01291         0.01293        0
   37            10860         0.01291          0.1837        0
   38            11145         0.01291         0.01292        0
   39            11430          0.0129          0.3577        0
   40            11715          0.0129         0.01292        0
   41            12000          0.0129         0.01291        0
   42            12285         0.01289         0.01291        0
   43            12570         0.01289         0.01291        0
   44            12855         0.01289          0.0129        0
   45            13140         0.01288          0.0129        0
   46            13425         0.01288         0.01289        0
   47            13710         0.01288         0.01289        0
   48            13995         0.01288         0.01289        0
   49            14280         0.01287         0.01289        0
   50            14565         0.01287         0.01288        0
   51            14850         0.01287         0.01288        0
   52            15135         0.01287         0.01288        0
   53            15420         0.01286         0.01288        0
   54            15705         0.01286         0.01287        0
   55            15990         0.01286         0.01287        0
   56            16275         0.01286         0.01287        0
   57            16560         0.01286         0.01287        0
   58            16845         0.01286          0.1846        0
   59            17130         0.01285         0.01286        0
   60            17415         0.01285         0.01286        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            17700         0.01285          0.1899        0
   62            17985         0.01285         0.01286        0
   63            18270         0.01285         0.01286        0
   64            18555         0.01284         0.01285        0
   65            18840         0.01284         0.01285        0
   66            19125         0.01284          0.1905        0
   67            19410         0.01284          0.5388        0
   68            19695         0.01284          0.8798        0
   69            19980         0.01284          0.5447        0
   70            20265         0.01284          0.8717        0
   71            20550         0.01284           0.528        1
   72            20835         0.01283          0.3562        0
   73            21120         0.01283          0.1981        0
   74            21405         0.01283          0.3616        0
   75            21690         0.01283          0.1845        1
   76            21975         0.01283          0.3617        0
   77            22260         0.01283         0.01283        0
   78            22545         0.01283         0.01283        0
   79            22830         0.01283          0.1849        0
   80            23115         0.01283         0.01283        0
   81            23400         0.01283         0.01283        0
   82            23685         0.01283         0.01283        0
   83            23970         0.01282         0.01283        0
   84            24255         0.01282         0.01283        0
   85            24540         0.01282         0.01283        0
   86            24825         0.01282         0.01283        0
   87            25110         0.01282         0.01283        0
   88            25395         0.01282         0.01282        0
   89            25680         0.01282         0.01282        0
   90            25965         0.01282         0.01282        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            26250         0.01282         0.01282        0
   92            26535         0.01282         0.01282        0
   93            26820         0.01282         0.01282        0
   94            27105         0.01282         0.01282        0
   95            27390         0.01282         0.01282        0
   96            27675         0.01281         0.01282        0
   97            27960         0.01281         0.01282        0
   98            28245         0.01281         0.01282        0
   99            28530         0.01281         0.01282        1
  100            28815         0.01281         0.01282        0
  101            29100         0.01281         0.01282        0
  102            29385         0.01281         0.01281        1
  103            29670         0.01281         0.01281        0
  104            29955         0.01281         0.01281        0
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.

=== PEB Optimization Complete ===
Final best PEB: 0.012811 m
Total generations: 104

Optimal LED orientations:
LED 1: θ = 51.82°, ρ = 89.38°
LED 2: θ = 61.50°, ρ = 268.26°
LED 3: θ = 27.32°, ρ = 316.99°
LED 4: θ = 6.46°, ρ = 318.34°
LED 5: θ = 57.76°, ρ = 5.84°
LED 6: θ = 53.65°, ρ = 171.30°
LED 7: θ = 37.97°, ρ = 200.35°
LED 8: θ = 39.27°, ρ = 91.12°

--------------------------------------------------
OPTIMIZATION RESULTS FOR K = 8
--------------------------------------------------
Execution time: 324.51 seconds
Best PEB achieved: 0.012811 m
Exit flag: 1

Optimal LED orientations:
  LED 1: θ =  51.82°, ρ =  89.38° → n_t = [ 0.009,  0.786, -0.618]
  LED 2: θ =  61.50°, ρ = 268.26° → n_t = [-0.027, -0.878, -0.477]
  LED 3: θ =  27.32°, ρ = 316.99° → n_t = [ 0.336, -0.313, -0.888]
  LED 4: θ =   6.46°, ρ = 318.34° → n_t = [ 0.084, -0.075, -0.994]
  LED 5: θ =  57.76°, ρ =   5.84° → n_t = [ 0.841,  0.086, -0.534]
  LED 6: θ =  53.65°, ρ = 171.30° → n_t = [-0.796,  0.122, -0.593]
  LED 7: θ =  37.97°, ρ = 200.35° → n_t = [-0.577, -0.214, -0.788]
  LED 8: θ =  39.27°, ρ =  91.12° → n_t = [-0.012,  0.633, -0.774]

Optimization completed at: 27-Jul-2025 18:53:00
Log file saved to: optimization\room_3x3\K_8\optimization_log_2025-07-27_18-47-35.txt
