Angulo_grados,Voltaje_Medio_V
-90,0.346344
-89,0.342725
-88,0.340751
-87,0.339106
-86,0.345357
-85,0.346344
-84,0.350951
-83,0.333512
-82,0.325616
-81,0.317061
-80,0.310481
-79,0.29699
-78,0.294029
-77,0.29699
-76,0.299294
-75,0.298965
-74,0.297319
-73,0.291726
-72,0.286462
-71,0.2835
-70,0.281197
-69,0.279881
-68,0.278894
-67,0.278894
-66,0.277249
-65,0.27692
-64,0.276591
-63,0.277907
-62,0.2835
-61,0.292384
-60,0.315087
-59,0.350622
-58,0.382866
-57,0.43222
-56,0.53027
-55,0.578637
-54,0.619766
-53,0.697745
-52,0.74677
-51,0.781317
-50,0.786582
-49,0.844491
-48,1.17977
-47,1.57921
-46,1.88092
-45,2.13427
-44,2.32149
-43,2.59195
-42,2.74067
-41,2.88906
-40,2.99566
-39,3.13122
-38,3.26184
-37,3.3543
-36,3.47604
-35,3.59054
-34,3.7182
-33,3.81921
-32,3.91759
-31,4.02979
-30,4.13672
-29,4.22852
-28,4.2884
-27,4.35223
-26,4.40784
-25,4.44798
-24,4.5072
-23,4.56676
-22,4.62302
-21,4.68751
-20,4.73588
-19,4.77141
-18,4.81122
-17,4.85827
-16,4.9073
-15,4.93559
-14,4.97212
-13,5.00337
-12,5.04648
-11,5.07543
-10,5.108
-9,5.13696
-8,5.17216
-7,5.18993
-6,5.20243
-5,5.21954
-4,5.23994
-3,5.25475
-2,5.27054
-1,5.28173
0,5.29522
1,5.30739
2,5.29357
3,5.30443
4,5.28963
5,5.29292
6,5.27647
7,5.2689
8,5.2633
9,5.26034
10,5.25014
11,5.23402
12,5.22843
13,5.20145
14,5.18631
15,5.17381
16,5.14387
17,5.11722
18,5.09024
19,5.0626
20,5.02048
21,4.97574
22,4.9425
23,4.905
24,4.85498
25,4.79806
26,4.7441
27,4.67961
28,4.62335
29,4.58156
30,4.52859
31,4.46213
32,4.35486
33,4.25056
34,4.14824
35,4.06203
36,3.95707
37,3.82513
38,3.69648
39,3.56652
40,3.43754
41,3.29902
42,3.17794
43,3.06245
44,2.90781
45,2.80943
46,2.61695
47,2.44059
48,2.23002
49,2.01418
50,1.58644
51,1.09949
52,0.760918
53,0.752363
54,0.730318
55,0.699719
56,0.636546
57,0.537838
58,0.491116
59,0.421363
60,0.329893
61,0.285475
62,0.235791
63,0.206837
64,0.190715
65,0.180844
66,0.172618
67,0.116355
68,0.0791747
69,0.0508784
70,0.0541686
71,0.0574589
72,0.0614072
73,0.0653555
74,0.0696329
75,0.0742393
76,0.0791747
77,0.0841101
78,0.0897035
79,0.095297
80,0.101219
81,0.106813
82,0.113064
83,0.119316
84,0.125896
85,0.132477
86,0.139387
87,0.146625
88,0.153864
89,0.161102
90,0.16867
