x,y,z,inclinacion,azimuth,mean,median
-0.75,-0.75,0.75,0,0,0.10845654334,0.108787
-0.75,-0.75,0.75,20,180,0.4190879115,0.419388
-0.75,-0.75,0.75,20,270,0.423078512399999,0.423337
-0.75,-0.5,0.75,0,0,0.1895989531,0.189728
-0.75,-0.5,0.75,20,180,0.726523603400002,0.727028
-0.75,-0.5,0.75,20,270,0.5996630763,0.600024
-0.75,-0.25,0.75,0,0,0.440185873100001,0.440446
-0.75,-0.25,0.75,20,180,1.0440513478,1.04454
-0.75,-0.25,0.75,20,270,0.7645640313,0.764866
-0.75,0,0.75,0,0,0.6357833859,0.636217
-0.75,0,0.75,20,180,1.272387121,1.27255
-0.75,0,0.75,20,270,0.791514256000001,0.791846
-0.75,0.25,0.75,0,0,0.8355401248,0.835936
-0.75,0.25,0.75,20,180,1.45326551,1.45352
-0.75,0.25,0.75,20,270,0.734631139299999,0.734925
-0.75,0.5,0.75,0,0,0.880154489800003,0.880354
-0.75,0.5,0.75,20,180,1.520448741,1.52064
-0.75,0.5,0.75,20,270,0.472363617899999,0.472691
-0.75,0.75,0.75,0,0,0.724175952999999,0.724396
-0.75,0.75,0.75,20,180,1.387187115,1.38738
-0.75,0.75,0.75,20,270,0.2134349431,0.213747
-0.5,-0.75,0.75,0,0,0.1924208547,0.192689
-0.5,-0.75,0.75,20,180,0.579255231900002,0.579624
-0.5,-0.75,0.75,20,270,0.678909676400001,0.679319
-0.5,-0.5,0.75,0,0,0.4931447889,0.493419
-0.5,-0.5,0.75,20,180,1.0319888275,1.03236
-0.5,-0.5,0.75,20,270,0.983103862500001,0.98334
-0.5,-0.25,0.75,0,0,0.953791430600001,0.954056
-0.5,-0.25,0.75,20,180,1.55531894299999,1.55584
-0.5,-0.25,0.75,20,270,1.35844356700001,1.35876
-0.5,0,0.75,0,0,1.372046995,1.37225
-0.5,0,0.75,20,180,2.026211655,2.02668
-0.5,0,0.75,20,270,1.55063543699999,1.55091
-0.5,0.25,0.75,0,0,1.750333264,1.75063
-0.5,0.25,0.75,20,180,2.431272076,2.43171
-0.5,0.25,0.75,20,270,1.67384425599999,1.67397
-0.5,0.5,0.75,0,0,1.759063955,1.75951
-0.5,0.5,0.75,20,180,2.44510255200001,2.44553
-0.5,0.5,0.75,20,270,1.28479395,1.28506
-0.5,0.75,0.75,0,0,1.489388404,1.48971
-0.5,0.75,0.75,20,180,2.159081301,2.15928
-0.5,0.75,0.75,20,270,0.6375035943,0.637862
-0.25,-0.75,0.75,0,0,0.403132364000001,0.403595
-0.25,-0.75,0.75,20,180,0.751822201000002,0.752034
-0.25,-0.75,0.75,20,270,1.0234691788,1.02381
-0.25,-0.5,0.75,0,0,0.9240244559,0.924444
-0.25,-0.5,0.75,20,180,1.39034416899999,1.39067
-0.25,-0.5,0.75,20,270,1.54076372200001,1.54104
-0.25,-0.25,0.75,0,0,1.60689976000001,1.6075
-0.25,-0.25,0.75,20,180,2.078694687,2.079
-0.25,-0.25,0.75,20,270,2.07285661800001,2.07307
-0.25,0,0.75,0,0,2.263568049,2.26391
-0.25,0,0.75,20,180,2.789952959,2.79068
-0.25,0,0.75,20,270,2.495120062,2.49554
-0.25,0.25,0.75,0,0,2.559623244,2.56003
-0.25,0.25,0.75,20,180,3.172096861,3.17268
-0.25,0.25,0.75,20,270,2.488335904,2.48863
-0.25,0.5,0.75,0,0,2.673136909,2.67354
-0.25,0.5,0.75,20,180,3.271829822,3.27237
-0.25,0.5,0.75,20,270,2.160403193,2.16059
-0.25,0.75,0.75,0,0,2.284830714,2.28529
-0.25,0.75,0.75,20,180,2.885420697,2.88577
-0.25,0.75,0.75,20,270,1.305382975,1.30579
0,-0.75,0.75,0,0,0.742492690299998,0.742821
0,-0.75,0.75,20,180,0.950677838800001,0.951095
0,-0.75,0.75,20,270,1.47043935,1.47096
0,-0.5,0.75,0,0,1.353547512,1.35382
0,-0.5,0.75,20,180,1.621870548,1.62231
0,-0.5,0.75,20,270,2.024876685,2.02536
0,-0.25,0.75,0,0,2.328032113,2.32873
0,-0.25,0.75,20,180,2.556395426,2.55674
0,-0.25,0.75,20,270,2.798545711,2.79923
0,0,0.75,0,0,3.19732289499999,3.19801
0,0,0.75,20,180,3.520859388,3.52144
0,0,0.75,20,270,3.431704747,3.43228
0,0.25,0.75,0,0,3.803514145,3.80408
0,0.25,0.75,20,180,4.212462515,4.21338
0,0.25,0.75,20,270,3.73233571700001,3.73301
0,0.5,0.75,0,0,3.761874378,3.76262
0,0.5,0.75,20,180,4.235557269,4.23642
0,0.5,0.75,20,270,3.28544664899999,3.28619
0,0.75,0.75,0,0,3.28907176299999,3.28981
0,0.75,0.75,20,180,3.70719666100001,3.70767
0,0.75,0.75,20,270,2.201508625,2.20205
0.25,-0.75,0.75,0,0,0.845925581700001,0.846465
0.25,-0.75,0.75,20,180,0.8359860137,0.836265
0.25,-0.75,0.75,20,270,1.560854485,1.56111
0.25,-0.5,0.75,0,0,1.719161269,1.7197
0.25,-0.5,0.75,20,180,1.66481726700001,1.66508
0.25,-0.5,0.75,20,270,2.378191094,2.37874
0.25,-0.25,0.75,0,0,2.784313743,2.78476
0.25,-0.25,0.75,20,180,2.766920982,2.76732
0.25,-0.25,0.75,20,270,3.337861205,3.3385
0.25,0,0.75,0,0,3.824202327,3.8248
0.25,0,0.75,20,180,3.881992644,3.88238
0.25,0,0.75,20,270,4.144526822,4.14495
0.25,0.25,0.75,0,0,4.610120435,4.61085
0.25,0.25,0.75,20,180,4.694507879,4.69508
0.25,0.25,0.75,20,270,4.54839183199999,4.54899
0.25,0.5,0.75,0,0,4.638905005,4.6398
0.25,0.5,0.75,20,180,4.77428355900001,4.77503
0.25,0.5,0.75,20,270,4.11862379700001,4.11928
0.25,0.75,0.75,0,0,4.01217186499999,4.01301
0.25,0.75,0.75,20,180,4.16346347099999,4.16403
0.25,0.75,0.75,20,270,2.927082117,2.92755
0.5,-0.75,0.75,0,0,0.921580582300001,0.922141
0.5,-0.75,0.75,20,180,0.3608263541,0.361151
0.5,-0.75,0.75,20,270,1.57635997300001,1.5769
0.5,-0.5,0.75,0,0,1.76700446099999,1.76741
0.5,-0.5,0.75,20,180,1.377233834,1.37751
0.5,-0.5,0.75,20,270,2.455632318,2.45606
0.5,-0.25,0.75,0,0,2.762051086,2.76238
0.5,-0.25,0.75,20,180,2.242411887,2.24285
0.5,-0.25,0.75,20,270,3.318248963,3.31876
0.5,0,0.75,0,0,4.033658874,4.03439
0.5,0,0.75,20,180,3.679660146,3.68036
0.5,0,0.75,20,270,4.401610043,4.40224
0.5,0.25,0.75,0,0,4.824594609,4.82537
0.5,0.25,0.75,20,180,4.47101274199999,4.47167
0.5,0.25,0.75,20,270,4.798682584,4.79938
0.5,0.5,0.75,0,0,4.89015244799999,4.89052
0.5,0.5,0.75,20,180,4.601618553,4.60229
0.5,0.5,0.75,20,270,4.39875847700001,4.39928
0.5,0.75,0.75,0,0,4.23295823799999,4.23345
0.5,0.75,0.75,20,180,3.98722795100001,3.988
0.5,0.75,0.75,20,270,3.138315288,3.13912
0.75,-0.75,0.75,0,0,0.862487809500001,0.862916
0.75,-0.75,0.75,20,180,0.2252145232,0.225592
0.75,-0.75,0.75,20,270,1.511418623,1.51176
0.75,-0.5,0.75,0,0,1.57653181600001,1.5769
0.75,-0.5,0.75,20,180,0.7630724837,0.76355
0.75,-0.5,0.75,20,270,2.267932816,2.26851
0.75,-0.25,0.75,0,0,2.583801263,2.58405
0.75,-0.25,0.75,20,180,1.60406265,1.60454
0.75,-0.25,0.75,20,270,3.116220405,3.11674
0.75,0,0.75,0,0,3.565507101,3.56619
0.75,0,0.75,20,180,2.760709913,2.76107
0.75,0,0.75,20,270,3.907770244,3.90838
0.75,0.25,0.75,0,0,4.294147613,4.29498
0.75,0.25,0.75,20,180,3.50433925900001,3.50499
0.75,0.25,0.75,20,270,4.30849777900001,4.30913
0.75,0.5,0.75,0,0,4.41130955199999,4.41179
0.75,0.5,0.75,20,180,3.64831179300001,3.64878
0.75,0.5,0.75,20,270,3.970151588,3.97089
0.75,0.75,0.75,0,0,3.862269074,3.86297
0.75,0.75,0.75,20,180,3.143607388,3.14438
0.75,0.75,0.75,20,270,2.764930354,2.76567
