sample_id,x,y,z,inclinacion,azimuth,mean,median
20251027_211112_1,0.8,0.2,0.75,20,0,3.98360669700001,3.98438
20251027_211112_1,0.8,0.2,0.75,20,120,3.68530345399999,3.68628
20251027_211112_1,0.8,0.2,0.75,20,240,3.087904751,3.08877
20251027_211112_2,0.8,0.2,0.75,20,0,3.98459071500001,3.9857
20251027_211112_2,0.8,0.2,0.75,20,120,3.68552984299999,3.68661
20251027_211112_2,0.8,0.2,0.75,20,240,3.086374978,3.08713
20251027_211112_3,0.8,0.2,0.75,20,0,3.98613945300001,3.98701
20251027_211112_3,0.8,0.2,0.75,20,120,3.68591009099999,3.686775
20251027_211112_3,0.8,0.2,0.75,20,240,3.086758375,3.08746
20251027_211112_4,0.8,0.4,0.75,20,0,3.981031221,3.98208
20251027_211112_4,0.8,0.4,0.75,20,120,3.682883361,3.68365
20251027_211112_4,0.8,0.4,0.75,20,240,3.08316749199999,3.08384
20251027_211112_5,0.8,0.4,0.75,20,0,3.980452477,3.98142
20251027_211112_5,0.8,0.4,0.75,20,120,3.68164629,3.68267
20251027_211112_5,0.8,0.4,0.75,20,240,3.08207941499999,3.08285
20251027_211112_6,0.8,0.4,0.75,20,0,3.97907782,3.9801
20251027_211112_6,0.8,0.4,0.75,20,120,3.68234801699999,3.68332
20251027_211112_6,0.8,0.4,0.75,20,240,3.083984932,3.08483
