x,y,z,inclinacion,azimuth,mode,medida_daq
-0.25,-0.25,0.75,0,0,r_vertical,-1.60948
-0.25,-0.25,0.75,0,0,r_vertical,-1.60882
-0.25,-0.25,0.75,0,0,r_vertical,-1.61408
-0.25,-0.25,0.75,0,0,r_vertical,-1.6029
-0.25,-0.25,0.75,0,0,r_vertical,-1.61079
-0.25,-0.25,0.75,0,0,r_vertical,-1.60915
-0.25,-0.25,0.75,0,0,r_vertical,-1.60487
-0.25,-0.25,0.75,0,0,r_vertical,-1.60651
-0.25,-0.25,0.75,0,0,r_vertical,-1.60619
-0.25,-0.25,0.75,0,0,r_vertical,-1.60191
-0.25,-0.25,0.75,0,0,r_vertical,-1.60355
-0.25,-0.25,0.75,0,0,r_vertical,-1.62231
-0.25,-0.25,0.75,0,0,r_vertical,-1.61474
-0.25,-0.25,0.75,0,0,r_vertical,-1.60651
-0.25,-0.25,0.75,0,0,r_vertical,-1.60355
-0.25,-0.25,0.75,0,0,r_vertical,-1.61869
-0.25,-0.25,0.75,0,0,r_vertical,-1.62264
-0.25,-0.25,0.75,0,0,r_vertical,-1.60322
-0.25,-0.25,0.75,0,0,r_vertical,-1.60487
-0.25,-0.25,0.75,0,0,r_vertical,-1.60651
-0.25,-0.25,0.75,0,0,r_vertical,-1.6075
-0.25,-0.25,0.75,0,0,r_vertical,-1.60849
-0.25,-0.25,0.75,0,0,r_vertical,-1.6052
-0.25,-0.25,0.75,0,0,r_vertical,-1.60125
-0.25,-0.25,0.75,0,0,r_vertical,-1.60322
-0.25,-0.25,0.75,0,0,r_vertical,-1.60717
-0.25,-0.25,0.75,0,0,r_vertical,-1.60882
-0.25,-0.25,0.75,0,0,r_vertical,-1.60783
-0.25,-0.25,0.75,0,0,r_vertical,-1.60948
-0.25,-0.25,0.75,0,0,r_vertical,-1.60257
-0.25,-0.25,0.75,0,0,r_vertical,-1.60717
-0.25,-0.25,0.75,0,0,r_vertical,-1.59664
-0.25,-0.25,0.75,0,0,r_vertical,-1.60882
-0.25,-0.25,0.75,0,0,r_vertical,-1.61671
-0.25,-0.25,0.75,0,0,r_vertical,-1.595
-0.25,-0.25,0.75,0,0,r_vertical,-1.61277
-0.25,-0.25,0.75,0,0,r_vertical,-1.60816
-0.25,-0.25,0.75,0,0,r_vertical,-1.60882
-0.25,-0.25,0.75,0,0,r_vertical,-1.60322
-0.25,-0.25,0.75,0,0,r_vertical,-1.60849
-0.25,-0.25,0.75,0,0,r_vertical,-1.60355
-0.25,-0.25,0.75,0,0,r_vertical,-1.60619
-0.25,-0.25,0.75,0,0,r_vertical,-1.60487
-0.25,-0.25,0.75,0,0,r_vertical,-1.60915
-0.25,-0.25,0.75,0,0,r_vertical,-1.60388
-0.25,-0.25,0.75,0,0,r_vertical,-1.6029
-0.25,-0.25,0.75,0,0,r_vertical,-1.60586
-0.25,-0.25,0.75,0,0,r_vertical,-1.61046
-0.25,-0.25,0.75,0,0,r_vertical,-1.60816
-0.25,-0.25,0.75,0,0,r_vertical,-1.60717
-0.25,-0.25,0.75,0,0,r_vertical,-1.60717
-0.25,-0.25,0.75,0,0,r_vertical,-1.61375
-0.25,-0.25,0.75,0,0,r_vertical,-1.59631
-0.25,-0.25,0.75,0,0,r_vertical,-1.6029
-0.25,-0.25,0.75,0,0,r_vertical,-1.62
-0.25,-0.25,0.75,0,0,r_vertical,-1.61671
-0.25,-0.25,0.75,0,0,r_vertical,-1.61573
-0.25,-0.25,0.75,0,0,r_vertical,-1.59993
-0.25,-0.25,0.75,0,0,r_vertical,-1.60487
-0.25,-0.25,0.75,0,0,r_vertical,-1.60553
-0.25,-0.25,0.75,0,0,r_vertical,-1.60619
-0.25,-0.25,0.75,0,0,r_vertical,-1.60915
-0.25,-0.25,0.75,0,0,r_vertical,-1.60158
-0.25,-0.25,0.75,0,0,r_vertical,-1.59928
-0.25,-0.25,0.75,0,0,r_vertical,-1.60454
-0.25,-0.25,0.75,0,0,r_vertical,-1.60783
-0.25,-0.25,0.75,0,0,r_vertical,-1.60816
-0.25,-0.25,0.75,0,0,r_vertical,-1.61079
-0.25,-0.25,0.75,0,0,r_vertical,-1.60684
-0.25,-0.25,0.75,0,0,r_vertical,-1.6075
-0.25,-0.25,0.75,0,0,r_vertical,-1.60224
-0.25,-0.25,0.75,0,0,r_vertical,-1.595
-0.25,-0.25,0.75,0,0,r_vertical,-1.61079
-0.25,-0.25,0.75,0,0,r_vertical,-1.60125
-0.25,-0.25,0.75,0,0,r_vertical,-1.62099
-0.25,-0.25,0.75,0,0,r_vertical,-1.61375
-0.25,-0.25,0.75,0,0,r_vertical,-1.60026
-0.25,-0.25,0.75,0,0,r_vertical,-1.5973
-0.25,-0.25,0.75,0,0,r_vertical,-1.60421
-0.25,-0.25,0.75,0,0,r_vertical,-1.6029
-0.25,-0.25,0.75,0,0,r_vertical,-1.60586
-0.25,-0.25,0.75,0,0,r_vertical,-1.60915
-0.25,-0.25,0.75,0,0,r_vertical,-1.6075
-0.25,-0.25,0.75,0,0,r_vertical,-1.60421
