sample_id,x,y,z,inclinacion,azimuth,mode,medida_daq
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.04986
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08243
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06466
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.0798
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07388
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06697
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.0594
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.09066
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08309
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06993
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07223
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08737
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06993
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07059
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08539
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07585
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08506
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08704
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06565
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08605
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.10842
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06993
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07486
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07881
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08473
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.0798
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06006
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08572
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08506
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07157
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07289
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08506
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.06795
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08638
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.0798
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07552
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08046
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08144
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07453
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.0719
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.05216
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.08144
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07486
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07289
20251029_112748_1,0.7,0.54,0.75,20,0,r_vertical,-4.07092
