sample_id,x,y,z,inclinacion,azimuth,mean,median
20251029_151741_1,0.2,0.2,0.75,20,0,3.26379954,3.26447
20251029_151741_1,0.2,0.2,0.75,20,120,3.73226918,3.73268
20251029_151741_1,0.2,0.2,0.75,20,240,4.3489971,4.34993
20251029_151741_10,0.2,0.2,0.75,20,0,3.21631708,3.21677
20251029_151741_10,0.2,0.2,0.75,20,120,3.66829805,3.66852
20251029_151741_10,0.2,0.2,0.75,20,240,4.27332921,4.27425
20251029_151741_11,0.2,0.65,0.75,20,0,2.94355527,2.944
20251029_151741_11,0.2,0.65,0.75,20,120,4.14019632,4.14067
20251029_151741_11,0.2,0.65,0.75,20,240,3.44332869,3.44346
20251029_151741_12,0.2,0.65,0.75,20,0,3.10166484,3.10226
20251029_151741_12,0.2,0.65,0.75,20,120,4.31284449,4.31308
20251029_151741_12,0.2,0.65,0.75,20,240,3.61305619,3.6139
20251029_151741_13,0.2,0.65,0.75,20,0,3.04120341,3.04205
20251029_151741_13,0.2,0.65,0.75,20,120,4.23178874,4.23247
20251029_151741_13,0.2,0.65,0.75,20,240,3.54333261,3.54415
20251029_151741_14,0.2,0.65,0.75,20,0,2.97073465,2.97131
20251029_151741_14,0.2,0.65,0.75,20,120,4.15832823,4.15942
20251029_151741_14,0.2,0.65,0.75,20,240,3.49548412,3.49611
20251029_151741_15,0.2,0.65,0.75,20,0,3.10286306,3.10358
20251029_151741_15,0.2,0.65,0.75,20,120,4.31427118,4.31472
20251029_151741_15,0.2,0.65,0.75,20,240,3.61296833,3.6139
20251029_151741_16,0.2,0.65,0.75,20,0,2.93885226,2.9394
20251029_151741_16,0.2,0.65,0.75,20,120,4.1241994,4.12488
20251029_151741_16,0.2,0.65,0.75,20,240,3.45743831,3.45794
20251029_151741_17,0.2,0.65,0.75,20,0,3.11657839,3.11707
20251029_151741_17,0.2,0.65,0.75,20,120,4.3340797,4.33545
20251029_151741_17,0.2,0.65,0.75,20,240,3.64576625,3.64614
20251029_151741_18,0.2,0.65,0.75,20,0,3.12365251,3.12431
20251029_151741_18,0.2,0.65,0.75,20,120,4.34369504,4.34466
20251029_151741_18,0.2,0.65,0.75,20,240,3.6384603,3.63923
20251029_151741_19,0.2,0.65,0.75,20,0,3.09272958,3.09338
20251029_151741_19,0.2,0.65,0.75,20,120,4.30070901,4.30156
20251029_151741_19,0.2,0.65,0.75,20,240,3.60302674,3.6037
20251029_151741_2,0.2,0.2,0.75,20,0,3.36177157,3.36219
20251029_151741_2,0.2,0.2,0.75,20,120,3.86896404,3.86922
20251029_151741_2,0.2,0.2,0.75,20,240,4.49409379,4.49503
20251029_151741_20,0.2,0.65,0.75,20,0,3.09545968,3.09601
20251029_151741_20,0.2,0.65,0.75,20,120,4.30260541,4.30321
20251029_151741_20,0.2,0.65,0.75,20,240,3.60282487,3.60337
20251029_151741_3,0.2,0.2,0.75,20,0,3.4581261,3.4586
20251029_151741_3,0.2,0.2,0.75,20,120,3.94885311,3.94918
20251029_151741_3,0.2,0.2,0.75,20,240,4.5848139,4.58551
20251029_151741_4,0.2,0.2,0.75,20,0,3.46511564,3.46584
20251029_151741_4,0.2,0.2,0.75,20,120,3.97618422,3.97681
20251029_151741_4,0.2,0.2,0.75,20,240,4.60130645,4.60196
20251029_151741_5,0.2,0.2,0.75,20,0,3.45869405,3.45926
20251029_151741_5,0.2,0.2,0.75,20,120,3.95207801,3.9528
20251029_151741_5,0.2,0.2,0.75,20,240,4.59364342,4.59439
20251029_151741_6,0.2,0.2,0.75,20,0,3.48890369,3.48953
20251029_151741_6,0.2,0.2,0.75,20,120,4.01028863,4.01103
20251029_151741_6,0.2,0.2,0.75,20,240,4.63110735,4.6319
20251029_151741_7,0.2,0.2,0.75,20,0,3.46260755,3.46353
20251029_151741_7,0.2,0.2,0.75,20,120,3.95496065,3.9551
20251029_151741_7,0.2,0.2,0.75,20,240,4.59132007,4.59209
20251029_151741_8,0.2,0.2,0.75,20,0,3.44864953,3.44906
20251029_151741_8,0.2,0.2,0.75,20,120,3.93756943,3.93832
20251029_151741_8,0.2,0.2,0.75,20,240,4.57619401,4.57696
20251029_151741_9,0.2,0.2,0.75,20,0,3.47904203,3.47933
20251029_151741_9,0.2,0.2,0.75,20,120,3.99498961,3.9959
20251029_151741_9,0.2,0.2,0.75,20,240,4.61736837,4.61808
