sample_id,x,y,z,inclinacion,azimuth,mean,median
20251218_134033_1,-0.58,0.2,1.2,0,0,3.00161947,3.00153
20251218_134033_1,-0.58,0.2,1.2,34,182,4.74367578,4.74376
20251218_134033_1,-0.58,0.2,1.2,37,267,0.214700094,0.214647
20251218_134033_1,-0.58,0.2,1.2,37,355,0.14913056,0.14917
20251218_134033_1,-0.58,0.2,1.2,42,78,0.563731432,0.563745
20251218_134033_1,-0.58,0.2,1.2,53,97,1.22031411,1.22016
20251218_134033_1,-0.58,0.2,1.2,57,179,4.45923748,4.45914
20251218_134033_1,-0.58,0.2,1.2,58,272,0.145838523,0.145551
20251218_134033_1,-0.58,0.2,1.2,58,360,0.135186164,0.135022
20251218_134033_10,0.62,0.8,1.2,0,0,0.31732145,0.317303
20251218_134033_10,0.62,0.8,1.2,34,182,0.0817708888,0.0817196
20251218_134033_10,0.62,0.8,1.2,37,267,0.0463912596,0.0465137
20251218_134033_10,0.62,0.8,1.2,37,355,1.30113673,1.30077
20251218_134033_10,0.62,0.8,1.2,42,78,1.94660909,1.94665
20251218_134033_10,0.62,0.8,1.2,53,97,1.51868468,1.51859
20251218_134033_10,0.62,0.8,1.2,57,179,0.03828732468,0.038288
20251218_134033_10,0.62,0.8,1.2,58,272,0.0399597664,0.0399331
20251218_134033_10,0.62,0.8,1.2,58,360,1.08865322,1.08854
20251218_134033_11,0.42,0.8,1.2,0,0,0.726888368000001,0.726943
20251218_134033_11,0.42,0.8,1.2,34,182,0.1035075064,0.103435
20251218_134033_11,0.42,0.8,1.2,37,267,0.0482894154,0.0481588
20251218_134033_11,0.42,0.8,1.2,37,355,1.09120883,1.09118
20251218_134033_11,0.42,0.8,1.2,42,78,2.57109489,2.57115
20251218_134033_11,0.42,0.8,1.2,53,97,2.3061528,2.30595
20251218_134033_11,0.42,0.8,1.2,57,179,0.0948062742999999,0.0948806
20251218_134033_11,0.42,0.8,1.2,58,272,0.04115446847,0.0412492
20251218_134033_11,0.42,0.8,1.2,58,360,0.410404484,0.410418
20251218_134033_12,0.62,1,1.2,0,0,0.153903647,0.154106
20251218_134033_12,0.62,1,1.2,34,182,0.0727558753999999,0.0728358
20251218_134033_12,0.62,1,1.2,37,267,0.0426551577,0.0425653
20251218_134033_12,0.62,1,1.2,37,355,0.367495694,0.367644
20251218_134033_12,0.62,1,1.2,42,78,1.40040305,1.40046
20251218_134033_12,0.62,1,1.2,53,97,1.21304823,1.21325
20251218_134033_12,0.62,1,1.2,57,179,0.0607878456000001,0.0606618
20251218_134033_12,0.62,1,1.2,58,272,0.0366826537,0.0366428
20251218_134033_12,0.62,1,1.2,58,360,0.34113976,0.340993
20251218_134033_13,0.62,1,1,0,0,0.363223517,0.363367
20251218_134033_13,0.62,1,1,34,182,0.0738841096,0.0738229
20251218_134033_13,0.62,1,1,37,267,0.043551427,0.0432234
20251218_134033_13,0.62,1,1,37,355,0.849257429,0.849012
20251218_134033_13,0.62,1,1,42,78,1.52203127,1.52188
20251218_134033_13,0.62,1,1,53,97,1.31985965,1.31985
20251218_134033_13,0.62,1,1,57,179,0.0693642645999999,0.0695456
20251218_134033_13,0.62,1,1,58,272,0.0386775535,0.038617
20251218_134033_13,0.62,1,1,58,360,0.469050084,0.468985
20251218_134033_14,0.42,0.8,1,0,0,1.41986933,1.41955
20251218_134033_14,0.42,0.8,1,34,182,0.106953853,0.106726
20251218_134033_14,0.42,0.8,1,37,267,0.0484832103,0.0481588
20251218_134033_14,0.42,0.8,1,37,355,1.43285328,1.43271
20251218_134033_14,0.42,0.8,1,42,78,2.42038706,2.42046
20251218_134033_14,0.42,0.8,1,53,97,2.11462059,2.11446
20251218_134033_14,0.42,0.8,1,57,179,0.0900436127,0.0899452
20251218_134033_14,0.42,0.8,1,58,272,0.0432273376,0.0432234
20251218_134033_14,0.42,0.8,1,58,360,0.444393444,0.444308
20251218_134033_15,0.62,0.8,1,0,0,0.883103312,0.882902
20251218_134033_15,0.62,0.8,1,34,182,0.0860367224000001,0.0859969
20251218_134033_15,0.62,0.8,1,37,267,0.0467354236,0.0465137
20251218_134033_15,0.62,0.8,1,37,355,1.46244591,1.46232
20251218_134033_15,0.62,0.8,1,42,78,1.94619277,1.94632
20251218_134033_15,0.62,0.8,1,53,97,1.53749416,1.53734
20251218_134033_15,0.62,0.8,1,57,179,0.0823855080000001,0.0823776
20251218_134033_15,0.62,0.8,1,58,272,0.0419398588,0.0419073
20251218_134033_15,0.62,0.8,1,58,360,1.07389222,1.07374
20251218_134033_16,0.82,0.6,1,0,0,0.86133866,0.861186
20251218_134033_16,0.82,0.6,1,34,182,0.0783259748,0.0784293
20251218_134033_16,0.82,0.6,1,37,267,0.0841418491,0.0840227
20251218_134033_16,0.82,0.6,1,37,355,1.85079035,1.8509
20251218_134033_16,0.82,0.6,1,42,78,1.72405028,1.7239
20251218_134033_16,0.82,0.6,1,53,97,0.753933476999999,0.753923
20251218_134033_16,0.82,0.6,1,57,179,0.0371028245,0.0369719
20251218_134033_16,0.82,0.6,1,58,272,0.0447168372,0.0445395
20251218_134033_16,0.82,0.6,1,58,360,1.76193563,1.76207
20251218_134033_17,0.62,0.6,1,0,0,1.5758611,1.57584
20251218_134033_17,0.62,0.6,1,34,182,0.0996038007,0.099487
20251218_134033_17,0.62,0.6,1,37,267,0.0990967724999999,0.098829
20251218_134033_17,0.62,0.6,1,37,355,2.28237547,2.28226
20251218_134033_17,0.62,0.6,1,42,78,2.35443818,2.35432
20251218_134033_17,0.62,0.6,1,53,97,1.47843424,1.47844
20251218_134033_17,0.62,0.6,1,57,179,0.1004539465,0.100474
20251218_134033_17,0.62,0.6,1,58,272,0.0460477548,0.0461846
20251218_134033_17,0.62,0.6,1,58,360,1.84026894,1.84038
20251218_134033_18,-0.78,0.4,1,0,0,1.32305043,1.32314
20251218_134033_18,-0.78,0.4,1,34,182,2.45525285,2.455
