
==================================
Iniciando optimización para 10 orientaciones
==================================


Single objective optimization:
20 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300          0.2018          0.4572        0
    2              450          0.1935          0.3694        0
    3              600          0.1809          0.3024        0
    4              750          0.1792          0.2671        0
    5              900          0.1739          0.2564        0
    6             1050          0.1767          0.2448        1
    7             1200          0.1639          0.2262        0
    8             1350          0.1594          0.2219        0
    9             1500          0.1569          0.2148        0
   10             1650          0.1596          0.2171        1
   11             1800          0.1583          0.2095        0
   12             1950          0.1516          0.1909        0
   13             2100          0.1495          0.1892        0
   14             2250          0.1511          0.1868        1
   15             2400          0.1468          0.1884        0
   16             2550          0.1454          0.1826        0
   17             2700          0.1434          0.1844        0
   18             2850          0.1438          0.1895        1
   19             3000          0.1434          0.1747        0
   20             3150          0.1407          0.1683        0
   21             3300          0.1406          0.1606        0
   22             3450          0.1396          0.1552        0
   23             3600           0.139          0.1487        0
   24             3750          0.1389           0.146        0
   25             3900          0.1356          0.1434        0
   26             4050          0.1355          0.1429        0
   27             4200          0.1374          0.1418        1
   28             4350          0.1366          0.1416        0
   29             4500          0.1359          0.1413        0
   30             4650          0.1351          0.1407        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.1353          0.1406        1
   32             4950          0.1344          0.1401        0
   33             5100           0.135          0.1397        1
   34             5250          0.1348          0.1395        0
   35             5400          0.1351          0.1394        1
   36             5550          0.1353          0.1392        2
   37             5700          0.1334          0.1389        0
   38             5850          0.1342          0.1387        1
   39             6000          0.1341          0.1385        0
   40             6150          0.1336          0.1381        0
   41             6300          0.1343          0.1383        1
   42             6450           0.133          0.1381        0
   43             6600          0.1342          0.1379        1
   44             6750          0.1335          0.1375        0
   45             6900          0.1329          0.1377        0
   46             7050          0.1332          0.1376        1
   47             7200          0.1325          0.1373        0
   48             7350          0.1337          0.1373        1
   49             7500          0.1327          0.1372        0
   50             7650          0.1333          0.1371        1
   51             7800          0.1322          0.1366        0
   52             7950          0.1314          0.1364        0
   53             8100          0.1318          0.1363        1
   54             8250          0.1288          0.1357        0
   55             8400          0.1312          0.1352        1
   56             8550          0.1273          0.1347        0
   57             8700          0.1299           0.134        1
   58             8850          0.1299          0.1337        2
   59             9000          0.1273          0.1335        0
   60             9150          0.1281          0.1331        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300          0.1287          0.1328        2
   62             9450          0.1277          0.1326        0
   63             9600          0.1289          0.1327        1
   64             9750          0.1286          0.1323        0
   65             9900          0.1281          0.1317        0
   66            10050          0.1281          0.1321        1
   67            10200          0.1273          0.1318        0
   68            10350           0.128          0.1318        1
   69            10500           0.128          0.1317        2
   70            10650          0.1279          0.1315        0
   71            10800          0.1278          0.1313        0
   72            10950          0.1271          0.1313        0
   73            11100          0.1279          0.1314        1
   74            11250          0.1257          0.1311        0
   75            11400          0.1267          0.1312        1
   76            11550          0.1274          0.1308        2
   77            11700           0.126          0.1308        0
   78            11850          0.1259          0.1303        0
   79            12000          0.1258          0.1304        0
   80            12150          0.1266          0.1304        1
   81            12300          0.1263          0.1299        0
   82            12450          0.1245          0.1301        0
   83            12600          0.1256            0.13        1
   84            12750          0.1262          0.1299        2
   85            12900          0.1244          0.1296        0
   86            13050          0.1243          0.1293        0
   87            13200           0.126          0.1293        1
   88            13350          0.1257          0.1293        0
   89            13500          0.1255          0.1293        0
   90            13650          0.1243          0.1292        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800          0.1247          0.1292        1
   92            13950          0.1249          0.1291        2
   93            14100          0.1231          0.1291        0
   94            14250          0.1247           0.129        1
   95            14400          0.1254          0.1292        2
   96            14550           0.125           0.129        0
   97            14700          0.1235          0.1286        0
   98            14850          0.1246          0.1286        1
   99            15000          0.1244          0.1284        0
  100            15150          0.1238          0.1283        0
  101            15300          0.1235           0.128        0
