
==================================
Iniciando optimización para 6 orientaciones
==================================


Single objective optimization:
12 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300          0.6927           1.183        0
    2              450          0.6664           1.083        0
    3              600          0.6568          0.9936        0
    4              750          0.6334           0.911        0
    5              900          0.5905          0.8236        0
    6             1050          0.5911          0.7702        1
    7             1200          0.5684          0.7271        0
    8             1350          0.5522          0.7046        0
    9             1500          0.5448          0.6806        0
   10             1650          0.5421          0.6545        0
   11             1800          0.5284          0.6196        0
   12             1950          0.5124          0.6047        0
   13             2100           0.513           0.582        1
   14             2250          0.5142          0.5638        2
   15             2400          0.5134          0.5508        0
   16             2550          0.5084          0.5432        0
   17             2700          0.5102          0.5394        1
   18             2850          0.5075          0.5333        0
   19             3000          0.5068           0.531        0
   20             3150           0.512          0.5317        1
   21             3300          0.5106          0.5295        0
   22             3450           0.508          0.5297        0
   23             3600          0.5062          0.5295        0
   24             3750          0.5117          0.5279        1
   25             3900          0.5039          0.5295        0
   26             4050          0.5056          0.5277        1
   27             4200          0.5044          0.5279        0
   28             4350          0.5073          0.5276        1
   29             4500          0.5111          0.5274        2
   30             4650          0.5072          0.5268        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.5118           0.527        1
   32             4950          0.5071          0.5258        0
   33             5100          0.4973          0.5275        0
   34             5250          0.5035          0.5261        1
   35             5400          0.5056          0.5262        2
   36             5550          0.5065          0.5246        3
   37             5700          0.5063          0.5254        0
   38             5850          0.5076          0.5248        1
   39             6000          0.4988          0.5244        0
   40             6150          0.5028           0.526        1
   41             6300          0.5064          0.5241        2
   42             6450          0.4999          0.5244        0
   43             6600          0.5036          0.5243        1
   44             6750          0.4968          0.5245        0
   45             6900          0.5029          0.5234        1
   46             7050          0.4993          0.5242        0
   47             7200          0.5011          0.5233        1
   48             7350          0.5011          0.5237        0
   49             7500          0.5037          0.5241        1
   50             7650          0.5031          0.5243        0
   51             7800          0.5052          0.5238        1
   52             7950          0.5018          0.5234        0
   53             8100          0.5034          0.5227        1
   54             8250           0.506          0.5228        2
   55             8400           0.498          0.5224        0
   56             8550          0.5048          0.5226        1
   57             8700          0.4969          0.5228        0
   58             8850          0.5038          0.5229        1
   59             9000          0.5006          0.5233        0
   60             9150          0.5038          0.5231        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300           0.502          0.5231        0
   62             9450          0.5012          0.5241        0
   63             9600          0.5011          0.5224        0
   64             9750          0.5049          0.5235        1
   65             9900          0.5051          0.5247        2
   66            10050          0.4911          0.5228        0
   67            10200          0.5056          0.5247        1
   68            10350          0.4963          0.5237        0
   69            10500          0.4983          0.5225        1
   70            10650          0.5011           0.522        2
   71            10800          0.5003          0.5229        0
   72            10950          0.4994           0.524        0
   73            11100          0.4981          0.5237        0
   74            11250          0.5062          0.5246        1
   75            11400          0.5022          0.5242        0
   76            11550          0.5058          0.5236        1
   77            11700          0.5068          0.5242        2
   78            11850          0.4983           0.524        0
   79            12000          0.5048          0.5232        1
   80            12150          0.4995          0.5219        0
   81            12300          0.4943           0.523        0
   82            12450          0.5016          0.5218        1
   83            12600             0.5          0.5238        0
   84            12750          0.5025          0.5235        1
   85            12900          0.4911          0.5224        0
   86            13050          0.5033          0.5237        1
   87            13200          0.5051          0.5231        2
   88            13350          0.5047          0.5235        0
   89            13500          0.4972          0.5229        0
   90            13650          0.5052          0.5251        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800           0.502          0.5231        0
   92            13950          0.4988          0.5244        0
   93            14100          0.5005          0.5243        1
   94            14250          0.5006          0.5244        2
   95            14400          0.5027          0.5246        3
   96            14550          0.5007          0.5246        0
   97            14700          0.5043          0.5247        1
   98            14850          0.5021          0.5246        0
   99            15000          0.4979          0.5232        0
  100            15150          0.5024          0.5237        1
  101            15300          0.5008          0.5224        0
  102            15450          0.5045          0.5238        1
  103            15600          0.5028          0.5237        0
  104            15750          0.5036           0.524        1
  105            15900          0.5056           0.524        2
  106            16050          0.5068          0.5236        3
  107            16200           0.502           0.523        0
  108            16350          0.5027          0.5235        1
  109            16500          0.4966           0.523        0
  110            16650          0.4957          0.5229        0
  111            16800          0.4952          0.5242        0
  112            16950          0.5056          0.5236        1
  113            17100          0.5003          0.5238        0
  114            17250          0.5016          0.5247        1
  115            17400          0.5007          0.5241        0
  116            17550          0.5043          0.5232        1
  117            17700          0.5028          0.5244        0
  118            17850             0.5          0.5227        0
  119            18000          0.4991          0.5237        0
  120            18150          0.5023          0.5244        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300          0.5038          0.5241        2
  122            18450          0.4966          0.5241        0
  123            18600          0.4987          0.5245        1
  124            18750          0.5049          0.5251        2
  125            18900          0.4977          0.5237        0
  126            19050          0.4959          0.5244        0
  127            19200          0.4984          0.5241        1
  128            19350          0.5032          0.5251        2
  129            19500          0.5054          0.5239        3
  130            19650          0.4973          0.5219        0
  131            19800          0.5041           0.524        1
  132            19950          0.4918          0.5239        0
  133            20100          0.5027          0.5222        1
  134            20250          0.5064          0.5241        2
  135            20400          0.5061          0.5243        0
  136            20550          0.5045          0.5242        0
  137            20700          0.5003          0.5228        0
  138            20850          0.4996          0.5232        0
  139            21000          0.5062          0.5241        1
  140            21150          0.4976          0.5231        0
  141            21300          0.5007          0.5243        1
  142            21450          0.5029          0.5227        2
  143            21600          0.4975          0.5241        0
  144            21750          0.5016          0.5248        1
  145            21900          0.5032           0.524        2
  146            22050          0.5046          0.5257        3
  147            22200          0.4997          0.5242        0
  148            22350          0.5078          0.5242        1
  149            22500           0.498          0.5231        0
  150            22650          0.4962          0.5241        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            22800          0.5027          0.5257        1
  152            22950          0.5053          0.5252        2
  153            23100          0.5061           0.524        3
  154            23250          0.4988          0.5233        0
  155            23400          0.5045          0.5251        1
  156            23550          0.5021          0.5237        0
  157            23700           0.496          0.5242        0
  158            23850          0.4987          0.5238        1
  159            24000          0.5048          0.5233        2
  160            24150          0.5023          0.5236        0
  161            24300          0.4985          0.5236        0
  162            24450           0.501          0.5245        1
  163            24600          0.5009          0.5234        0
  164            24750          0.5005          0.5216        0
  165            24900          0.5044          0.5247        1
  166            25050          0.5015           0.523        0
  167            25200           0.503          0.5231        1
  168            25350          0.5021          0.5229        0
  169            25500          0.5023          0.5241        1
  170            25650          0.4976          0.5244        0
  171            25800          0.5026          0.5236        1
  172            25950          0.5049          0.5239        2
  173            26100             0.5           0.522        0
  174            26250          0.5013          0.5243        1
  175            26400          0.5028          0.5226        2
  176            26550          0.4976          0.5228        0
  177            26700          0.4926          0.5209        0
  178            26850          0.5036          0.5226        1
  179            27000          0.5058          0.5239        2
  180            27150          0.5003          0.5229        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            27300          0.5017           0.523        1
