
==================================
Iniciando optimización para 7 orientaciones
==================================


Single objective optimization:
14 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300          0.2112          0.5362        0
    2              450          0.2001          0.4309        0
    3              600          0.1871          0.3564        0
    4              750          0.1853           0.305        0
    5              900          0.1685          0.2774        0
    6             1050          0.1593          0.2611        0
    7             1200          0.1574          0.2389        0
    8             1350          0.1583          0.2332        1
    9             1500          0.1545          0.2148        0
   10             1650          0.1542          0.2079        0
   11             1800          0.1553          0.1992        1
   12             1950          0.1446           0.187        0
   13             2100          0.1462          0.1773        1
   14             2250          0.1452          0.1715        0
   15             2400          0.1408          0.1662        0
   16             2550           0.144          0.1619        1
   17             2700          0.1427           0.159        0
   18             2850          0.1424          0.1555        0
   19             3000          0.1406          0.1511        0
   20             3150          0.1389          0.1502        0
   21             3300          0.1385          0.1486        0
   22             3450          0.1405          0.1478        1
   23             3600          0.1399          0.1472        0
   24             3750            0.14          0.1467        1
   25             3900          0.1396           0.146        0
   26             4050          0.1391          0.1466        0
   27             4200          0.1404          0.1459        1
   28             4350          0.1388          0.1458        0
   29             4500          0.1389          0.1451        1
   30             4650          0.1382           0.145        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800           0.139          0.1448        1
   32             4950          0.1386          0.1447        0
   33             5100          0.1389          0.1444        1
   34             5250          0.1375          0.1446        0
   35             5400          0.1378          0.1442        1
   36             5550          0.1385          0.1439        2
   37             5700          0.1385          0.1438        0
   38             5850           0.138          0.1433        0
   39             6000          0.1373          0.1435        0
   40             6150          0.1359          0.1435        0
   41             6300          0.1374          0.1435        1
   42             6450          0.1372          0.1433        0
   43             6600          0.1386          0.1431        1
   44             6750          0.1368          0.1432        0
   45             6900          0.1365          0.1429        0
   46             7050          0.1357          0.1426        0
   47             7200          0.1354          0.1427        0
   48             7350           0.136          0.1423        1
   49             7500          0.1353          0.1425        0
   50             7650          0.1348          0.1421        0
   51             7800          0.1344           0.142        0
   52             7950          0.1358          0.1427        1
   53             8100          0.1346          0.1421        0
   54             8250          0.1366          0.1418        1
   55             8400          0.1337          0.1418        0
   56             8550          0.1337          0.1419        1
   57             8700          0.1331          0.1415        0
   58             8850          0.1362          0.1417        1
   59             9000          0.1356          0.1416        0
   60             9150          0.1359          0.1418        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300           0.133          0.1413        0
   62             9450          0.1341          0.1415        1
   63             9600          0.1353           0.141        2
   64             9750          0.1358           0.141        3
   65             9900          0.1353          0.1412        0
   66            10050          0.1353           0.141        0
   67            10200          0.1323          0.1404        0
   68            10350          0.1354          0.1406        1
   69            10500          0.1338          0.1408        0
   70            10650          0.1344          0.1409        1
   71            10800          0.1351          0.1407        2
   72            10950          0.1342          0.1407        0
   73            11100          0.1339          0.1403        0
   74            11250          0.1345          0.1404        1
   75            11400          0.1333          0.1405        0
   76            11550          0.1352          0.1408        1
   77            11700          0.1355          0.1407        2
   78            11850           0.133          0.1405        0
   79            12000          0.1353          0.1406        1
   80            12150          0.1357          0.1403        2
   81            12300          0.1347          0.1404        0
   82            12450          0.1354          0.1403        1
   83            12600          0.1333          0.1402        0
   84            12750          0.1343          0.1398        1
   85            12900           0.135          0.1399        2
   86            13050          0.1334            0.14        0
   87            13200          0.1319          0.1396        0
   88            13350           0.134          0.1398        1
   89            13500          0.1336          0.1398        0
   90            13650          0.1348          0.1396        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800          0.1339          0.1397        0
   92            13950          0.1322          0.1396        0
   93            14100           0.133          0.1398        1
   94            14250          0.1335          0.1398        2
   95            14400          0.1345          0.1392        3
   96            14550          0.1334          0.1395        0
   97            14700          0.1335          0.1395        1
   98            14850          0.1325          0.1393        0
   99            15000          0.1342          0.1392        1
  100            15150          0.1343          0.1394        2
  101            15300          0.1314          0.1391        0
  102            15450          0.1333           0.139        1
  103            15600          0.1338          0.1392        2
  104            15750          0.1343          0.1391        3
  105            15900          0.1333          0.1391        0
  106            16050          0.1342           0.139        1
  107            16200          0.1344          0.1391        2
  108            16350          0.1342          0.1391        0
  109            16500          0.1345          0.1389        1
  110            16650          0.1339           0.139        0
  111            16800          0.1322          0.1389        0
  112            16950          0.1344          0.1392        1
  113            17100          0.1332          0.1392        0
  114            17250          0.1347           0.139        1
  115            17400          0.1338          0.1393        0
  116            17550          0.1333          0.1391        0
  117            17700          0.1327          0.1389        0
  118            17850          0.1333          0.1392        1
  119            18000          0.1338          0.1393        2
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.

Optimización completada para 7 orientaciones
Tiempo de ejecución: 6638.93 segundos
Mejor RMSE encontrado: 0.1338 metros

Orientaciones óptimas:
Orientación 1: theta = 2.78°, rho = 113.84°
Orientación 2: theta = 52.96°, rho = 239.33°
Orientación 3: theta = 59.92°, rho = 250.60°
Orientación 4: theta = 23.37°, rho = 87.16°
Orientación 5: theta = 58.29°, rho = 34.71°
Orientación 6: theta = 59.95°, rho = 145.55°
Orientación 7: theta = 59.81°, rho = 119.25°
Figura "Evolución de Ángulos" guardada
Figura "Orientación 3D" guardada
Figura "Genetic Algorithm" guardada
