
==================================
Iniciando optimización para 5 orientaciones
==================================


Single objective optimization:
10 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300          0.2586          0.7048        0
    2              450           0.249          0.5597        0
    3              600          0.2023          0.5054        0
    4              750          0.2039          0.4461        1
    5              900          0.1906          0.4134        0
    6             1050          0.1885          0.4493        0
    7             1200          0.1842          0.4473        0
    8             1350          0.1787          0.4483        0
    9             1500          0.1737          0.3834        0
   10             1650          0.1663          0.3145        0
   11             1800          0.1623          0.2928        0
   12             1950           0.163          0.2525        1
   13             2100           0.157          0.2249        0
   14             2250          0.1516          0.2067        0
   15             2400          0.1528          0.1915        1
   16             2550          0.1513          0.1665        0
   17             2700          0.1451          0.1627        0
   18             2850          0.1429          0.1585        0
   19             3000          0.1409          0.1559        0
   20             3150          0.1403          0.1536        0
   21             3300            0.14           0.151        0
   22             3450          0.1388          0.1492        0
   23             3600          0.1392          0.1475        1
   24             3750          0.1382          0.1462        0
   25             3900          0.1392           0.145        1
   26             4050          0.1371          0.1442        0
   27             4200          0.1381          0.1437        1
   28             4350          0.1377          0.1433        0
   29             4500          0.1367          0.1436        0
   30             4650          0.1372          0.1432        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.1368          0.1433        0
   32             4950           0.137           0.143        1
   33             5100          0.1372          0.1428        2
   34             5250          0.1353          0.1424        0
   35             5400          0.1371          0.1422        1
   36             5550          0.1371          0.1421        0
   37             5700          0.1374           0.142        1
   38             5850          0.1362          0.1418        0
   39             6000          0.1367          0.1417        1
   40             6150          0.1364          0.1416        0
   41             6300          0.1359          0.1415        0
   42             6450          0.1355          0.1416        0
   43             6600          0.1361          0.1416        1
   44             6750          0.1366          0.1413        2
   45             6900          0.1356          0.1413        0
   46             7050          0.1354          0.1411        0
   47             7200          0.1373          0.1417        1
   48             7350          0.1355          0.1415        0
   49             7500          0.1363          0.1418        1
   50             7650          0.1354          0.1415        0
   51             7800          0.1366          0.1417        1
   52             7950          0.1361          0.1411        0
   53             8100          0.1331          0.1411        0
   54             8250          0.1353          0.1409        1
   55             8400          0.1357          0.1408        2
   56             8550          0.1337          0.1403        0
   57             8700          0.1343          0.1401        1
   58             8850          0.1334          0.1401        0
   59             9000           0.133          0.1401        0
   60             9150          0.1344          0.1397        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300          0.1334          0.1397        0
   62             9450           0.135            0.14        1
   63             9600          0.1346          0.1397        0
   64             9750          0.1338          0.1396        0
   65             9900          0.1332          0.1396        0
   66            10050          0.1341          0.1395        1
   67            10200          0.1324          0.1398        0
   68            10350          0.1335          0.1393        1
   69            10500          0.1335          0.1391        2
   70            10650           0.134          0.1388        3
   71            10800          0.1336          0.1384        0
   72            10950          0.1332          0.1383        0
   73            11100          0.1328          0.1386        0
   74            11250          0.1328          0.1385        0
   75            11400          0.1333          0.1387        1
   76            11550          0.1338          0.1385        2
   77            11700          0.1333          0.1384        0
   78            11850          0.1332          0.1382        0
   79            12000          0.1322          0.1383        0
   80            12150          0.1333          0.1384        1
   81            12300          0.1332          0.1383        0
   82            12450          0.1343          0.1384        1
   83            12600          0.1335          0.1386        0
   84            12750          0.1316          0.1381        0
   85            12900          0.1337          0.1385        1
   86            13050          0.1327          0.1384        0
   87            13200          0.1321          0.1381        0
   88            13350          0.1317          0.1383        0
   89            13500          0.1328           0.138        1
   90            13650          0.1312          0.1376        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800           0.133           0.138        1
   92            13950          0.1323          0.1373        0
   93            14100          0.1314          0.1375        0
   94            14250          0.1324          0.1376        1
   95            14400          0.1319          0.1375        0
   96            14550          0.1318          0.1375        0
   97            14700          0.1325          0.1378        1
   98            14850          0.1315          0.1375        0
   99            15000          0.1315          0.1374        1
  100            15150          0.1326          0.1371        2
  101            15300          0.1333          0.1371        3
  102            15450          0.1313          0.1368        0
  103            15600          0.1311          0.1367        0
  104            15750          0.1307           0.137        0
  105            15900           0.131          0.1367        1
  106            16050          0.1328          0.1368        2
  107            16200          0.1326          0.1369        0
  108            16350          0.1308          0.1365        0
  109            16500          0.1304          0.1365        0
  110            16650          0.1303          0.1367        0
  111            16800          0.1325          0.1366        1
  112            16950          0.1307          0.1366        0
  113            17100          0.1311          0.1366        1
  114            17250          0.1319          0.1362        2
  115            17400          0.1309          0.1361        0
  116            17550          0.1314          0.1355        1
  117            17700          0.1311          0.1354        0
  118            17850          0.1298          0.1356        0
  119            18000          0.1298          0.1356        0
  120            18150          0.1304          0.1355        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300          0.1311          0.1351        2
  122            18450          0.1306          0.1351        0
  123            18600          0.1296          0.1349        0
  124            18750          0.1307          0.1355        1
  125            18900          0.1293          0.1351        0
  126            19050          0.1294          0.1352        1
  127            19200          0.1298           0.135        2
  128            19350          0.1297          0.1351        0
  129            19500          0.1289          0.1348        0
  130            19650          0.1294          0.1351        1
  131            19800          0.1302          0.1352        2
  132            19950          0.1294          0.1349        0
  133            20100            0.13          0.1346        1
  134            20250          0.1291          0.1346        0
  135            20400          0.1302          0.1345        1
  136            20550          0.1302          0.1344        2
  137            20700          0.1299          0.1345        0
  138            20850          0.1289          0.1344        0
  139            21000          0.1307          0.1346        1
  140            21150          0.1289          0.1344        0
  141            21300          0.1292          0.1343        1
  142            21450          0.1278          0.1341        0
  143            21600          0.1289          0.1344        1
  144            21750          0.1289          0.1343        0
  145            21900          0.1292          0.1344        1
  146            22050          0.1293          0.1341        2
