
==================================
Iniciando optimización para 6 orientaciones
==================================


Single objective optimization:
12 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300          0.1983          0.5773        0
    2              450           0.198          0.4382        0
    3              600          0.1843           0.444        0
    4              750          0.1829          0.3503        0
    5              900          0.1775          0.3344        0
    6             1050          0.1686          0.2861        0
    7             1200          0.1561          0.2646        0
    8             1350          0.1539          0.2407        0
    9             1500          0.1503          0.2312        0
   10             1650          0.1494          0.2065        0
   11             1800          0.1474          0.1976        0
   12             1950          0.1443          0.1835        0
   13             2100          0.1425          0.1693        0
   14             2250          0.1431           0.158        1
   15             2400          0.1438          0.1551        2
   16             2550          0.1429          0.1513        0
   17             2700          0.1431          0.1506        1
   18             2850          0.1413          0.1504        0
   19             3000          0.1401          0.1494        0
   20             3150          0.1412           0.149        1
   21             3300          0.1416          0.1472        2
   22             3450          0.1398           0.147        0
   23             3600          0.1386          0.1463        0
   24             3750           0.139           0.146        1
   25             3900           0.138          0.1454        0
   26             4050           0.139          0.1449        1
   27             4200          0.1375          0.1453        0
   28             4350          0.1387           0.145        1
   29             4500          0.1392           0.145        2
   30             4650          0.1389          0.1448        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.1372          0.1443        0
   32             4950          0.1384           0.144        1
   33             5100          0.1368          0.1439        0
   34             5250          0.1372          0.1438        1
   35             5400          0.1378          0.1438        2
   36             5550          0.1378          0.1435        0
   37             5700          0.1367          0.1429        0
   38             5850          0.1373          0.1427        1
   39             6000          0.1355          0.1426        0
   40             6150          0.1364          0.1425        1
   41             6300          0.1372          0.1424        2
   42             6450          0.1362          0.1423        0
   43             6600          0.1345          0.1419        0
   44             6750          0.1357          0.1419        1
   45             6900          0.1367          0.1418        2
   46             7050          0.1363          0.1416        0
   47             7200          0.1358          0.1418        0
   48             7350           0.135          0.1414        0
   49             7500          0.1356          0.1414        1
   50             7650          0.1328          0.1411        0
   51             7800          0.1348          0.1411        1
   52             7950           0.135          0.1409        2
   53             8100          0.1349          0.1405        0
   54             8250          0.1352          0.1402        1
   55             8400          0.1343          0.1402        0
   56             8550          0.1333          0.1394        0
   57             8700          0.1333          0.1394        0
   58             8850          0.1348          0.1393        1
   59             9000          0.1329          0.1391        0
   60             9150           0.133          0.1388        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300          0.1326          0.1387        0
   62             9450          0.1316          0.1384        0
   63             9600          0.1326          0.1382        1
   64             9750          0.1323           0.138        0
   65             9900          0.1305          0.1375        0
   66            10050          0.1328          0.1377        1
   67            10200          0.1312          0.1371        0
   68            10350          0.1312          0.1368        1
   69            10500           0.131          0.1367        0
   70            10650          0.1305          0.1367        0
   71            10800           0.131          0.1367        1
   72            10950          0.1317          0.1367        2
   73            11100          0.1315          0.1362        0
   74            11250          0.1305          0.1364        0
   75            11400          0.1318           0.136        1
   76            11550          0.1314          0.1362        0
   77            11700            0.13          0.1358        0
   78            11850          0.1305          0.1363        1
   79            12000          0.1305           0.136        2
   80            12150          0.1319           0.136        3
   81            12300          0.1312          0.1355        0
   82            12450          0.1291          0.1356        0
   83            12600          0.1298          0.1352        1
   84            12750          0.1309          0.1353        2
   85            12900          0.1314          0.1354        3
   86            13050          0.1301          0.1354        0
   87            13200          0.1296          0.1351        0
   88            13350          0.1302          0.1349        1
   89            13500          0.1305           0.135        2
   90            13650          0.1298          0.1352        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800          0.1315           0.135        1
   92            13950          0.1305          0.1348        0
   93            14100          0.1308          0.1348        1
   94            14250          0.1308          0.1348        2
   95            14400          0.1296          0.1345        0
   96            14550          0.1301          0.1347        1
   97            14700          0.1288          0.1346        0
   98            14850          0.1295          0.1347        1
   99            15000          0.1307          0.1346        2
  100            15150          0.1305          0.1345        0
  101            15300          0.1305          0.1344        0
  102            15450           0.129          0.1346        0
  103            15600          0.1307          0.1348        1
  104            15750            0.13          0.1343        0
  105            15900          0.1289          0.1342        0
  106            16050          0.1297          0.1345        1
  107            16200          0.1292          0.1348        0
  108            16350          0.1298          0.1348        1
  109            16500          0.1291          0.1345        0
  110            16650          0.1297          0.1346        1
  111            16800          0.1306          0.1346        2
  112            16950          0.1287          0.1342        0
  113            17100          0.1303          0.1343        1
  114            17250          0.1289          0.1343        0
  115            17400          0.1291          0.1343        1
  116            17550          0.1294          0.1341        2
  117            17700          0.1301          0.1342        3
  118            17850          0.1288           0.134        0
  119            18000          0.1296          0.1339        1
  120            18150          0.1287          0.1344        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300          0.1289          0.1342        1
  122            18450          0.1285          0.1341        0
  123            18600          0.1299          0.1342        1
  124            18750          0.1285          0.1339        0
  125            18900          0.1297          0.1338        1
  126            19050          0.1305           0.134        2
  127            19200          0.1294          0.1339        0
  128            19350          0.1291           0.134        0
  129            19500          0.1291          0.1338        1
  130            19650          0.1292          0.1337        2
  131            19800          0.1293          0.1337        3
  132            19950          0.1295           0.134        4
  133            20100          0.1292          0.1339        0
  134            20250          0.1282          0.1342        0
  135            20400            0.13          0.1342        1
  136            20550          0.1286          0.1337        0
  137            20700          0.1296          0.1339        1
  138            20850          0.1299          0.1339        2
  139            21000          0.1288          0.1339        0
  140            21150           0.129          0.1339        1
  141            21300            0.13           0.134        2
  142            21450          0.1305          0.1338        3
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.

Optimización completada para 6 orientaciones
Tiempo de ejecución: 6785.22 segundos
Mejor RMSE encontrado: 0.1305 metros

Orientaciones óptimas:
Orientación 1: theta = 3.53°, rho = 269.19°
Orientación 2: theta = 10.47°, rho = 172.50°
Orientación 3: theta = 58.97°, rho = 115.91°
Orientación 4: theta = 51.19°, rho = 332.95°
Orientación 5: theta = 46.58°, rho = 293.16°
Orientación 6: theta = 59.97°, rho = 162.54°
Figura "Evolución de Ángulos" guardada
Figura "Orientación 3D" guardada
Figura "Genetic Algorithm" guardada
