
==================================
Iniciando optimización para 8 orientaciones
==================================


Single objective optimization:
16 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300           0.195          0.6037        0
    2              450          0.1626          0.5458        0
    3              600          0.1603          0.4513        0
    4              750           0.154          0.3682        0
    5              900          0.1491          0.3208        0
    6             1050          0.1445          0.2519        0
    7             1200          0.1394          0.2128        0
    8             1350          0.1408          0.1875        1
    9             1500          0.1402          0.1755        0
   10             1650           0.128          0.1656        0
   11             1800          0.1304          0.1602        1
   12             1950          0.1298          0.1555        0
   13             2100          0.1227          0.1459        0
   14             2250          0.1162          0.1412        0
   15             2400          0.1173          0.1361        1
   16             2550          0.1143          0.1313        0
   17             2700          0.1176           0.129        1
   18             2850           0.114           0.127        0
   19             3000          0.1156          0.1251        1
   20             3150          0.1131          0.1248        0
   21             3300          0.1165          0.1243        1
   22             3450          0.1129          0.1239        0
   23             3600          0.1155          0.1237        1
   24             3750          0.1137          0.1234        0
   25             3900          0.1141          0.1232        1
   26             4050           0.114          0.1235        0
   27             4200          0.1155          0.1234        1
   28             4350          0.1166          0.1232        2
   29             4500          0.1137          0.1234        0
   30             4650          0.1146           0.123        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.1156          0.1231        2
   32             4950          0.1136          0.1235        0
   33             5100          0.1147           0.123        1
   34             5250          0.1153          0.1226        2
   35             5400          0.1125          0.1231        0
   36             5550          0.1146          0.1225        1
   37             5700          0.1145          0.1228        0
   38             5850          0.1155          0.1224        1
   39             6000          0.1141          0.1227        0
   40             6150          0.1142           0.122        1
   41             6300          0.1139          0.1225        0
   42             6450          0.1152          0.1223        1
   43             6600          0.1156          0.1225        2
   44             6750          0.1123          0.1223        0
   45             6900          0.1144          0.1225        1
   46             7050          0.1121          0.1225        0
   47             7200          0.1138          0.1217        1
   48             7350          0.1126          0.1223        0
   49             7500          0.1111          0.1221        0
   50             7650          0.1147          0.1221        1
   51             7800          0.1145          0.1225        0
   52             7950          0.1142          0.1224        0
   53             8100          0.1148          0.1224        1
   54             8250          0.1148          0.1217        0
   55             8400           0.111          0.1216        0
   56             8550          0.1147          0.1222        1
   57             8700          0.1117          0.1225        0
   58             8850          0.1092          0.1219        0
   59             9000          0.1108          0.1227        1
   60             9150          0.1143           0.122        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300          0.1127          0.1218        0
   62             9450          0.1157           0.122        1
   63             9600          0.1148          0.1219        0
   64             9750          0.1141          0.1219        0
   65             9900          0.1143          0.1219        1
   66            10050          0.1151          0.1221        2
   67            10200          0.1139          0.1221        0
   68            10350          0.1112          0.1222        0
   69            10500           0.115          0.1224        1
   70            10650          0.1134          0.1217        0
   71            10800          0.1134          0.1225        1
   72            10950           0.114          0.1224        2
   73            11100          0.1159          0.1225        3
   74            11250          0.1134           0.122        0
   75            11400          0.1136          0.1222        1
   76            11550          0.1152          0.1221        2
   77            11700          0.1143          0.1222        0
   78            11850          0.1131          0.1221        0
   79            12000          0.1131          0.1215        0
   80            12150          0.1138           0.122        1
   81            12300          0.1131          0.1216        0
   82            12450           0.114          0.1214        1
   83            12600          0.1151          0.1214        2
   84            12750          0.1132          0.1217        0
   85            12900          0.1135          0.1216        1
   86            13050          0.1139          0.1215        2
   87            13200          0.1134          0.1221        0
   88            13350          0.1147          0.1221        1
   89            13500          0.1114          0.1214        0
   90            13650          0.1153          0.1218        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800          0.1136           0.122        0
   92            13950          0.1135          0.1214        0
   93            14100          0.1141          0.1214        1
   94            14250          0.1129          0.1215        0
   95            14400          0.1153          0.1217        1
   96            14550          0.1132          0.1215        0
   97            14700          0.1134          0.1214        1
   98            14850          0.1123          0.1214        0
   99            15000          0.1138          0.1217        1
  100            15150           0.114          0.1215        2
  101            15300          0.1113          0.1217        0
  102            15450          0.1146          0.1217        1
  103            15600           0.114          0.1218        0
  104            15750          0.1147          0.1212        1
  105            15900          0.1124          0.1211        0
  106            16050          0.1132          0.1215        1
  107            16200           0.111          0.1215        0
  108            16350          0.1135          0.1216        1
  109            16500           0.112          0.1212        0
  110            16650          0.1104          0.1211        0
  111            16800          0.1136          0.1214        1
  112            16950          0.1149          0.1221        2
  113            17100          0.1127          0.1211        0
  114            17250           0.113          0.1215        1
  115            17400          0.1111          0.1211        0
  116            17550          0.1125          0.1215        1
  117            17700           0.114           0.121        2
  118            17850          0.1129          0.1219        0
  119            18000          0.1118          0.1212        0
  120            18150          0.1099          0.1208        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300          0.1127          0.1213        1
