
==================================
Iniciando optimización para 6 orientaciones
==================================


Single objective optimization:
12 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300          0.1449          0.6727        0
    2              450          0.1495          0.5521        1
    3              600          0.1323          0.4331        0
    4              750          0.1296           0.349        0
    5              900          0.1244          0.2738        0
    6             1050          0.1211          0.2219        0
    7             1200          0.1163          0.1834        0
    8             1350          0.1172           0.161        1
    9             1500          0.1129          0.1503        0
   10             1650          0.1129          0.1316        0
   11             1800          0.1107          0.1277        0
   12             1950          0.1122          0.1257        1
   13             2100           0.113          0.1245        2
   14             2250          0.1153          0.1243        3
   15             2400          0.1132          0.1238        0
   16             2550          0.1143          0.1224        1
   17             2700          0.1138          0.1229        0
   18             2850           0.111          0.1225        0
   19             3000          0.1132           0.122        1
   20             3150           0.113          0.1221        0
   21             3300          0.1132          0.1222        1
   22             3450          0.1114          0.1224        0
   23             3600          0.1127           0.122        1
   24             3750          0.1113          0.1217        0
   25             3900          0.1122          0.1217        1
   26             4050          0.1109          0.1214        0
   27             4200          0.1133          0.1214        1
   28             4350          0.1112           0.122        0
   29             4500          0.1137          0.1211        1
   30             4650          0.1132          0.1221        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.1107          0.1216        0
   32             4950           0.113          0.1218        1
   33             5100          0.1148          0.1211        2
   34             5250            0.11          0.1211        0
   35             5400           0.112          0.1213        1
   36             5550          0.1119          0.1212        0
   37             5700          0.1107           0.121        0
   38             5850          0.1128          0.1214        1
   39             6000          0.1114           0.121        0
   40             6150          0.1122          0.1212        1
   41             6300          0.1133          0.1214        2
   42             6450          0.1074          0.1213        0
   43             6600          0.1122          0.1214        1
   44             6750           0.111          0.1208        0
   45             6900          0.1107          0.1215        0
   46             7050          0.1121          0.1216        1
   47             7200          0.1116          0.1215        0
   48             7350           0.113          0.1213        1
   49             7500          0.1119          0.1212        0
   50             7650          0.1141           0.121        1
   51             7800          0.1129          0.1217        0
   52             7950          0.1138          0.1215        1
   53             8100          0.1124          0.1213        0
   54             8250          0.1122          0.1215        0
   55             8400          0.1123          0.1214        1
   56             8550          0.1122          0.1217        0
   57             8700          0.1139          0.1217        1
   58             8850          0.1144          0.1216        2
   59             9000          0.1119          0.1214        0
   60             9150          0.1113          0.1213        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300          0.1121          0.1211        1
   62             9450          0.1136          0.1216        2
   63             9600          0.1137          0.1218        3
   64             9750          0.1109          0.1213        0
   65             9900          0.1126          0.1216        1
   66            10050          0.1116          0.1215        0
   67            10200          0.1114          0.1212        0
   68            10350          0.1105          0.1209        0
   69            10500          0.1117          0.1209        1
   70            10650          0.1132          0.1209        2
   71            10800          0.1105          0.1216        0
   72            10950          0.1106          0.1212        1
   73            11100          0.1123          0.1211        2
   74            11250          0.1109          0.1217        0
   75            11400           0.111           0.121        1
   76            11550          0.1081          0.1213        0
   77            11700           0.111          0.1206        1
   78            11850          0.1089          0.1211        0
   79            12000          0.1139          0.1205        1
   80            12150          0.1127          0.1212        0
   81            12300          0.1112           0.121        0
   82            12450          0.1103          0.1212        0
   83            12600           0.112          0.1209        1
   84            12750          0.1117          0.1213        0
   85            12900          0.1099           0.121        0
   86            13050          0.1111          0.1207        1
   87            13200          0.1129          0.1212        2
   88            13350          0.1116          0.1212        0
   89            13500          0.1088          0.1207        0
   90            13650          0.1102          0.1209        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800          0.1114          0.1205        2
   92            13950          0.1123           0.121        3
   93            14100          0.1092          0.1201        0
   94            14250          0.1114          0.1209        1
   95            14400          0.1117          0.1217        2
   96            14550          0.1128          0.1208        3
   97            14700          0.1126          0.1207        0
   98            14850          0.1119          0.1205        0
   99            15000          0.1105          0.1208        0
  100            15150          0.1126          0.1208        1
  101            15300          0.1137          0.1208        2
  102            15450          0.1111          0.1207        0
  103            15600          0.1095          0.1208        0
  104            15750          0.1131          0.1206        1
  105            15900           0.113          0.1204        0
  106            16050          0.1108          0.1212        0
  107            16200          0.1101          0.1204        0
  108            16350          0.1083          0.1203        0
  109            16500          0.1129          0.1207        1
  110            16650          0.1097          0.1206        0
  111            16800          0.1111          0.1206        1
  112            16950          0.1068          0.1206        0
  113            17100          0.1075          0.1211        1
  114            17250          0.1122          0.1205        2
  115            17400          0.1119          0.1209        0
  116            17550           0.112          0.1216        1
  117            17700          0.1101          0.1209        0
  118            17850          0.1103          0.1209        1
  119            18000          0.1127          0.1208        2
  120            18150          0.1098          0.1209        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300          0.1135          0.1207        1
  122            18450           0.111          0.1206        0
  123            18600          0.1094           0.121        0
  124            18750           0.111          0.1211        1
  125            18900          0.1125           0.121        2
  126            19050          0.1117          0.1207        0
  127            19200          0.1126          0.1208        1
  128            19350          0.1112          0.1207        0
  129            19500          0.1105          0.1205        0
  130            19650          0.1102          0.1208        0
  131            19800          0.1109          0.1206        1
  132            19950          0.1067          0.1202        0
  133            20100          0.1123          0.1213        1
  134            20250          0.1118          0.1204        0
  135            20400          0.1125          0.1209        1
  136            20550          0.1094          0.1203        0
  137            20700           0.111          0.1211        1
  138            20850          0.1111          0.1211        2
  139            21000          0.1146          0.1215        3
  140            21150          0.1088          0.1206        0
  141            21300          0.1131          0.1209        1
  142            21450           0.111          0.1205        0
  143            21600          0.1076          0.1208        0
  144            21750          0.1122          0.1206        1
  145            21900           0.112          0.1204        0
  146            22050           0.113          0.1207        1
  147            22200           0.108          0.1206        0
  148            22350          0.1125          0.1212        1
  149            22500          0.1111          0.1206        0
  150            22650          0.1113          0.1207        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            22800          0.1092          0.1203        0
  152            22950          0.1104          0.1202        1
  153            23100          0.1097          0.1204        0
  154            23250          0.1135          0.1203        1
  155            23400          0.1094          0.1206        0
  156            23550           0.113          0.1208        1
  157            23700          0.1125          0.1202        0
  158            23850          0.1089          0.1202        0
  159            24000          0.1104          0.1206        1
  160            24150          0.1112          0.1203        2
  161            24300          0.1124          0.1203        3
  162            24450          0.1092          0.1204        0
  163            24600          0.1098          0.1201        1
  164            24750          0.1103          0.1203        2
  165            24900          0.1128          0.1211        3
  166            25050          0.1115          0.1205        0
  167            25200          0.1126          0.1204        1
  168            25350          0.1109          0.1207        0
  169            25500          0.1097          0.1208        0
  170            25650          0.1112          0.1199        1
  171            25800           0.111          0.1202        0
  172            25950          0.1101          0.1206        0
  173            26100            0.11          0.1202        0
  174            26250          0.1125          0.1202        1
  175            26400          0.1113          0.1206        0
  176            26550          0.1115          0.1204        1
  177            26700          0.1096          0.1204        0
  178            26850          0.1099          0.1202        1
  179            27000          0.1118          0.1204        2
  180            27150          0.1124          0.1204        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            27300          0.1111          0.1206        0
  182            27450          0.1122          0.1206        1
  183            27600          0.1086          0.1208        0
  184            27750          0.1095          0.1206        1
  185            27900            0.11            0.12        2
  186            28050          0.1123          0.1205        3
  187            28200          0.1095          0.1204        0
  188            28350          0.1107          0.1201        1
  189            28500          0.1114          0.1199        2
  190            28650          0.1064          0.1207        0
  191            28800          0.1112          0.1204        1
  192            28950          0.1112          0.1204        0
  193            29100           0.106          0.1201        0
  194            29250          0.1107          0.1208        1
  195            29400          0.1089          0.1205        0
  196            29550           0.113          0.1211        1
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.

Optimización completada para 6 orientaciones
Tiempo de ejecución: 9308.97 segundos
Mejor RMSE encontrado: 0.1130 metros

Orientaciones óptimas:
Orientación 1: theta = 5.38°, rho = 287.38°
Orientación 2: theta = 2.69°, rho = 81.79°
Orientación 3: theta = 3.23°, rho = 252.25°
Orientación 4: theta = 4.67°, rho = 358.16°
Orientación 5: theta = 5.83°, rho = 314.14°
Orientación 6: theta = 1.84°, rho = 155.73°
Figura "Evolución de Ángulos" guardada
Figura "Orientación 3D" guardada
Figura "Genetic Algorithm" guardada
