
==================================
Iniciando optimización para 7 orientaciones
==================================


popul_size =

   150


max_gener =

   200


Single objective optimization:
14 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300         0.04454          0.2442        0
    2              450         0.04226          0.1691        0
    3              600         0.04065           0.124        0
    4              750          0.0366          0.1006        0
    5              900         0.03618         0.06608        0
    6             1050         0.03387         0.05788        0
    7             1200         0.03419         0.05573        1
    8             1350         0.03501         0.06377        2
    9             1500         0.03496         0.05841        0
   10             1650         0.03439         0.05865        0
   11             1800         0.03443         0.05368        1
   12             1950         0.03425         0.05344        0
   13             2100         0.03327         0.04829        0
   14             2250          0.0336         0.05149        1
   15             2400          0.0336         0.04953        0
   16             2550         0.03332         0.05066        0
   17             2700          0.0328         0.04869        0
   18             2850          0.0326         0.05028        0
   19             3000         0.03311         0.04884        1
   20             3150         0.03267         0.04837        0
   21             3300         0.03227         0.04649        0
   22             3450         0.03225         0.04355        0
   23             3600         0.03212         0.04164        0
   24             3750         0.03211         0.03826        0
   25             3900         0.03162          0.0378        0
   26             4050         0.03252          0.0364        1
   27             4200         0.03241          0.0354        0
   28             4350         0.03208         0.03492        0
   29             4500         0.03202         0.03419        0
   30             4650         0.03097         0.03419        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800         0.03182         0.03417        1
   32             4950          0.0322         0.03422        2
   33             5100         0.03167         0.03402        0
   34             5250         0.03165         0.03401        0
   35             5400         0.03211         0.03416        1
   36             5550         0.03187         0.03397        0
   37             5700         0.03237         0.03403        1
   38             5850         0.03168         0.03393        0
   39             6000         0.03146         0.03397        0
   40             6150          0.0317         0.03393        1
   41             6300         0.03158         0.03392        0
   42             6450         0.03132         0.03374        0
   43             6600         0.03151         0.03392        1
   44             6750         0.03168         0.03385        2
   45             6900         0.03117         0.03369        0
   46             7050         0.03134         0.03369        1
   47             7200         0.03106         0.03354        0
   48             7350         0.03142          0.0335        1
   49             7500          0.0313         0.03369        0
   50             7650         0.03106         0.03361        0
   51             7800         0.03086         0.03345        0
   52             7950         0.03192         0.03345        1
   53             8100         0.03079         0.03347        0
   54             8250         0.03142         0.03351        1
   55             8400         0.03141          0.0336        0
   56             8550         0.03176         0.03351        1
   57             8700          0.0305         0.03333        0
   58             8850         0.03116         0.03344        1
   59             9000         0.03105         0.03337        0
   60             9150         0.03068         0.03322        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300         0.03095         0.03318        1
   62             9450         0.03116         0.03321        2
   63             9600         0.03136         0.03307        3
   64             9750         0.03072         0.03314        0
   65             9900         0.03091         0.03307        1
   66            10050         0.03043         0.03303        0
   67            10200         0.03031         0.03294        0
   68            10350         0.03078         0.03309        1
   69            10500         0.03093         0.03302        2
   70            10650          0.0311         0.03296        3
   71            10800         0.03091         0.03289        0
   72            10950         0.03066         0.03288        0
   73            11100         0.03061         0.03285        0
   74            11250          0.0306         0.03276        0
   75            11400         0.03062         0.03272        1
   76            11550         0.03102         0.03286        2
   77            11700         0.03015         0.03279        0
   78            11850         0.02972         0.03267        0
   79            12000         0.03098         0.03272        1
   80            12150          0.0303         0.03262        0
   81            12300         0.03044         0.03271        1
   82            12450         0.03014          0.0326        0
   83            12600         0.03022         0.03265        1
   84            12750         0.03102         0.03269        2
   85            12900         0.03059         0.03257        0
   86            13050         0.02966         0.03246        0
   87            13200         0.03051         0.03249        1
   88            13350         0.03056          0.0325        2
   89            13500         0.02995         0.03247        0
   90            13650         0.03061          0.0325        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800         0.02996         0.03249        0
   92            13950         0.02977         0.03227        0
   93            14100         0.03015         0.03255        1
   94            14250         0.03018         0.03231        2
   95            14400          0.0302         0.03223        3
   96            14550         0.03052         0.03233        4
   97            14700         0.03023         0.03235        0
   98            14850         0.02955         0.03233        0
   99            15000         0.03044         0.03229        1
  100            15150         0.03063         0.03216        2
  101            15300         0.03018         0.03217        0
  102            15450         0.03039         0.03214        1
  103            15600         0.02985          0.0322        0
  104            15750         0.03005         0.03229        1
  105            15900         0.03013         0.03226        2
  106            16050         0.03003         0.03217        0
  107            16200         0.03006         0.03218        1
  108            16350         0.03037         0.03217        2
  109            16500         0.02966          0.0322        0
  110            16650         0.03044         0.03214        1
  111            16800         0.02995         0.03232        0
  112            16950         0.03054         0.03215        1
  113            17100         0.03004         0.03201        0
  114            17250         0.03022         0.03213        1
  115            17400         0.03064         0.03227        2
  116            17550         0.03034         0.03222        0
  117            17700         0.02977         0.03203        0
  118            17850         0.02994         0.03215        1
  119            18000         0.03023         0.03212        2
  120            18150          0.0305         0.03212        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300         0.03002         0.03206        0
  122            18450         0.02967         0.03205        0
  123            18600         0.02998         0.03213        1
  124            18750         0.02956          0.0321        0
  125            18900         0.02989         0.03207        1
  126            19050         0.03013         0.03211        2
  127            19200         0.03003          0.0321        0
  128            19350         0.02931         0.03192        0
  129            19500         0.03002         0.03204        1
  130            19650         0.02982         0.03191        0
  131            19800         0.02994         0.03197        1
  132            19950         0.03004         0.03199        2
  133            20100         0.02951         0.03201        0
  134            20250         0.02936         0.03193        0
  135            20400         0.03018         0.03192        1
  136            20550         0.03028          0.0319        2
  137            20700         0.02954         0.03183        0
  138            20850         0.02977          0.0319        1
  139            21000         0.02998         0.03194        2
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.

Optimización completada para 7 orientaciones
Tiempo de ejecución: 7675.93 segundos
Mejor RMSE encontrado: 0.0300 metros

Orientaciones óptimas:
Orientación 1: theta = 1.71°, rho = 116.39°
Orientación 2: theta = 9.61°, rho = 87.53°
Orientación 3: theta = 59.99°, rho = 284.14°
Orientación 4: theta = 43.96°, rho = 94.99°
Orientación 5: theta = 59.94°, rho = 36.01°
Orientación 6: theta = 59.97°, rho = 149.50°
Orientación 7: theta = 15.89°, rho = 356.56°
Figura "Evolución de Ángulos" guardada
Figura "Orientación 3D" guardada
Figura "Genetic Algorithm" guardada
